TITLE,OPEN_DT,AUDI_ACC,CMT_SCORE
프리즌,2017-03-23,2931897,0.0161
솔트,2010-07-29,2921331,0.1176
헬로우 고스트,2010-12-22,2897477,0.0424
극비수사,2015-06-18,2860786,0.0638
표적,2014-04-30,2841788,0.085
앤트맨,2015-09-03,2839921,0.0389
호빗: 다섯 군대 전투,2014-12-17,2836774,0.0494
너의 결혼식,2018-08-22,2820029,0.2108
호빗: 뜻밖의 여정,2012-12-13,2818993,0.0354
메이즈 러너,2014-09-18,2812427,0.1455
말모이,2019-01-09,2811757,0.1648
해리 포터와 죽음의 성물1,2010-12-15,2809053,0.0029
빅 히어로,2015-01-21,2801949,-0.0491
덩케르크,2017-07-20,2792705,-0.0081
혹성탈출: 진화의 시작,2011-08-17,2773794,-0.0249
부당거래,2010-10-28,2766436,0.2883
메이즈 러너: 스코치 트라이얼,2015-09-16,2744413,0.0012
가디언즈 오브 갤럭시 VOL. 2,2017-05-03,2735719,0.1128
시라노; 연애조작단,2010-09-16,2731828,0.0862
내가 살인범이다,2012-11-08,2721903,-0.0103
나우 유 씨 미 : 마술사기단,2013-08-22,2718227,0.031
미스 페레그린과 이상한 아이들의 집,2016-09-28,2718158,0.1867
타이탄,2010-04-01,2685508,0.0292
곤지암,2018-03-28,2675559,-0.0694
소원,2013-10-02,2663170,-0.0096
살인자의 기억법,2017-09-06,2656694,-0.005
브레이킹 던 part2,2012-11-15,2654817,0.0086
탐정 : 더 비기닝,2015-09-24,2625686,0.0699
미니언즈,2015-07-29,2625572,0.1457
후궁 : 제왕의 첩,2012-06-06,2621436,-0.0357
트랜스포머: 최후의 기사,2017-06-21,2614601,0.0147
제이슨 본,2016-07-27,2611966,0.0451
드래곤 길들이기,2010-05-20,2603857,0.0537
지금 만나러 갑니다,2018-03-14,2602273,0.1158
도리를 찾아서,2016-07-06,2601734,0.1255
위험한 상견례,2011-03-31,2595625,0.11800000000000001
아수라,2016-09-28,2594028,-0.0043
보안관,2017-05-03,2571491,0.2172
기술자들,2014-12-24,2564340,0.0501
퍼시픽 림,2013-07-11,2539114,-0.0164
엑스맨: 퍼스트 클래스,2011-06-02,2532306,0.1152
정글북,2016-06-09,2532051,0.1771
목격자,2018-08-15,2524086,-0.1565
마이펫의 이중생활,2016-08-03,2517805,0.2623
증인,2019-02-13,2516128,0.1657
조작된 도시,2017-02-09,2512572,0.1135
반창꼬,2012-12-19,2471721,0.1378
보스 베이비,2017-05-03,2450023,0.2797
화차,2012-03-08,2435211,0.1549
이웃사람,2012-08-22,2434099,0.0606
조선명탐정: 흡혈괴마의 비밀,2018-02-08,2424330,0.2227
재심,2017-02-15,2420729,-0.0519
신비한 동물들과 그린델왈드의 범죄,2018-11-14,2414062,0.1
사바하,2019-02-20,2397792,0.0427
의뢰인,2011-09-29,2393086,0.0652
화이: 괴물을 삼킨 아이,2013-10-09,2391963,-0.0044
007 스카이폴,2012-10-26,2376145,0.042
가문의 영광4 - 가문의 수난,2011-09-07,2363955,0.006999999999999999
블라인드,2011-08-10,2362906,0.0346
박열,2017-06-28,2359174,0.1062
라스트 갓파더,2010-12-29,2316099,0.0105
스파이,2015-05-21,2315882,0.0956
모아나,2017-01-12,2310054,0.1676
테이큰 2,2012-09-27,2308596,0.0552
하녀,2010-05-13,2304487,-0.0707
메이즈 러너: 데스 큐어,2018-01-17,2299732,-0.0149
맘마미아!2,2018-08-08,2285143,0.3058
호빗: 스마우그의 폐허,2013-12-12,2282744,0.0562
나잇&데이,2010-06-24,2282191,0.0533
컨저링,2013-09-17,2262758,-0.0226
슈렉 포에버,2010-07-01,2261356,0.0544
