TITLE,OPEN_DT,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_CMT_LEN_MEAN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
군함도,2017-07-26,7,3,30,132.0,한국,씨제이이앤엠(주),액션,15세이상관람가,0.0,3366.0,43.766191325014894,97770.0,0.0,6592151
미션 임파서블: 폴아웃,2018-07-25,7,3,30,147.0,미국,롯데컬처웍스(주)롯데엔터테인먼트,액션,15세이상관람가,1.0,177.0,33.2429378531073,1403.0,0.0,6584915
다크 나이트 라이즈,2012-07-19,7,3,29,164.0,미국,워너브러더스 코리아(주),액션,15세이상관람가,1.0,1801.0,26.403109383675698,0.0,0.0,6396528
아저씨,2010-08-04,8,3,31,119.0,한국,씨제이엔터테인먼트,액션,청소년관람불가,0.0,626.0,21.7555910543131,0.0,0.0,6282774
사도,2015-09-16,9,3,38,125.0,한국,(주)쇼박스,사극,12세이상관람가,0.0,556.0,45.1474820143885,22459.0,0.0,6246849
미션 임파서블: 로그네이션,2015-07-30,7,3,31,131.0,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,1.0,408.0,29.4362745098039,8626.0,0.0,6126488
킹스맨 : 시크릿 에이전트,2015-02-11,2,1,7,128.0,미국,이십세기폭스코리아(주),액션,청소년관람불가,1.0,168.0,53.7261904761905,2480.0,1.0,6125154
연평해전,2015-06-24,6,2,26,130.0,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,12세이상관람가,0.0,5242.0,39.909194963754295,28626.0,0.0,6043458
인셉션,2010-07-21,7,3,29,147.0,미국,워너브러더스 코리아(주),드라마,12세이상관람가,0.0,595.0,21.0268907563025,0.0,0.0,5926948
레미제라블,2012-12-19,12,4,51,158.0,미국,유니버설픽쳐스인터내셔널 코리아(유),드라마,12세이상관람가,0.0,627.0,33.803827751196195,0.0,0.0,5911890
쥬라기 월드: 폴른 킹덤,2018-06-06,6,2,23,127.0,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,12세이상관람가,1.0,230.0,39.6565217391304,3703.0,0.0,5661128
청년경찰,2017-08-09,8,3,32,108.0,한국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,0.0,1429.0,42.7116864940518,16419.0,0.0,5636259
숨바꼭질,2013-08-14,8,3,33,107.0,한국,(주)넥스트엔터테인먼트월드(NEW),스릴러,15세이상관람가,0.0,682.0,36.1041055718475,0.0,0.0,5602543
덕혜옹주,2016-08-03,8,3,31,126.0,한국,롯데쇼핑㈜롯데엔터테인먼트,사극,12세이상관람가,0.0,1857.0,43.5411954765751,20348.0,1.0,5593551
