movieNm,openDt,audiAcc,companyNm,directorNm,directorNmEn,genreNm,movieNmEn,nationNm,peopleNm,showTm,watchGradeNm,영화명,영문명,감독명,개봉일,키워드,줄거리,수상내역,_merge
,,,,,,,,,,,,2012슈퍼노바,,안소니 팽크하우저,2011-02-24,"비디오영화,NASA,초신성,이상기류,가족,피신,천재지변,사투","NASA 연구소 소장 캘빈은 초신성 사라의 이상기류를 감지하게 된다. 그러던 어느 날 평온한 캘빈의 가정에 무기를 소지한 적들이 침입한다. 아무런 이유도 모른 채 추격을 피해야만 하는 캘빈의 아내와 딸은 두려움과 불안에 떨게 되고 캘빈은 그의 동료들로부터 아내와 딸을 보호하기 위해 피신을 부탁하고 자신은 초신성 사라의 공격을 막기 위해 연구소로 돌아가 작전을 시작한다. 결국, 캘빈의 가족은 집을 떠나 피신 하던 중 지속되는 갖가지 천재지변으로 인해 죽음의 문턱까지 닿게 되는데….이들의 필사적인 사투가 시작된다.",,right_only
,,,,,,,,,,,,2014베를린필하모닉발트뷔네콘서트,Waldbuhne Concert 2014,,2014-08-04,"공연실황,베를린필하모닉","‘숲의 무대’라는 의미를 가진 베를린의 발트뷔네는 유럽에서 가장 매혹적인 야외 원형극장 중 하나이며, 매년 베를린 필하모닉의 여름콘서트가 개최되는 곳이기도 하다. 전통적으로 한 시즌을 마무리하는 공연인 발트뷔네 야외 콘서트는 매년 6월 마지막 일요일에 약 2만여 명의 관중과 함께 한다. 올해는 구스타프 두다멜의 지휘로 차이코프스키가 셰익스피어의 연극, 템페스트와 로미오와 줄리엣에서 영감을 받아 작곡한 교향곡 판타지아와 서곡 판타지를 선보이다. 세 번째 곡은 요하네스 브람스의 교향곡 1번으로 차이코프스키의 음악과는 전혀 다른 매력을 느낄 수 있다.    프로그램    표트르 일리치 차이코프스키 | 템페스트, 교향적 환상곡 / 로미오와 줄리엣, 환상 서곡  Piotr Ilyich Tchaikovsky | The Tempest, Symphonic Fantasy after Shakespeare / Romeo and Juliet, Fantasy Overture after Shakespeare    요하네스 브람스 | 교향곡 제 1번  Johannes Brahms | Symphony No. 1 in C minor    레너드 번스타인 | 왈츠 디베르디멘토  Leonard Bernstein | Divertimento, Walzer 왈츠 디베르디멘토    조아키노 로시니 | 윌리엄 텔 서곡 - 알레그로 비바체  Gioacchino Rossini | William Tell Overture - Allegro Vivace    파울 링케 | 베를린의 공기  Paul Lincke | Berliner Luft",,right_only
,,,,,,,,,,,,2014지구최후의날,,테리 커닝험,2014-06-12,,달과 소행성이 충돌했다! 지구 멸망 위기로부터 인류를 구해내라!평화로운 나날이 지속되던 지구. 달에 미처 감지하지 못한 소행성이 충돌해 소행성의 잔해들이 달무리를 이루는 장관을 바라보던 중 잔해 조각 중 지구 중력에 이끌려 들어온 운석이 떨어지게 되자 우주 과학 연구소와 우주 과학자 라나 게일 박사 사이에 앞으로 지구에 벌어질 일에 관한 논쟁이 벌어진다. 한편 공사 부지의 건물 폭파 전문팀을 이끄는 존은 볼티모어에 떨어진 운석의 피해 부지 정리를 돕기 위해 나서는데...,,right_only
,,,,,,,,,,,,2017복상사,( 2017boksangsa ),김철수,2017-11-09,,조폭 커플과 펜션에서 동거하게 된 여대생이 조폭 애인과 의기투합해 복상사로 남자들을 제거하고 돈가방을 챙긴다는 성애 영화,,right_only
,,,,,,,,,,,,2017잘츠부르크티토황제의자비,2017 Salzburg Festival - The clemency of Titus,,2017-08-13,,비텔리아는 아버지의 왕위를 빼앗은 티토에게 복수를 꿈꾼다. 예정된 티토의 결혼이 때마침 취소되자 비텔리아는 그의 아내가 되어 권력을 얻고자 하는 계획을 세운다. 하지만 황후가 되려는 계획이 뜻대로 잘 풀리지 않자 황제의 절친한 친구이자 그녀를 좋아하는 세스토를 이용하여 티토를 암살하려 한다. 비텔리아를 향한 사랑과 티토에 대한 우정 사이에서 괴로워하던 세스토는 결국 암살 계획을 실행에 옮기지만 미수에 그치고 혼자 모든 죄를 짊어지려 한다. 자신을 끝까지 배신하지 않는 세스토를 보고 비텔리아는 자기 자신에게 수치심을 느껴 결국 모든 죄를 티토에게 자백하지만 자비로운 티토는 모두를 용서한다.,,right_only
,,,,,,,,,,,,2047지구최후의날,,,2015-08-05,,"초토화된 2047년 지구! 우주연합에 맞선 최후의 인류가 있었다!근 미래, 세상은 완전히 변했다. 지구는 방사능 폐기물로 뒤덮였으며, 광신도와 신용평가기관들이 권력을 장악하고, 연합군에 참가하지 않는 나라는 파산하거나 전란에 휩싸이게 되었다. 사람들은 좁은 방에 살며 매달 납입금에 시달렸다. 아무런 희망도 없는 2047년의 지구. 세계를 장악한 연합은 대량학살 사실을 덮으려 한다. 그들과 아직도 맞서 싸우는 자들은 우리밖에 남지 않았다!",,right_only
,,,,,,,,,,,,20년전의약속,(20Nyeon Jeonui Yaksok),송기윤,2011-10-25,"에베레스트,산악,아버지와아들,사진","세상에서 가장 따뜻했던 한 여인을 사랑한... 두 남자의 뜨거운 등반! 아버지와 나란히 에베레스트 정상에 오른 아들이 있다. 국내에선 처음이고, 세계에선 두번째다. 산악인 허영호씨와 아들 허재석씨가 주인공. 이들의 에베레스트 정상 정복에는 단순히 부자가 함께 올랐다는 것 이상의 의미가 있다. 해발 8,848m, 세계 최고봉의 정상에서 재석씨는 어머니의 사진을 가슴에 품고 한참을 울었다.",,right_only
,,,,,,,,,,,,20세기소년최종장우리들의깃발,,츠츠미 유키히코,2011-01-13,"미스테리,초등학교동창,친구,지구멸망",40여년이 넘는 세월을 오가며 미스터리를 풀어가는 이야기로 주인공 켄지와 일행이 악의 세력인  친구 로부터 위기에 놓인 지구를 구한다는 내용의 영화,,right_only
,,,,,,,,,,,,21앤드오버,,"존 루카스,스콧 무어",2013-12-18,"면접,생일,생일파티,만취,젊음","스물하나, 드디어 필름이 끊겨도 될 나이가 되었다!근데 하필 일생일대의 면접을 앞둔 전날 밤 필름이 끊.겼.다!!!고등학교 졸업 이후로 소원했던 세 죽마고우. 케이시와 밀러는 21번째 생일을 맞은 제프에게 깜짝 파티를 열어주기 위해 연락도 없이 그의 집을 찾아간다. 제프는 다음날 일생일대의 의대 면접을 앞두고 있지만 밀러의 강요에 못 이겨 두 친구를 따라 나서게 되고, 딱 한 잔만 하겠다는 계획과 달리 완전히 만취해버린다. 케이시와 밀러는 그를 집에 돌려보내기 위해 애쓰지만 그럴수록 일은 점점 꼬여만 가는 데… 과연 제프는 내일 무사히 면접을 치를 수 있을까?",,right_only
,,,,,,,,,,,,24일,24 Jours,알렉산드라 아카디,2015-09-24,,"700여통의 협박전화...피를 말리는 24일간의 기록휴대폰 매장에서 근무하는 23살의 평범한 유대인 청년 ‘일안 하리미’가 어느 날, 한 통의 전화를 받고 집을 나간 뒤 사라진다. 연락조차 되지 않아 불안해 하는 가족들에게 도착한 한 통의 이메일에는 일안이 납치되었다는 사실과 함께 두 눈이 테이프로 가려진 일안의 머리에 총을 겨누고 있는 인질범의 사진이 첨부되어 있어 가족들을 경악하게 한다. 납치사실을 경찰에 신고한 일안의 가족들. 경찰은 신속하게 수사팀을 구성하고 비공개로 사건 수사를 시작한다. 하지만 시도 때도 없이 이어지는 인질범의 협박전화의 발신지가 아프리카의 코트디부아르로 밝혀지면서 수사는 점점 미궁에 빠져 드는데...",,right_only
,,,,,,,,,,,,28살미망인의속옷,,긴 류지,2017-11-16,,암으로 남편을 잃은 타카코는 남편의 첫 제사를 지낸다. 제사가 끝나고 사채업자 쿠보가 찾아온다. 타카코는 남편의 치료비 때문에 쿠보에게 빚을 진 상태. 타카코는 형편이 어려워 몸으로 빚을 갚는다. 남편 친구인 슌타는 타카코의 집에서 나오는 쿠보를 보고 수상하게 여긴다. 시누이인 이츠키는 사채업자인 쿠보에게 자신이 빚을 대신 갚겠다고 하고 정사를 나눈다. 한편 남편친구인 슌타는 타카코에게 호감을 느끼고 그녀가 사채 때문에 괴로워하는 것을 위로해준다. 그러면서 둘은 육체적인 관계를 맺고 타카코는 양심에 가책을 느낀다.,,right_only
,,,,,,,,,,,,2amshow,2AM SHOW,정성복,2010-12-02,"2AM,콘서트,아이돌","즐길 준비 되었는가! 2AM의 모든 것, 그들이 펼치는 가장 특별하고 매력적인 무대  2AM SHOW ! 서로 다른 공간에서 살지만 '음악'이라는 같은 꿈을 가지고 있던 4명의 소년들, 운명적으로 JYP에서 만나게 되고 마침내 새벽의 감성을 담은 2AM으로 데뷔, 한 목소리로 노래를 부르기 시작한다.  소년에서 이제 감성돌로 변신해 짜릿하고 생생한 콘서트 실황과 단 한번도 공개된 적 없는 버라이어티한 특별 영상과 토크 등을 통해 가장 매력적인 콘서트 무대를 펼치게 되는 2AM! 특별 콘서트 실황과 함께 그들의 과거, 현재 그리고 그들이 꿈꾸는 미래에 대한 스토리가  2AM SHOW 에서 펼쳐진다.",,right_only
2amshow,2010-12-09,4085.0,['에스케이텔레콤(주)'],정성복,Jung ‘Myron’ Sung-bok,['공연'],2amshow,['한국'],"[('이창민', '본인'), ('조 권', '본인'), ('임슬옹', '본인'), ('정진운', '본인'), ('신성환', '촬영'), ('정요한', '3D 촬영팀'), ('신경원', '3D 촬영팀'), ('장세경', '3D 촬영팀')]",70.0,전체관람가,,,,,,,,left_only
,,,,,,,,,,,,2차노출,,리 위,2013-09-05,"성형외과,스릴러,판타지,트라우마,광기","내 남자에게서 다른 여자의 향기가 난다!성형외과 전문의 송치는 어느 날 자신의 애인 류동과 가장 친한 친구 샤오시가 서로를 뜨겁게 탐닉하고 있는 모습을 목격한다. 충격에 빠진 송치는 류동에게 깊게 새겨진 샤오시의 흔적을 인정하지 못하고 찾아가지만, 결국엔 친구를 살해하고 만다. 얼마 후, 갑작스레 행방불명 된 샤오시를 찾는 경찰이 송치를 찾아오게 되면서 살인의 기억과 경찰이 점점 그녀를 압박해오자 결국 자신이 저지른 모든 일을 자백한다. 경찰들은 송치의 말 대로 샤오시가 매장된 곳으로 총출동 하고 땅을 파헤쳐 시체를 찾아 보지만 시체는 보이지 않고 대신 낯선 이름이 적혀져 있는 오래된 일기장이 발견 되는데…",,right_only
