TITLE,DIRECTOR,OPEN_DT,OPEN_YEAR,OPEN_MONTH,OPEN_DAY,OPEN_WEEKDAY,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,GENRE_NM,SP_LANG,WATCH_GRADE_NM,ACTOR1,ACTOR2,BUDGET,SERIES,AWARDS,NAVER_CMT_NN,NAVER_PRE_EVAL,NAVER_PRE_EVAL_MUL,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
초한지: 영웅의 부활,루 추안,2013-03-28,2013,3,28,3,1,13,116.0,중국,(주)인벤트스톤,사극/액션,,15세이상관람가,오언조,장첸,,0.0,0,119.0,8.74,1040.06,0.0,0.0,8722
나의 엔젤,해리 클레븐,2017-10-12,2017,10,12,3,4,41,79.0,프랑스,CGV아트하우스,로맨스/멜로,,청소년관람불가,플뢰르 제프리어,엘리너 로웬손,,0.0,0,26.0,8.88,230.88,348.0,0.0,8721
극장판 마이 리틀 포니 : 이퀘스트리아 걸스,제이슨 티에슨,2017-05-03,2017,5,3,2,2,18,73.0,미국/캐나다,(주)팝엔터테인먼트,가족/애니메이션/코미디,,전체관람가,타라 스트롱,애슐리 볼,,0.0,0,161.0,9.46,1523.0600000000006,1074.0,0.0,8705
마차 타고 고래고래,안재석,2017-05-18,2017,5,18,3,2,20,96.0,한국,와이드 릴리즈(주),드라마,ko,15세이상관람가,조한선,박효주,,0.0,1,59.0,9.07,535.13,919.0,0.0,8697
호랑이보다 무서운 겨울손님,이광국,2018-04-12,2018,4,12,3,2,15,107.0,한국,그린나래미디어(주)/무브먼트,드라마/로맨스/멜로,ko,15세이상관람가,고현정,이진욱,,0.0,0,45.0,8.4,378.0,978.0,0.0,8680
라 붐,클로드 피노토,2013-10-24,2013,10,24,3,4,43,109.0,프랑스,(주)앤드플러스미디어웍스,드라마/로맨스/멜로/코미디,fr,15세이상관람가,소피 마르소,클로드 브라세,,1.0,0,41.0,9.55,391.55,0.0,0.0,8677
마더 데레사의 편지,윌리엄 리에드,2014-08-21,2014,8,21,3,3,34,114.0,미국,씨제이이앤엠(주),드라마,,전체관람가,줄리엣 스티븐슨,룻거 하우어,,0.0,0,39.0,8.36,326.04,234.0,0.0,8665
햄릿,린지 터너,2016-11-24,2016,11,24,3,4,47,179.0,영국,메가박스중앙(주),공연,,15세이상관람가,베네딕트 컴버배치,짐 노튼,,0.0,0,7.0,10.0,70.0,360.0,0.0,8657
블리드 포 디스,벤 영거,2017-03-16,2017,3,16,3,1,11,116.0,미국,(주)리틀빅픽쳐스,드라마,,15세이상관람가,마일즈 텔러,케이티 사갈,,0.0,0,272.0,9.09,2472.48,874.0,0.0,8655
햄스테드,조엘 홉킨스,2018-07-05,2018,7,5,3,3,27,102.0,벨기에/영국,(주)팝엔터테인먼트,드라마/로맨스/멜로/코미디,de/en,15세이상관람가,다이안 키튼,브렌단 글리슨,,0.0,0,6.0,9.83,58.98,44.0,0.0,8648
아메리칸 허니: 방황하는 별의 노래,안드레아 아놀드,2017-07-13,2017,7,13,3,3,28,162.0,미국/영국,(주)티캐스트,드라마,,청소년관람불가,사샤 레인,샤이아 라보프,,0.0,1,89.0,8.3,738.7,187.0,0.0,8647
용을 찾아서,호승충,2017-02-22,2017,2,22,2,1,8,97.0,중국,(주)머스트씨무비릴리징컴퍼니,애니메이션/어드벤처,,전체관람가,,,,0.0,0,59.0,9.83,579.97,146.0,0.0,8638
칼릴 지브란의 예언자,로저 알러스,2015-09-10,2015,9,10,3,3,37,84.0,기타/미국/카타르/캐나다/프랑스,판씨네마(주),애니메이션,en,전체관람가,리암 니슨,셀마 헤이엑,,0.0,0,69.0,8.59,592.71,188.0,0.0,8631
모스트 바이어런트,J.C 챈더,2015-04-02,2015,4,2,3,2,14,124.0,미국,(주)영화사 진진,범죄,en/es,15세이상관람가,오스카 아이삭,제시카 차스테인,20000000.0,0.0,0,18.0,8.56,154.08,125.0,0.0,8614
엄마의 공책,김성호,2018-03-15,2018,3,15,3,1,11,102.0,한국,아이 엠,가족/드라마,ko,전체관람가,이주실,이종혁,,0.0,0,50.0,8.4,420.0,270.0,0.0,8612
