TITLE,OPEN_DT,AUDI_ACC,CMT_SCORE,NAVER_PRE_EVAL
레드: 더 레전드,2013-07-18,3004647,0.2946107784431138,8.79
오싹한 연애,2011-12-01,3001530,0.3503325942350333,9.43
드래곤 길들이기 2,2014-07-23,3000056,0.29950186799501866,9.75
형,2016-11-23,2982022,0.4785451573355129,9.32
친구 2,2013-11-14,2971475,0.2988771466314399,7.54
26년,2012-11-29,2963449,0.2447723112762771,5.89
서치,2018-08-29,2949944,0.4886363636363637,9.12
고지전,2011-07-20,2945137,0.2562724014336917,6.01
엑스맨: 아포칼립스,2016-05-25,2938818,0.2738163148887621,9.1
프리즌,2017-03-23,2931897,0.445602440264362,9.08
솔트,2010-07-29,2921331,0.3851851851851852,8.8
헬로우 고스트,2010-12-22,2897477,0.4658385093167702,9.15
극비수사,2015-06-18,2860786,0.3922872340425532,8.74
표적,2014-04-30,2841788,0.4823529411764706,9.15
앤트맨,2015-09-03,2839921,0.32685512367491165,8.94
호빗: 다섯 군대 전투,2014-12-17,2836774,0.2747464992757122,9.61
너의 결혼식,2018-08-22,2820029,0.3983050847457627,9.03
호빗: 뜻밖의 여정,2012-12-13,2818993,0.2837004405286344,9.72
메이즈 러너,2014-09-18,2812427,0.3618960802187785,9.54
말모이,2019-01-09,2811757,0.3952434881087203,7.99
해리 포터와 죽음의 성물1,2010-12-15,2809053,0.2633451957295373,9.44
빅 히어로,2015-01-21,2801949,0.312280701754386,7.79
덩케르크,2017-07-20,2792705,0.2880281690140845,9.22
혹성탈출: 진화의 시작,2011-08-17,2773794,0.3423137876386688,8.98
부당거래,2010-10-28,2766436,0.41422594142259417,9.5
메이즈 러너: 스코치 트라이얼,2015-09-16,2744413,0.4594330400782014,9.38
가디언즈 오브 갤럭시 VOL. 2,2017-05-03,2735719,0.3386396526772793,9.38
시라노; 연애조작단,2010-09-16,2731828,0.272608125819135,9.17
내가 살인범이다,2012-11-08,2721903,0.4052563270603504,9.04
나우 유 씨 미 : 마술사기단,2013-08-22,2718227,0.3562753036437247,9.38
미스 페레그린과 이상한 아이들의 집,2016-09-28,2718158,0.4764595103578154,9.55
타이탄,2010-04-01,2685508,0.38666666666666666,8.98
곤지암,2018-03-28,2675559,0.21851851851851853,7.27
소원,2013-10-02,2663170,0.4395459054337044,9.45
살인자의 기억법,2017-09-06,2656694,0.42348130841121495,7.94
브레이킹 던 part2,2012-11-15,2654817,0.2925531914893617,9.48
탐정 : 더 비기닝,2015-09-24,2625686,0.40676745860331176,8.43
미니언즈,2015-07-29,2625572,0.3620689655172414,9.4
후궁 : 제왕의 첩,2012-06-06,2621436,0.3407202216066482,7.3
트랜스포머: 최후의 기사,2017-06-21,2614601,0.2216186854970125,8.11
제이슨 본,2016-07-27,2611966,0.3084958217270195,9.78
드래곤 길들이기,2010-05-20,2603857,0.4104046242774567,9.05
지금 만나러 갑니다,2018-03-14,2602273,0.3699604743083004,7.53
도리를 찾아서,2016-07-06,2601734,0.30511463844797176,9.65
위험한 상견례,2011-03-31,2595625,0.4080717488789238,8.3
아수라,2016-09-28,2594028,0.29464285714285715,8.31
보안관,2017-05-03,2571491,0.3900804289544236,8.29
기술자들,2014-12-24,2564340,0.3172600270392069,8.84
퍼시픽 림,2013-07-11,2539114,0.2905832747716093,8.55
엑스맨: 퍼스트 클래스,2011-06-02,2532306,0.3248407643312102,8.77
정글북,2016-06-09,2532051,0.4380574826560951,9.53
목격자,2018-08-15,2524086,0.2853773584905661,8.06
마이펫의 이중생활,2016-08-03,2517805,0.35714285714285715,9.48
증인,2019-02-13,2516128,0.3494623655913979,7.26
조작된 도시,2017-02-09,2512572,0.4909572121746802,8.92
반창꼬,2012-12-19,2471721,0.5009641342074816,9.15
보스 베이비,2017-05-03,2450023,0.4483695652173913,9.39
화차,2012-03-08,2435211,0.48,9.34
이웃사람,2012-08-22,2434099,0.3013435700575816,9.48
조선명탐정: 흡혈괴마의 비밀,2018-02-08,2424330,0.3328591749644381,9.09
재심,2017-02-15,2420729,0.4333627537511033,9.31
신비한 동물들과 그린델왈드의 범죄,2018-11-14,2414062,0.3567073170731707,9.24
사바하,2019-02-20,2397792,0.4444444444444444,8.56
의뢰인,2011-09-29,2393086,0.4074941451990632,9.35
화이: 괴물을 삼킨 아이,2013-10-09,2391963,0.38855909336211547,9.23
007 스카이폴,2012-10-26,2376145,0.3250773993808049,9.13
가문의 영광4 - 가문의 수난,2011-09-07,2363955,0.12572759022118746,5.36
블라인드,2011-08-10,2362906,0.32142857142857145,8.93
박열,2017-06-28,2359174,0.5301994301994302,9.15
라스트 갓파더,2010-12-29,2316099,0.33985260770975056,8.83
스파이,2015-05-21,2315882,0.4516423357664234,9.38
모아나,2017-01-12,2310054,0.39399999999999996,9.45
테이큰 2,2012-09-27,2308596,0.25375626043405675,9.59
하녀,2010-05-13,2304487,0.3343373493975904,8.02
메이즈 러너: 데스 큐어,2018-01-17,2299732,0.26303854875283444,9.3
맘마미아!2,2018-08-08,2285143,0.2515991471215352,9.07
호빗: 스마우그의 폐허,2013-12-12,2282744,0.3024721279689772,9.72
나잇&데이,2010-06-24,2282191,0.2605042016806723,8.85
컨저링,2013-09-17,2262758,0.26636490250696376,8.02
슈렉 포에버,2010-07-01,2261356,0.4789156626506024,8.97
배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,2256913,0.2398828541001065,8.48
레디 플레이어 원,2018-03-28,2254430,0.3883720930232558,9.08
배틀쉽,2012-04-11,2241687,0.37789904502046384,8.98
셜록홈즈 : 그림자 게임,2011-12-21,2239156,0.3669950738916256,9.23
7광구,2011-08-04,2232179,0.3,6.57
마당을 나온 암탉,2011-07-28,2199048,0.4137004701141706,9.15
악의 연대기,2015-05-14,2192243,0.4487179487179487,8.45
강남 1970,2015-01-21,2192172,0.4009493670886076,9.32
이상한 나라의 앨리스,2010-03-04,2182365,0.4363476733977173,9.5
맨 오브 스틸,2013-06-13,2182227,0.30402208201892744,9.34
황해,2010-12-22,2167426,0.4391111111111111,8.99
원더 우먼,2017-05-31,2165401,0.2858942065491184,8.53
초능력자,2010-11-10,2164805,0.2941580756013746,9.34
마이 웨이,2011-12-21,2142622,0.34830230010952895,7.25
겟 아웃,2017-05-17,2138146,0.3127129750982962,8.22
나의 사랑 나의 신부,2014-10-08,2135614,0.376753507014028,9.17
굿바이 싱글,2016-06-29,2108273,0.6089223638470452,9.39
이클립스,2010-07-07,2105050,0.335033346410357,9.43
몽타주,2013-05-16,2095375,0.37439024390243897,8.79
명당,2018-09-19,2087474,0.4238845144356955,9.08
논스톱,2014-02-27,2084457,0.2657563025210084,9.45
쩨쩨한 로맨스,2010-12-01,2080574,0.252054794520548,8.71
장화신은 고양이,2012-01-12,2080154,0.4214285714285714,9.43
인투 더 스톰,2014-08-28,2078492,0.4699812382739212,9.02
로건,2017-03-01,2070084,0.3929248262792167,9.09
뷰티 인사이드,2015-08-20,2053947,0.1527139697124383,5.65
혹성탈출: 종의 전쟁,2017-08-15,2050909,0.3858144972720187,9.13
봉이 김선달,2016-07-06,2044564,0.4098360655737705,8.83
노아,2014-03-20,2026574,0.40294985250737453,9.3
레버넌트: 죽음에서 돌아온 자,2016-01-14,2007180,0.32401490947816824,8.61
페르시아의 왕자: 시간의 모래,2010-05-27,2003533,0.3680387409200969,9.24
남자가 사랑할 때,2014-01-22,1979311,0.40170333569907735,9.1
루시,2014-09-03,1971837,0.3076557299096529,7.99
협상,2018-09-19,1967721,0.3192488262910798,6.99
알리타: 배틀 엔젤,2019-02-05,1949297,0.33617021276595743,8.85
애나벨 : 인형의 주인,2017-08-10,1934192,0.19760479041916168,8.24
컨저링 2,2016-06-09,1926201,0.19686411149825786,8.95
터보,2013-07-25,1923748,0.31569664902998235,8.96
내안의 그놈,2019-01-09,1901684,0.4188948306595365,8.7
수어사이드 스쿼드,2016-08-03,1898121,0.2552983371372677,7.67
오늘의 연애,2015-01-14,1891993,0.461262185736275,9.28
글러브,2011-01-20,1888100,0.4677419354838709,9.15
퍼시 잭슨과 번개 도둑,2010-02-11,1877226,0.35674931129476584,9.19
해결사,2010-09-09,1873327,0.27586206896551724,7.8
연애의 온도,2013-03-21,1865195,0.4636824324324325,8.62
아이들...,2011-02-17,1864408,0.2540125610607118,9.35
마약왕,2018-12-19,1864076,0.39147286821705424,7.92
테이큰 3,2015-01-01,1860934,0.14251401120896715,8.9
코리아,2012-05-03,1857392,0.40294840294840295,8.43
지.아이.조 2,2013-03-28,1855917,0.3118279569892473,8.79
노무현입니다,2017-05-25,1854867,0.2059235892043463,8.36
집으로 가는 길,2013-12-11,1854625,0.2399735566328779,7.47
악마를 보았다,2010-08-12,1848418,0.3296500920810313,8.84
뺑반,2019-01-30,1826714,0.3780160857908847,7.34
나의 PS 파트너,2012-12-06,1823116,0.5,8.78
007 스펙터,2015-11-11,1820842,0.2747826086956522,9.25
분노의 질주: 더 맥시멈,2013-05-22,1790457,0.20977596741344195,9.68
저스티스 리그,2017-11-15,1786386,0.2346640701071081,8.05
공범,2013-10-24,1766285,0.3806970509383378,9.0
나를 찾아줘,2014-10-23,1764233,0.2272727272727273,9.09
대호,2015-12-16,1762742,0.35844994617868675,8.28
걸리버 여행기,2011-01-27,1762070,0.3316326530612245,8.74
주먹왕 랄프 2: 인터넷 속으로,2019-01-03,1754375,0.3509933774834437,9.51
이미테이션 게임,2015-02-17,1743774,0.34549356223175964,9.0
전설의 주먹,2013-04-10,1737253,0.40500201694231547,8.29
제보자,2014-10-02,1735640,0.4080254270957489,8.57
씽,2016-12-21,1729426,0.4215686274509804,9.4
러브픽션,2012-02-29,1726202,0.3931297709923664,9.49
킬러의 보디가드,2017-08-30,1721757,0.27163461538461536,9.36
언터처블: 1%의 우정,2012-03-22,1719772,0.5178147268408549,9.51
평양성,2011-01-27,1717566,0.29110512129380056,8.18
샌 안드레아스,2015-06-03,1714071,0.3328509406657019,8.84
파파로티,2013-03-14,1713891,0.5606435643564357,9.28
쥬만지: 새로운 세계,2018-01-03,1708672,0.3498168498168498,8.36
쎄시봉,2015-02-05,1707487,0.05757389162561576,2.95
토르: 천둥의 신,2011-04-28,1694529,0.24354243542435425,8.82
콩: 스컬 아일랜드,2017-03-08,1685933,0.2564784053156146,8.44
피끓는 청춘,2014-01-22,1676040,0.4451127819548872,9.39
23 아이덴티티,2017-02-22,1675798,0.32934131736526945,8.64
PMC: 더 벙커,2018-12-26,1671548,0.30584192439862545,7.61
마다가스카의 펭귄,2014-12-31,1661230,0.33555555555555555,9.63
아이스 에이지 4: 대륙 이동설,2012-07-25,1648070,0.3678929765886288,9.63
