DIRECTOR_53,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,ACTOR_53,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
김병우,7,3,31,97.0,한국,롯데쇼핑㈜롯데엔터테인먼트,범죄,15세이상관람가,하정우,0.0,2051.0,0.0,0.0,5583596
콜린 트레보로우,6,2,24,124.0,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,12세이상관람가,크리스 프랫,1.0,894.0,15462.0,0.0,5546792
라이언 플렉/애너 보든,3,1,10,123.0,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,브리 라슨,0.0,2160.0,2969.0,0.0,5540958
장훈,2,1,5,116.0,한국,(주)쇼박스,드라마,15세이상관람가,송강호,0.0,533.0,0.0,0.0,5507106
김병서/조의석,7,3,27,118.0,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,15세이상관람가,기타,0.0,1098.0,0.0,0.0,5496547
페이튼 리드,7,3,27,118.0,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,폴 러드,1.0,202.0,1781.0,0.0,5447826
기타,10,4,43,114.0,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,기타,0.0,820.0,17810.0,0.0,5446379
장재현,11,4,45,108.0,한국,씨제이이앤엠(주),미스터리,15세이상관람가,김윤석,0.0,517.0,15918.0,0.0,5440945
기타,9,3,38,135.0,한국,(주)넥스트엔터테인먼트월드(NEW),사극,12세이상관람가,이태진,0.0,607.0,2468.0,0.0,5440186
기타,2,1,7,134.0,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,채드윅 보스만,1.0,388.0,7497.0,0.0,5398994
한재림,1,1,3,134.0,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,15세이상관람가,조인성,0.0,1086.0,17679.0,0.0,5316325
기타,10,4,42,107.0,한국,씨제이이앤엠(주),드라마,12세이상관람가,김윤석,0.0,725.0,0.0,1.0,5310510
마이클 베이,6,2,26,164.0,미국,씨제이이앤엠(주),액션,12세이상관람가,기타,1.0,3534.0,8008.0,0.0,5295801
기타,10,4,44,115.0,한국,롯데컬처웍스(주)롯데엔터테인먼트,드라마,15세이상관람가,유해진,0.0,125.0,608.0,0.0,5294119
기타,6,2,25,115.0,미국,롯데쇼핑㈜롯데엔터테인먼트,드라마,15세이상관람가,기타,0.0,1001.0,0.0,1.0,5237525
김지훈,12,4,52,121.0,한국,씨제이이앤엠(주),드라마,12세이상관람가,기타,0.0,1412.0,0.0,0.0,5181014
기타,3,1,11,129.0,미국,월트디즈니컴퍼니코리아 유한책임회사,멜로,전체관람가,기타,0.0,199.0,8894.0,0.0,5137993
기타,5,2,21,123.0,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,15세이상관람가,기타,0.0,265.0,2703.0,0.0,5063620
여인영,5,2,21,91.0,미국,씨제이이앤엠(주),애니메이션,전체관람가,기타,1.0,620.0,0.0,0.0,5062722
기타,12,4,51,143.0,미국,워너브러더스 코리아(주),액션,12세이상관람가,기타,1.0,205.0,833.0,0.0,5038134
윤종빈,8,3,32,137.0,한국,씨제이이앤엠(주),드라마,12세이상관람가,황정민,0.0,254.0,2437.0,0.0,4971261
피트 닥터,7,3,28,101.0,미국,월트디즈니컴퍼니코리아(주),애니메이션,전체관람가,다이안 레인,0.0,164.0,3102.0,0.0,4968687
기타,9,3,39,140.0,미국,이십세기폭스코리아(주),액션,청소년관람불가,기타,,664.0,24898.0,0.0,4945484
김주호,8,3,32,121.0,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,12세이상관람가,기타,0.0,128.0,0.0,0.0,4897551
기타,10,4,41,142.0,미국,이십세기폭스코리아(주),액션,12세이상관람가,기타,0.0,617.0,6812.0,1.0,4875494
타이카 와이티티,10,4,43,130.0,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,기타,1.0,515.0,13239.0,0.0,4857152
기타,6,2,26,136.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,기타,1.0,1063.0,0.0,0.0,4853123
기타,11,4,48,85.0,한국,CGV아트하우스,다큐멘터리,전체관람가,조병만,0.0,191.0,8651.0,0.0,4801355
김석윤,1,1,4,115.0,한국,(주)쇼박스,코미디,12세이상관람가,기타,1.0,466.0,0.0,1.0,4786259
윤종빈,7,3,30,137.0,한국,(주)쇼박스,사극,15세이상관람가,하정우,0.0,1738.0,14319.0,0.0,4774895
윤종빈,2,1,5,133.0,한국,(주)쇼박스,범죄,청소년관람불가,최민식,0.0,227.0,0.0,0.0,4710454
리치 무어/바이론 하워드,2,1,7,108.0,미국,월트디즈니컴퍼니코리아(주),애니메이션,전체관람가,지니퍼 굿윈,,687.0,2474.0,0.0,4703245
기타,6,2,23,113.0,미국,워너브러더스 코리아(주),액션,12세이상관람가,톰 크루즈,1.0,365.0,2528.0,1.0,4697142
기타,2,1,8,134.0,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,청소년관람불가,기타,0.0,582.0,0.0,0.0,4682492
