영화명,영문명,감독명,개봉일,키워드,줄거리,수상내역
대영웅 소남인,,원재현,2014-12-24,,"평범한 국수 장사꾼 주인공이 일본 첩보 조직과 청나라 황실의 고수들, 영국의 군대로부터 명나라 황제의 옥새를 지켜낸다는 내용의 무협 영화",
화도대전,,원규,2014-10-08,,남녀간의 사랑이 금지된 왕국에 사는 사람들 사이에서 벌어지는 해프닝과 진정한 사랑을 찾아가는 과정을 그린 내용,
돈 지오반니,DON GIOVANNI,마이클 그랑디지,2012-02-29,"귀족,방탕,모차르트,오페라,뉴욕",방탕한 귀족 돈 후앙의 이야기를 바탕으로 만들어진 모차르트 오페라로 뉴욕 메트로폴리탄 공연 실황을 담은 영화,
머펫 대소동,,제임스 보빈,2012-05-18,,세명의 팬들의 도움으로 머펫들은 그들의 오래된 스튜디오를 지키기 위해 재결합한다.,아카데미 시상식(2012) : 주제가상 - 브렛 맥켄지
루팡 3세: 칼리오스트로의 성,,미야자키 하야오,2017-05-25,"애니메이션, 소설원작, 도둑, 경찰, 추적, 보물, 결혼, 신부","대도둑인 루팡 3세는 국제 카지노를 털고 도망가지만, 그 돈이 모두 위조지폐라는 것을 깨닫고 위조지페가 만들어진 카리오스트로로 향한다. 그리고 우연히 괴한에게 쫓기던 여인을 구하고, 여인은 자신을 구하기 위해 애쓰다 다친 루팡을 보살펴준다. 그러나 다시 나타난 괴한들 때문에 도망을 치던 여인은 결국 괴한들에게 잡혀가고, 남겨진 그녀의 장갑을 살펴본 루팡은 그녀의 정체를 알아낸다. 그녀를 구하기로 결심한 루팡은 동료인 고에몽을 부르는데...",
10일간의 원나잇 스탠드,,다니엘 아르비드,2012-11-29,"레바논,가수,가정폭력,질투","레바논 정부가 상영금지 조치를 내린 문제작!치명적인 육체의 탐닉...거부할 수 없는 그들의 뜨거운 사랑이 시작된다!‘조하’는 레바논의 작은 라이브 카페에서 노래하는 가수다. 남편의 폭력에 시달리던 그녀는 남편과 이혼은 했지만 여전히 그의 감시와 폭행 속에 두려운 삶을 살아 가고 있다. 그러던 그녀는 어느 날, 프랑스 출신의 변호사 ‘마티유’를 만나게 되고 ‘마티유’의 사려 깊은 마음에 매력을 느끼게 된다. 하지만 둘 사이가 가까워 질수록 ‘조하’의 전남편은 질투심으로 두 사람을 더욱 압박하기 시작하고 ‘마티유’의 숨겨진 비밀이 밝혀지면서 ‘마티유’와 ‘조하’의 뜨거웠던 10일간의 애정행각은 파국으로 치닫기 시작하는데...",
옥보단2012 : 천하애정비법,, 마크 우,2012-12-13,"중산층,사춘기,호기심,멘토","홍콩박스오피스 1위! 대륙을 에로틱한 물결로 물들인 놀라운 XX비법이 공개된다!‘프랭키’는 중산층 가정에서 엄격한 교육을 받고 자란 바른 소년이다. 어느덧 사춘기에 접어든 그는 섹스와 여자가 궁금해지기 시작하자 그는 같은 반의 ‘섹스 멘토’인 찬구 ‘징’에게 많은 것을 의지한다. ‘징’의 도움으로 ‘프랭키’는 자신이 좋아하는 ‘조이’와 캠핑을 할 기회가 생긴다. 그녀와 단둘이 시간을 보내며 동정을 ‘조이’에게 바치게 되는 듯 싶지만...그게 쉽지만은 않다! 그 일로 ‘프랭키’는 학교에서 섹스도 못하는 샌님으로 유명해져 왕따를 당하게 된다. 마음에 큰 상처를 입은 ‘프랭키’는 홍콩을 떠나 영국 유학 길에 오르게 되고, 그곳에서 공부에 전념하던 그는 기분전환을 위해 중국 본토로 여행을 떠난다. 그곳에서 오랜 친구이자 자신의 ‘섹스멘토’였던 ‘징’과 함께 클럽을 누비며 그가 몰랐던 남자들만의 세계에 푹 빠져들게 되는데...",
반딧불 언덕에서,,,2012-11-01,"여름방학,시골,1970년대,반딧불","일 년 전, 교통사고로 아버지를 잃은 초등학교 6 학년 ‘유타’는 이번 여름방학도 아버지와 함께 갔던 시골에 찾아간다. 하지만 댐이 건설되어 마을은 물에 잠겨 사라진 지 오래. 딱정벌레를 잡으려고 산 속을 헤매던 중, 유타는 이상한 할아버지를 만나게 된다. 할아버지가 사라진 뒤, 갑자기 폭우가 내리고 유타는 그만 급류에 휩쓸려 정신을 잃고 만다. 그리고 깨어났을 때 눈 앞에 ‘사에코’라는 여자아이와 마주하게 된다. 사에코를 집에 데려다 주려고 산 밑을 내려다 보는 순간, 없어졌던 마을이 눈 앞에 펼쳐진다. 30년 전으로 시간여행을 하게 된 것. 혼자 계신 어머니가 걱정되지만 이곳에서 여름방학을 보내야 하는 어쩔 수 없는 마법에 걸려 버린다. 사에코는 유타를 사촌오빠로 여기고 마을 친구 켄조와 함께 여름방학 한달 동안 과거의 시골 마을에서 생활을 한다. 어색한 기운은 곧 사라지고, 이내 1970 년 대 시골마을의 아름다운 자연 속에 살아가는 행복한 시간에 빠져든다. 무엇보다도 마을의 명물 ‘무지갯빛 반딧불’과 마주하면서 잊을 수 없는 추억을 만든다. 어느 덧 여름방학이 끝나고 집으로 돌아가야 하는 시간이다. 마을을 떠나면 마법이 풀리면서 유타는 모든 것을 기억할 수 없게 될 것이다. 좋아하는 것은 사라지고 만다는 마을 신관 할아버지의 말씀처럼 유타는 아름다운 반딧불의 기억과 친구들과의 추억을 모두 잊어버리게 될까?",
우리동네 포르노스타,,프랭크 가스탐비드,2013-07-10,"포르노,스타,대박,백수,소꿉친구",포르노 스타로 대박을 꿈꾸는 15년 지기 얼간이 백수 친구들의 좌충우돌 해프닝을 그린 영화,
슬립리스 나이트,,프레더릭 자뎅,2013-07-11,"마약,부패경찰,갱단,내사과","마약을 차지하기 위해 벌이는 부패경찰과 갱단, 경찰내사과의 이야기를 그린 영화",
가자! 장미여관으로 3 - 방황,"Let’s Go to Rose Motel 3 : Wandering ( Gaja, Jangmiyeogwaneuro 3 )",김봉은,2014-10-08,,장미 여관을 배경으로 남녀의 엇갈린 사랑과 욕정을 그린 내용,
에비던스,,올라턴드 오선샌미,2013-12-26,"살인사건,사건현장,동영상,범인,색출",살인사건 현장에서 발견된 동영상으로 범인을 색출하는 과정을 담은 영화속의 영화,
신데렐라,Cinderella,메트오페라,2018-12-01,"오페라,신데렐라,왕자",계모 슬하에서 언니들의 방해에도 불구하고 왕자와 행복한 결혼식을 올리게 된다는 내용의 신데렐라를 현대적으로 해석한 오페라 공연 실황,
알렉산더 : 절대 영웅의 탄생,,이코르 카리오노프,2013-09-17,"알렉산더,왕자,배신,음모,전쟁",알렉산더 왕자가 주변의 배신과 음모에도 불구하고 스웨덴과의 전쟁을 승리로 이끌기까지의 이야기,
해결사,,니쉬칸트 카마트,2013-01-24,"경찰,마약단속반,보복,살해,마약조직,응징",뭄바이 경찰의 마약단속 요원들이 보복을 위해 경찰 가족까지 가리지 않고 무참히 살해하는 잔혹한 마약조직 두목을 응징하는 이야기,
더 패키지: 일급비밀,,,2013-07-26,"사채,악당,동생,활약상",사채업계 악당들을 물리치고 동생을 구하는 주인공 남자의 활약상을 그린 영화,
무사 4대 문파와의 혈투,,서호봉,2013-08-23,"왜구,전투,호위무사,무술고수",왜구와의 전투에서 큰 공을 세운 장군의 호위무사가 새로운 문파를 세우기 위해 기존의 무술 고수들과 겨룬다는 내용의 영화,
차일디쉬 게임즈,,안토니오 샤바리아스,2013-09-26,"실수,죽음,죄의식",어릴적 실수로 소녀를 죽음에 이르게 한 두 남자가 죄의식으로 인해 벌어지는 일을 그린 영화,
열애,Passionate Love ( Yeorae ),이숭환,2014-07-23,,"슬프고도 치명적인 금지된 사랑아픔을 달래는 그들의 위험한 관계가 시작된다!동우는 다른 남자와 밤을 보낸 부인, 민희를 여전히 그리워한다. 동우와 민희는 애증 관계를 이어가며, 관계의 매듭을 짓지 못한다. 어느 날, 동우는 5년 난 남자친구에게 이별을 통보 받은 윤서를 만나, 서로의 처지에 대해 한탄한다. 그들은 우연히 몇 번 더 마주치면서, 깊은 상실감을 인정해야만 새로운 사랑을 시작할 수 있음을 깨닫는다.",
꽃보다 처녀귀신,Ghost over Flowers ( Ggotboda Cheonyeoguishin ),최영민,2015-01-15,,사채회사 직원인 주인공이 처녀귀신들의 도움으로 연애 기술을 터득하고 첫사랑을 이루게 된다는 내용,
로우,Raw,줄리아 듀코나우,2017-08-05,,"여린 표정, 가늘고 연약한 몸에 속지 말 것. 철저한 채식주의자 가정에서 자라 수의대생이 된 저스틴(가렌스 마릴러). 동물 피를 온몸에 뒤집어쓰고, 억지로 토끼 콩팥을 먹어야 하는 혹독한 신고식을 치른 뒤, 저스틴은 낯선 욕망에 사로잡힌다. 생고기·피에 대한 참을 수 없는 갈증. 저스틴의 욕망은 급기야 인육에 대한 식욕으로까지 번진다.",시체스 국제판타스틱 영화제(2016) : 시민케인상(신인감독상) - 줄리아 듀코나우|시체스 국제판타스틱 영화제(2016) : 멜리스-유럽최우수작품상 - 줄리아 듀코나우|시체스 국제판타스틱 영화제(2016) : Carnet Jove 심사위원상 - 줄리아 듀코나우
카르멘,CARMEN,안드리스 넬슨스,2012-11-10,,집시 여인을 사랑했으나 배신 당한 남자의 복수를 그린 오페라 공연 실황,
드래곤 아이즈,,존 하이암스,2012-12-20,"부패경찰,광장,무술,마약","황폐화 되어 가는 도시를 구할 극강 무술의 그들이 나타난다!마약상들과 부패한 경찰들로 인하여 황폐화 되어가는 세인트 주드 광장. 이들의 횡포로 인해 시민들은 희망이 없는 나날을 살고 있다. 더 이상의 부정부패를 지켜볼 수 만은 없는 티아노(장 클로드 반담)와 미스터 홍(쿵리)은 부패 경찰 서장의 횡포 그리고 억울하게 누명을 쓴 광장 사람들에게 평화를 되찾아 주기 위해 연합을 시도, 횡포에 맞서기 위한 극강의 무술 훈련을 시작하는데…",
식스 블릿츠: 분노의 추적,,어니 바바라쉬,2013-08-16,"딸,납치,구출,인신매매",딸을 납치당한 부모가 인신매매 당한 아이들을 구하는 남자 삼손에게 도움을 요청하고 우여곡절 끝에 아이를 구출한다는 내용의 영화,
뜨거운 욕망,,베르나르 진진,2013-07-12,,,
아웃포스트 : 블랙선,,스티브 바커,2013-06-20,"제2차세계대전,나치,좀비,전쟁,악당,복수",2차세계대전 말을 배경으로 나치 좀비 군단을 만들어 전쟁을 벌이려는 악당들과 그들에게 목숨을 잃은 부모의 복수를 하려는 여자의 이야기를 그린 내용,
