순번,영진위 영화명,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
1260,더 시그널,더시그널,윌리엄 유뱅크,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2014-07-09,개봉영화,장편,미국,263,"809,982,328",105818,"353,324,028","44,821",SF,12세이상관람가,일반영화
1261,공주와 개구리,공주와개구리,"존 머스커,론 클레멘츠",월트디즈니 애니메이션 스튜디오,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-01-21,개봉영화,장편,미국,81,"716,485,106",105654,"299,783,500","41,898",애니메이션,전체관람가,일반영화
1262,바람이 분다,바람이분다,미야자키 하야오,스튜디오 지브리,대원미디어(주),롯데쇼핑㈜롯데엔터테인먼트,2013-09-05,개봉영화,장편,일본,288,"741,722,500",105650,"306,820,500","41,937",애니메이션,전체관람가,일반영화
1263,니드 포 스피드,니드포스피드,스캇 워프,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-04-16,개봉영화,장편,미국,349,"835,859,900",105340,"222,825,000","25,663",액션,15세이상관람가,일반영화
1264,미래의 미라이,미래의미라이,호소다 마모루,,(주)얼리버드픽쳐스,메가박스중앙(주)플러스엠,2019-01-16,개봉영화,장편,일본,508,"850,022,957",104950,"287,591,737","34,117",애니메이션,전체관람가,일반영화
1265,라스트 엑소시즘,라스트엑소시즘,다니엘 스탬,스트라이크엔터테인먼트,코리아 코어 컨텐츠,(주)시너지하우스 (시너지),2010-12-01,개봉영화,장편,미국,171,"734,954,077",104936,"204,889,500","27,420",공포(호러),15세이상관람가,일반영화
1266,5백만불의 사나이,5백만불의사나이,김익로,"(주)하리마오픽쳐스,(주)제이와이피엔터테인먼트,(주)바른손이앤에이",,씨제이이앤엠(주),2012-07-19,개봉영화,장편,한국,331,"739,789,500",104736,"193,733,000","25,929",코미디,15세이상관람가,일반영화
1267,인사이드 르윈,인사이드르윈,"조엘 코엔,에단 코엔",,블루미지,블루미지,2014-01-29,개봉영화,장편,미국,70,"808,287,200",104601,"552,247,700","69,376",드라마,15세이상관람가,독립/예술영화
1268,킹 오브 프리즘,킹오브프리즘,히시다 마사카즈,,동우에이앤이(주),(주)박수엔터테인먼트,2016-08-11,개봉영화,장편,일본,53,"859,771,500",103852,"630,836,000","73,057",애니메이션,12세이상관람가,일반영화
1269,꿈은 이루어진다,꿈은이루어진다,계윤식,"(주)드림슈거픽쳐스,와이케이픽쳐스,EXCON",,씨제이엔터테인먼트,2010-05-27,개봉영화,장편,한국,222,"730,581,233",103627,"201,625,000","27,110",코미디,15세이상관람가,일반영화
1270,베리 굿 걸,베리굿걸,나오미 포너,,(주)도키엔터테인먼트,(주)영화사 빅,2014-09-25,개봉영화,장편,미국,338,"777,703,345",103625,"257,889,345","32,904",멜로/로맨스,15세이상관람가,독립/예술영화
1271,다이버전트 시리즈 얼리전트,다이버전트시리즈얼리전트,로베르트 슈벤트케,,(유)조이앤시네마,씨네그루(주)키다리이엔티,2016-05-12,개봉영화,장편,미국,393,"818,883,545",103554,"280,520,645","34,203",액션,12세이상관람가,일반영화
1272,더 테이블,더테이블,김종관,볼미디어(주),,(주)엣나인필름,2017-08-24,개봉영화,장편,한국,272,"830,762,100",103054,"473,573,400","56,654",드라마,12세이상관람가,독립/예술영화
1273,워 호스,워호스,스티븐 스필버그,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-02-09,개봉영화,장편,미국,229,"734,302,500",102195,"261,101,500","35,001",전쟁,12세이상관람가,일반영화
1274,루시드 드림,루시드드림,김준성,(주)로드픽쳐스,,(주)넥스트엔터테인먼트월드(NEW),2017-02-22,개봉영화,장편,한국,461,"759,481,000",102170,"225,006,500","29,168",SF,15세이상관람가,일반영화
1275,박스트롤,박스트롤,"그레이엄 애나블,안소니 스타치",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2014-11-06,개봉영화,장편,미국,346,"725,030,100",101665,"165,812,900","22,285",애니메이션,전체관람가,일반영화
1276,일대종사,일대종사,왕가위,,CGV아트하우스,CGV아트하우스,2013-08-22,개봉영화,장편,중국,193,"733,528,000",101461,"354,286,000","47,284",액션,12세이상관람가,독립/예술영화
1277,R.I.P.D.  알.아이.피.디.,ripd알아이피디,로베르트 슈벤트케,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2013-08-22,개봉영화,장편,미국,268,"725,451,071",101460,"213,165,571","27,894",액션,15세이상관람가,일반영화
1278,게이트,게이트,신재호,삼삼공구 브라더스,,(주)제이앤씨미디어그룹,2018-02-28,개봉영화,장편,한국,208,"820,756,100",101173,"187,520,600","22,814",범죄,15세이상관람가,일반영화
1279,돌연변이,돌연변이,권오광,영화사 우상,,필라멘트픽쳐스,2015-10-22,개봉영화,장편,한국,399,"748,936,684",100543,"196,277,284","24,547",드라마,12세이상관람가,일반영화
1280,바닷마을 다이어리,바닷마을다이어리,고레에다 히로카즈,,(주)티캐스트,(주)티캐스트,2015-12-17,개봉영화,장편,일본,67,"821,350,384",100225,"603,958,884","70,987",드라마,12세이상관람가,독립/예술영화
1281,극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE,극장판파워레인저트레인포스vs다이노포스themovie,와타나베 카츠야,,대원미디어(주),"(주)스마일이엔티,(주)영화사오원",2015-11-26,개봉영화,장편,일본,344,"731,072,500",100054,"140,786,100","18,423",액션,전체관람가,일반영화
1282,딥워터 호라이즌,딥워터호라이즌,피터 버그,,(주)우성엔터테인먼트,메가박스중앙(주)플러스엠,2017-01-25,개봉영화,장편,미국,433,"775,611,543",100021,"236,676,643","30,009",액션,12세이상관람가,일반영화
1283,미니특공대X,미니특공대x,이영준,(주)삼지애니메이션,,(주)삼지애니메이션,2018-03-22,개봉영화,장편,한국,458,"744,858,200",99952,"131,013,800","16,957",애니메이션,전체관람가,일반영화
1284,크게 될 놈,크게될놈,강지은,밀짚모자영화사(주),,(주)영화사오원,2019-04-18,개봉영화,장편,한국,447,"768,465,420",99793,"146,506,530","18,392",드라마,15세이상관람가,일반영화
1285,라스트 미션,라스트미션,클린트 이스트우드,,워너브러더스 코리아(주),워너브러더스 코리아(주),2019-03-14,개봉영화,장편,미국,472,"819,899,889",99127,"297,597,839","35,865",드라마,15세이상관람가,일반영화
1286,타운,타운,벤 애플렉,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-01-27,개봉영화,장편,미국,158,"763,767,000",98866,"321,492,000","40,292",드라마,청소년관람불가,일반영화
1287,라이언,라이언,가스 데이비스,,(주)우성엔터테인먼트,(주)이수C&E,2017-02-01,개봉영화,장편,호주,205,"736,334,100",98660,"268,044,000","35,523",드라마,12세이상관람가,독립/예술영화
1288,로덴시아 마법왕국의 전설,로덴시아마법왕국의전설,데이비드 비스바노,,(주)시네마리퍼블릭,(주)영화사 빅,2013-10-02,개봉영화,장편,페루,221,"632,768,500",98575,"162,525,500","24,021",애니메이션,전체관람가,독립/예술영화
1289,빌리와 용감한 녀석들 3,빌리와용감한녀석들3,척 파워스,,㈜코리아스크린,롯데쇼핑㈜롯데엔터테인먼트,2015-04-30,개봉영화,장편,미국,343,"699,788,600",98495,"177,312,700","23,652",애니메이션,전체관람가,독립/예술영화
1290,대병소장,대병소장,장성,,(주)동아수출공사,(주)싸이더스,2010-03-11,개봉영화,장편,홍콩,158,"718,183,268",98435,"136,399,500","17,622",액션,12세이상관람가,일반영화
1291,김광석,김광석,이상호,(주)씨네포트,,(주)비엠컬쳐스,2017-08-30,개봉영화,장편,한국,223,"772,483,500",98231,"346,699,400","41,838",다큐멘터리,15세이상관람가,독립/예술영화
1292,맥베스,맥베스,저스틴 커젤,,판씨네마(주),판씨네마(주),2015-12-03,개봉영화,장편,영국,141,"744,966,853",98161,"390,696,453","49,594",드라마,15세이상관람가,독립/예술영화
1293,이웃집에 신이 산다,이웃집에신이산다,자코 반 도마엘,,(주)엣나인필름,(주)엣나인필름,2015-12-24,개봉영화,장편,벨기에,73,"790,535,650",97883,"428,475,050","51,331",코미디,청소년관람불가,독립/예술영화
1294,여중생A,여중생a,이경섭,"(주)영화사울림,네이버웹툰 주식회사",,롯데컬처웍스(주)롯데엔터테인먼트,2018-06-20,개봉영화,장편,한국,479,"811,686,000",97849,"304,755,500","33,816",드라마,12세이상관람가,일반영화
1295,레이디 버드,레이디버드,그레타 거윅,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-04-04,개봉영화,장편,미국,344,"794,126,700",97777,"448,029,200","53,878",코미디,15세이상관람가,일반영화
1296,콜드 체이싱,콜드체이싱,한스 페터 몰란트,,(유)조이앤시네마,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",2019-02-20,개봉영화,장편,영국,480,"770,722,607",97681,"247,471,807","30,214",액션,15세이상관람가,독립/예술영화
1297,인류멸망 보고서,인류멸망보고서,김지운,지오엔터테인먼트,,"롯데쇼핑㈜롯데엔터테인먼트,타임스토리그룹(주)",2012-04-11,개봉영화,옴니버스,한국,236,"702,418,000",97555,"228,281,500","29,802",SF,15세이상관람가,일반영화
1298,쓰리 빌보드,쓰리빌보드,마틴 맥도나,,이십세기폭스코리아(주),이십세기폭스코리아(주),2018-03-15,개봉영화,장편,미국,110,"796,847,700",97079,"497,234,900","60,009",코미디,15세이상관람가,일반영화
