순번,영진위 영화명,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
1686,성실한 나라의 앨리스,성실한나라의앨리스,안국진,한국영화아카데미,,CGV아트하우스,2015-08-13,개봉영화,장편,한국,69,"349,482,500",43964,"175,441,700","21,590",드라마,청소년관람불가,독립/예술영화
1687,혈투,혈투,박훈정,(주)영화사비단길,,(주)싸이더스,2011-02-24,개봉영화,장편,한국,169,"329,280,000",43947,"93,141,000","11,662",액션,15세이상관람가,일반영화
1688,범죄의 여왕,범죄의여왕,"이요섭,김태곤",광화문시네마,,"(주)콘텐츠판다,TCO(주)더콘텐츠온",2016-08-25,개봉영화,장편,한국,270,"343,663,400",43823,"129,520,200","16,136",스릴러,15세이상관람가,독립/예술영화
1689,플래그 더 문,플래그더문,엔리케 가토,,(주)다자인소프트,(주)박수엔터테인먼트,2016-06-02,개봉영화,장편,스페인,244,"320,445,000",43743,"67,970,200","8,882",애니메이션,전체관람가,독립/예술영화
1690,우리별 일호와 얼룩소,우리별일호와얼룩소,장형윤,(주)지금이 아니면 안돼,,(주)인디플러그,2014-02-20,개봉영화,장편,한국,209,"288,773,500",43674,"92,386,000","13,219",애니메이션,전체관람가,독립/예술영화
1691,다이노 어드벤처2 육해공 공룡 대백과,다이노어드벤처2육해공공룡대백과,마이크 데블린,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2018-10-09,개봉영화,장편,영국,322,"335,469,900",43627,"54,117,350","6,630",애니메이션,전체관람가,일반영화
1692,울브스,울브스,데이비드 헤이터,,(주)드림웨스트픽쳐스,(주)프레인글로벌,2014-11-13,개봉영화,장편,미국,291,"313,204,669",43613,"99,784,569","13,006",판타지,15세이상관람가,일반영화
1693,아일라,아일라,칸 울카이,,(주)영화사 빅,(주)영화사 빅,2018-06-21,개봉영화,장편,터키,371,"331,882,900",43612,"113,851,100","14,574",드라마,15세이상관람가,독립/예술영화
1694,약장수,약장수,조치언,(주)26컴퍼니,,"(주)대명문화공장,(주)나이너스엔터테인먼트",2015-04-23,개봉영화,장편,한국,282,"313,238,400",43562,"94,969,000","13,043",드라마,15세이상관람가,일반영화
1695,하이큐!! 재능과 센스,하이큐재능과센스,미츠나카 스스무,,(주)에이원엔터테인먼트,(주)이수C&E,2017-11-15,개봉영화,장편,일본,105,"310,201,500",43221,"114,691,500","15,138",애니메이션,12세이상관람가,일반영화
1696,고백,고백,나카시마 테츠야,,(주)미로비젼,(주)미로비젼,2011-03-31,개봉영화,장편,일본,36,"337,747,500",43127,"221,624,500","27,659",드라마,청소년관람불가,독립/예술영화
1697,꼬마돼지 베이브의 대모험,꼬마돼지베이브의대모험,테레사 스트로젝,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2017-06-15,개봉영화,장편,독일,312,"293,359,100",42879,"48,932,400","6,388",애니메이션,전체관람가,독립/예술영화
1698,스페이스 독,스페이스독,"이나 예블라니코바,스비야토슬라브 우샤코프",,주식회사 루믹스미디어,예지림엔터테인먼트,2012-03-22,개봉영화,장편,러시아,148,"282,088,000",42720,"44,214,000","6,302",애니메이션,전체관람가,일반영화
1699,호스트,호스트,앤드류 니콜,,(주)누리픽쳐스,(주)넥스트엔터테인먼트월드(NEW),2013-04-04,개봉영화,장편,미국,244,"298,122,000",42708,"125,853,000","17,599",SF,15세이상관람가,일반영화
1700,로마,로마,알폰소 쿠아론,,,판씨네마(주),2018-12-12,개봉영화,장편,멕시코,32,"348,864,636",42570,"290,632,536","33,285",드라마,15세이상관람가,일반영화
1701,쿠르스크,쿠르스크,토마스 빈터베르그,,(유)조이앤시네마,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",2019-01-16,개봉영화,장편,벨기에,192,"355,683,500",42484,"173,141,000","21,029",드라마,15세이상관람가,일반영화
1702,페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,페이트스테이나이트헤븐즈필제1장프레시지플라워,스도 토모노리,,(주)애니플러스,(주)박수엔터테인먼트,2017-11-16,개봉영화,장편,일본,172,"338,294,000",42413,"130,930,300","15,898",애니메이션,15세이상관람가,독립/예술영화
1703,그레이트 뷰티,그레이트뷰티,파올로 소렌티노,,(주)영화사 진진,(주)영화사 진진,2014-06-12,개봉영화,장편,이탈리아,51,"326,252,373",42274,"229,194,173","28,823",드라마,청소년관람불가,독립/예술영화
1704,스탠리의 도시락,스탠리의도시락,아몰 굽트,,(주)메인타이틀픽쳐스,타임스토리그룹(주),2012-03-08,개봉영화,장편,인도,164,"281,533,000",42210,"125,000,000","17,779",드라마,전체관람가,독립/예술영화
1705,피케이 별에서 온 얼간이,피케이별에서온얼간이,라즈쿠마르 히라니,,주식회사 더쿱,(주)와우픽쳐스,2015-09-03,개봉영화,장편,인도,184,"326,677,800",42088,"139,163,800","17,050",코미디,15세이상관람가,일반영화
1706,천국에 다녀온 소년,천국에다녀온소년,랜달 월러스,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-06-12,개봉영화,장편,미국,25,"300,249,500",41957,"141,613,000","19,082",드라마,전체관람가,일반영화
1707,일일시호일,일일시호일,오오모리 타츠시,,(주)영화사 진진,(주)영화사 진진,2019-01-17,개봉영화,장편,일본,55,"327,851,019",41458,"198,889,669","23,529",드라마,12세이상관람가,독립/예술영화
1708,스푹스MI5,스푹스mi5,바랫 낼러리,,(주)영화사 빅,(주)영화사 빅,2016-03-17,개봉영화,장편,영국,341,"316,642,549",41416,"95,010,700","11,837",액션,15세이상관람가,일반영화
1709,나쁜 이웃들,나쁜이웃들,니콜라스 스톨러,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2014-07-03,개봉영화,장편,미국,129,"335,244,700",41301,"121,346,900","14,209",코미디,청소년관람불가,일반영화
1710,칠곡 가시나들,칠곡가시나들,김재환,주식회사 단유필름,,"(주)인디플러그,(주)더 피플",2019-02-27,개봉영화,장편,한국,138,"334,048,400",41296,"108,432,500","12,980",다큐멘터리,전체관람가,독립/예술영화
1711,스니치,스니치,릭 로만 워프,,(주)영화사폴,(주)마인스 엔터테인먼트,2013-05-09,개봉영화,장편,미국,153,"286,388,500",41242,"77,925,000","10,724",액션,15세이상관람가,일반영화
1712,진짜로 일어날지도 몰라 기적,진짜로일어날지도몰라기적,고레에다 히로카즈,,(주)미로비젼,(주)미로비젼,2011-12-22,개봉영화,장편,일본,16,"319,050,400",41172,"264,804,400","33,465",드라마,전체관람가,독립/예술영화
1713,극장판 뽀잉 슈퍼 변신의 비밀,극장판뽀잉슈퍼변신의비밀,정미화,(주)크레이지버드스튜디오,,"(주)이수C&E,(주)시너지미디어",2018-09-20,개봉영화,장편,한국,294,"312,710,450",41054,"71,542,300","8,740",애니메이션,전체관람가,일반영화
1714,배반의 장미,배반의장미,박진영,(주)태원엔터테인먼트,,롯데컬처웍스(주)롯데엔터테인먼트,2018-10-18,개봉영화,장편,한국,457,"332,232,550",41054,"94,558,600","11,183",코미디,15세이상관람가,일반영화
1715,레이디버그,레이디버그,장성,(주)삼지애니메이션,,(주)삼지애니메이션,2017-02-22,개봉영화,장편,한국,172,"310,291,500",41041,"83,810,500","10,575",애니메이션,전체관람가,일반영화
1716,잔예 - 살아서는 안되는 방,잔예살아서는안되는방,나카무라 요시히로,,(주)퍼스트런,(주)넥스트엔터테인먼트월드(NEW),2016-07-07,개봉영화,장편,일본,287,"336,004,700",41023,"81,965,200","9,582",공포(호러),15세이상관람가,독립/예술영화
1717,더 포리너,더포리너,마틴 캠벨,,"(주)더블앤조이픽쳐스,케이티하이텔(주)","(주)더블앤조이픽쳐스,TCO(주)더콘텐츠온",2018-02-07,개봉영화,장편,영국,156,"328,887,800",40882,"104,663,500","12,820",액션,15세이상관람가,일반영화
1718,하트 브레이커,하트브레이커,파스칼 쇼메유,,(주)드림웨스트픽쳐스,씨너스엔터테인먼트(주),2012-04-19,개봉영화,장편,프랑스,176,"296,750,000",40793,"116,697,500","14,953",코미디,15세이상관람가,독립/예술영화
1719,세인트 클라우드,세인트클라우드,버 스티어스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2011-01-13,개봉영화,장편,미국,179,"304,965,000",40766,"126,983,500","16,310",멜로/로맨스,12세이상관람가,일반영화
1720,예감은 틀리지 않는다,예감은틀리지않는다,리테쉬 바트라,,미디어소프트,CGV아트하우스,2017-08-10,개봉영화,장편,영국,85,"317,605,400",40750,"196,447,100","24,261",드라마,15세이상관람가,독립/예술영화
1721,데모닉,데모닉,윌 캐논,,(주)우성엔터테인먼트,(주)와우픽쳐스,2015-06-25,개봉영화,장편,미국,146,"308,839,100",40519,"97,264,200","12,197",공포(호러),15세이상관람가,독립/예술영화
1722,마오의 라스트 댄서,마오의라스트댄서,브루스 베레스포드,,,(주)에스비에스콘텐츠허브,2011-04-28,개봉영화,장편,호주,171,"284,739,000",40519,"144,341,000","20,208",드라마,전체관람가,독립/예술영화
1723,유고와 라라 하늘고래와 구름섬 대모험,유고와라라하늘고래와구름섬대모험,왕운비,,(주)타임스토리그룹,와이드 릴리즈(주),2015-04-09,개봉영화,장편,중국,222,"291,706,400",40374,"44,318,800","5,832",애니메이션,전체관람가,독립/예술영화
1724,코블러,코블러,토마스 맥카시,,(주)에이블엔터테인먼트,씨네그루(주)다우기술,2015-04-08,개봉영화,장편,미국,250,"309,895,732",40366,"119,286,032","15,131",판타지,15세이상관람가,독립/예술영화
1725,더 와이프,더와이프,비욘 룬게,,그린나래미디어(주),(주)팝엔터테인먼트,2019-02-27,개봉영화,장편,영국,106,"311,346,951",40222,"186,604,061","23,391",드라마,15세이상관람가,독립/예술영화
1726,이모티 더 무비,이모티더무비,토니 레온디스,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-08-02,개봉영화,장편,미국,134,"288,871,700",40221,"94,316,600","12,576",애니메이션,전체관람가,일반영화
1727,"웰컴, 삼바",웰컴삼바,"올리비에르 나카체,에릭 토레다노",,블루미지,(주)이수C&E,2015-02-18,개봉영화,장편,프랑스,252,"324,426,800",40214,"161,085,800","19,338",코미디,15세이상관람가,독립/예술영화
1728,G-포스 기니피그 특공대,g포스기니피그특공대,호이트 예이트만,월트 디즈니 픽쳐스,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-04-22,개봉영화,장편,미국,80,"412,084,900",40161,"124,918,000","11,835",가족,전체관람가,일반영화
1729,아델라인  멈춰진 시간,아델라인멈춰진시간,리 톨랜드 크리거,,(주)퍼스트런,(주)쇼박스,2015-10-15,개봉영화,장편,미국,239,"310,087,419",40096,"133,252,619","16,730",판타지,12세이상관람가,일반영화
1730,훈장과 악동들,훈장과악동들,김봉곤,진픽쳐스,,어뮤즈,2011-10-27,개봉영화,장편,한국,14,"213,784,000",39916,"15,581,000","2,557",다큐멘터리,전체관람가,독립/예술영화
1731,세이프 헤이븐,세이프헤이븐,라세 할스트롬,,주식회사 풍경소리,(주)팝엔터테인먼트,2013-11-06,개봉영화,장편,미국,133,"281,331,000",39731,"126,212,500","16,937",멜로/로맨스,15세이상관람가,독립/예술영화
1732,노다메 칸타빌레 최종악장,노다메칸타빌레최종악장,"카와무라 야스히로,타케우치 히데키",,"(주)미로비젼,아뮤즈코리아(주)","(주)미로비젼,아뮤즈코리아(주)",2011-01-13,개봉영화,장편,일본,31,"289,590,500",39585,"155,040,500","20,730",드라마,12세이상관람가,독립/예술영화
1733,인피니트 콘서트 세컨드 인베이전 에볼루션 더 무비 3D,인피니트콘서트세컨드인베이전에볼루션더무비3d,손석,"케이비에스미디어(주),(주)울림엔터테인먼트",,골든타이드픽처스(주),2012-10-18,개봉영화,장편,한국,84,"412,379,000",39577,"150,487,000","13,834",공연,전체관람가,일반영화
1734,스트리트 댄스 2 라틴배틀,스트리트댄스2라틴배틀,"맥스 기와,다니아 파스퀴니",,판씨네마(주),판씨네마(주),2012-07-12,개봉영화,장편,영국,133,"281,712,000",39394,"108,192,500","14,250",드라마,12세이상관람가,일반영화
1735,그날 본 꽃의 이름을 우리는 아직 모른다,그날본꽃의이름을우리는아직모른다,나가이 타츠유키,,(주)애니플러스,(주)박수엔터테인먼트,2014-02-20,개봉영화,장편,일본,49,"281,962,500",39349,"109,130,100","14,765",애니메이션,12세이상관람가,독립/예술영화
1736,그레이브 인카운터,그레이브인카운터,더 비셔우스 브라더스,,주식회사 루믹스미디어,(주)팝엔터테인먼트,2012-08-01,개봉영화,장편,캐나다,63,"277,970,000",39266,"89,133,500","11,900",공포(호러),15세이상관람가,일반영화
1737,동급생,동급생,나카무라 쇼코,,(주)애니플러스,(주)박수엔터테인먼트,2016-05-19,개봉영화,장편,일본,100,"280,704,500",38706,"125,103,000","17,010",애니메이션,15세이상관람가,독립/예술영화
1738,말하는 건축가,말하는건축가,정재은,(주)두타연,,"(주)두타연,(주)미디어데이",2012-03-08,개봉영화,장편,한국,20,"301,773,700",38653,"256,114,700","31,557",다큐멘터리,전체관람가,독립/예술영화
1739,내일을 위한 시간,내일을위한시간,"장 피에르 다르덴,뤽 다르덴",,그린나래미디어(주),그린나래미디어(주),2015-01-01,개봉영화,장편,벨기에,44,"309,481,800",38558,"201,827,100","24,489",드라마,12세이상관람가,독립/예술영화
1740,끝과 시작,끝과시작,민규동,"(주)수필름,데이지엔터테인먼트",,롯데쇼핑㈜롯데엔터테인먼트,2013-04-04,개봉영화,장편,한국,185,"272,411,000",38432,"99,712,000","13,958",멜로/로맨스,청소년관람불가,독립/예술영화
1741,자유의 언덕,자유의언덕,홍상수,(주)영화제작전원사,,"(주)영화제작전원사 ,(주)영화사 조제",2014-09-04,개봉영화,장편,한국,46,"309,767,827",38313,"227,720,427","27,243",드라마,청소년관람불가,독립/예술영화
1742,나의 그리스식 웨딩 2,나의그리스식웨딩2,커크 존스,,(주)누리픽쳐스,(주)이수C&E,2016-03-30,개봉영화,장편,미국,327,"288,215,300",38305,"119,864,600","15,488",코미디,15세이상관람가,일반영화
1743,몬스터 파크,몬스터파크,안드레스 코투리어,,(주)일레븐엔터테인먼트,(주)박수엔터테인먼트,2019-01-23,개봉영화,장편,영국,344,"275,767,940",38262,"45,619,200","5,733",애니메이션,전체관람가,독립/예술영화
1744,정글번치 너구리 해적단과 보물지도,정글번치너구리해적단과보물지도,에즈라 와이즈,,그린나래미디어(주),(주)팝엔터테인먼트,2015-06-25,개봉영화,장편,프랑스,247,"272,076,100",38219,"54,021,900","7,115",애니메이션,전체관람가,독립/예술영화
1745,트릭,트릭,이창열,엘씨오픽쳐스,,"(주)스톰픽쳐스코리아,(주)이수C&E",2016-07-13,개봉영화,장편,한국,390,"297,315,300",38155,"81,827,800","10,355",스릴러,15세이상관람가,일반영화
1746,신은 죽지 않았다,신은죽지않았다,해롤드 크론크,,(주)에스와이코마드,"주식회사 마운틴픽쳐스,(주)에스와이코마드",2015-04-16,개봉영화,장편,미국,137,"281,738,000",38149,"132,123,600","17,134",드라마,12세이상관람가,독립/예술영화
1747,흑집사 -북 오브 더 아틀란틱-,흑집사북오브더아틀란틱,아베 노리유키,,(주)애니플러스,(주)박수엔터테인먼트,2017-04-13,개봉영화,장편,일본,94,"285,103,000",37954,"109,963,000","14,294",애니메이션,15세이상관람가,일반영화
1748,4등,4등,정지우,"국가인권위원회,정지우 필름",,"(주)프레인글로벌,CGV아트하우스",2016-04-13,개봉영화,장편,한국,213,"282,006,700",37943,"135,412,300","17,625",드라마,15세이상관람가,독립/예술영화
1749,쟈니 잉글리쉬2  네버다이,쟈니잉글리쉬2네버다이,올리버 파커,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2011-11-02,개봉영화,장편,미국,139,"269,751,500",37823,"84,343,000","11,160",코미디,전체관람가,일반영화
1750,이별의 아침에 약속의 꽃을 장식하자,이별의아침에약속의꽃을장식하자,오카다 마리,,(주)미디어캐슬,(주)미디어캐슬,2018-07-19,개봉영화,장편,일본,121,"321,863,500",37764,"108,319,700","12,465",애니메이션,12세이상관람가,독립/예술영화
1751,타이밍,타이밍,"민경조,박대열","(주)효인엔터테인먼트,베데코리아",,(주)스톰픽쳐스코리아,2015-12-10,개봉영화,장편,한국,196,"284,085,200",37711,"100,876,200","12,633",애니메이션,15세이상관람가,독립/예술영화
1752,슈퍼노바 지구 탈출기,슈퍼노바지구탈출기,캘런 브런커,,㈜코리아스크린,(주)영화사 빅,2014-02-13,개봉영화,장편,미국,230,"245,845,000",37547,"76,691,000","10,810",애니메이션,전체관람가,일반영화
1753,다시 태어나도 우리,다시태어나도우리,"문창용,전진","소나무필름,(주)프로섬",,(주)엣나인필름,2017-09-27,개봉영화,장편,한국,118,"291,521,943",37449,"199,073,143","24,398",다큐멘터리,전체관람가,독립/예술영화
1754,정글번치 최강 악당의 등장,정글번치최강악당의등장,다비드 알로,,그린나래미디어(주),(주)팝엔터테인먼트,2018-04-19,개봉영화,장편,프랑스,331,"292,593,700",37343,"56,514,500","6,729",애니메이션,전체관람가,독립/예술영화
1755,하이큐!! 승자와 패자,하이큐승자와패자,미츠나카 스스무,,(주)에이원엔터테인먼트,"(주)이수C&E,(주)팝엔터테인먼트",2016-12-28,개봉영화,장편,일본,103,"264,399,000",37329,"85,233,000","11,281",애니메이션,12세이상관람가,일반영화
1756,다키스트 아워,다키스트아워,조 라이트,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-01-17,개봉영화,장편,영국,233,"282,157,800",37300,"203,748,900","26,613",드라마,12세이상관람가,독립/예술영화
1757,툴리,툴리,제이슨 라이트맨,,(주)콘텐츠판다,(주)리틀빅픽쳐스,2018-11-22,개봉영화,장편,캐나다,161,"302,483,000",37241,"152,202,000","18,324",드라마,15세이상관람가,일반영화
1758,추억의 마니,추억의마니,요네바야시 히로마사,,대원미디어(주),(주)이수C&E,2015-03-19,개봉영화,장편,일본,242,"284,458,700",37182,"128,028,100","15,878",애니메이션,전체관람가,독립/예술영화
1759,사이드 이펙트,사이드이펙트,스티븐 소더버그,,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2013-07-11,개봉영화,장편,미국,172,"258,658,000",37134,"107,991,000","15,206",스릴러,청소년관람불가,일반영화
1760,폭풍우 치는 밤에 비밀 친구,폭풍우치는밤에비밀친구,아미노 테츠로,,(주)머스트씨무비,(주)마인스 엔터테인먼트,2013-05-01,개봉영화,장편,일본,231,"241,928,500",37112,"53,368,500","7,751",애니메이션,전체관람가,일반영화
1761,옥희의 영화,옥희의영화,홍상수,(주)영화제작전원사,,(주)스폰지이엔티,2010-09-16,개봉영화,장편,한국,21,"285,316,525",37086,"234,210,900","30,282",드라마,청소년관람불가,독립/예술영화
1762,에코 플래닛 3D  지구 구출 특급 대작전,에코플래닛3d지구구출특급대작전,콤핀 켐군니르드,,에이원엔터테인먼트,(주)인벤트스톤,2013-10-09,개봉영화,장편,태국,183,"231,294,000",36811,"55,041,000","8,456",애니메이션,전체관람가,독립/예술영화
1763,파가니니 악마의 바이올리니스트,파가니니악마의바이올리니스트,버나드 로즈,,포커스엔터테인먼트,씨너스엔터테인먼트(주),2014-04-23,개봉영화,장편,독일,100,"270,820,700",36808,"150,464,500","20,058",드라마,15세이상관람가,독립/예술영화
1764,백프로,백프로,김명균,(주)시네마제니스,,(주)마인스 엔터테인먼트,2014-04-03,개봉영화,장편,한국,236,"275,138,600",36792,"85,867,400","10,664",코미디,15세이상관람가,일반영화
1765,반딧불이 딘딘,반딧불이딘딘,등위봉,,(주)아펙스 엔터테인먼트,(주)박수엔터테인먼트,2018-02-22,개봉영화,장편,중국,303,"259,903,900",36737,"30,153,300","4,068",애니메이션,전체관람가,독립/예술영화
1766,극장판 썬더일레븐 GO VS 골판지 전사 W,극장판썬더일레븐govs골판지전사w,미야오 요시카즈,,씨제이이앤엠(주),씨제이이앤엠(주),2013-06-05,개봉영화,장편,일본,99,"240,929,500",36492,"51,073,500","7,400",애니메이션,전체관람가,일반영화
1767,스노든,스노든,올리버 스톤,,주식회사 더쿱,(주)리틀빅픽쳐스,2017-02-09,개봉영화,장편,프랑스,278,"295,958,562",36485,"140,562,462","16,913",스릴러,15세이상관람가,독립/예술영화
1768,가필드 펫 포스 3D,가필드펫포스3d,마크 A.Z. 디페,,(주)미디어데이,(주)화앤담이엔티,2011-01-27,개봉영화,장편,미국,69,"385,817,000",36420,"104,405,000","9,651",애니메이션,전체관람가,일반영화
1769,다크 하우스,다크하우스,대런 린 보우즈만,,(주)스톰픽쳐스코리아,"(주)스톰픽쳐스코리아,(주)디스테이션",2017-06-22,개봉영화,장편,미국,278,"295,604,100",36350,"84,423,800","9,959",공포(호러),청소년관람불가,독립/예술영화
1770,벅스 프렌즈,벅스프렌즈,딩 스,,(주)스톰픽쳐스코리아,(주)스톰픽쳐스코리아,2018-06-06,개봉영화,장편,중국,262,"278,391,600",36308,"50,122,200","6,065",애니메이션,전체관람가,독립/예술영화
1771,더 스토리 세상에 숨겨진 사랑,더스토리세상에숨겨진사랑,"브라이언 클러그만,리 스턴탈",,(주)에스비에스콘텐츠허브,(주)에스비에스콘텐츠허브,2012-12-06,개봉영화,장편,미국,103,"261,313,500",36068,"164,054,500","22,287",드라마,15세이상관람가,독립/예술영화
1772,령  저주받은 사진,령저주받은사진,아사토 마리,,(주)스톰픽쳐스코리아,(주)스톰픽쳐스코리아,2015-06-04,개봉영화,장편,일본,253,"273,761,253",35984,"46,413,753","5,797",공포(호러),15세이상관람가,일반영화
1773,한여름의 판타지아,한여름의판타지아,장건재,모쿠슈라,,㈜인디스토리,2015-06-11,개봉영화,장편,한국,46,"278,925,458",35907,"192,802,758","24,072",드라마,전체관람가,독립/예술영화
1774,드래곤볼 슈퍼 브로리,드래곤볼슈퍼브로리,나가미네 타츠야,,대원미디어(주),(주)이수C&E,2019-02-14,개봉영화,장편,일본,202,"305,497,430",35869,"118,464,760","13,226",애니메이션,전체관람가,일반영화
1775,에스엠타운 더 스테이지,에스엠타운더스테이지,배성상,(주)에스엠 컬처앤콘텐츠,,주식회사 디에스이이디,2015-08-13,개봉영화,장편,한국,65,"284,650,500",35857,"178,037,700","21,777",다큐멘터리,전체관람가,일반영화
1776,반지의 제왕  반지원정대 (확장판),반지의제왕반지원정대확장판,피터 잭슨,,(주)영화사오원,(주)디스테이션,2017-01-11,개봉영화,장편,뉴질랜드,74,"470,027,900",35758,"214,815,000","16,464",판타지,12세이상관람가,일반영화
1777,지구대표 롤링스타즈,지구대표롤링스타즈,임상준,"(주)한컴,캐릭터플랜(주)",,롯데쇼핑㈜롯데엔터테인먼트,2011-03-24,개봉영화,장편,한국,171,"230,047,000",35578,"62,867,000","9,155",애니메이션,전체관람가,일반영화
1778,파워배틀 와치카 미니카 배틀리그 불꽃의 질주,파워배틀와치카미니카배틀리그불꽃의질주,이영준,(주)삼지애니메이션,,(주)삼지애니메이션,2016-08-17,개봉영화,장편,한국,170,"270,014,820",35569,"45,551,700","5,657",애니메이션,전체관람가,독립/예술영화
1779,빌리와 용감한 녀석들 치킨 히어로,빌리와용감한녀석들치킨히어로,"가브리엘 리바 팔라시오 알라트리스테,로돌포 리바 팔라시오 알라트리스테",,㈜코리아스크린,"(주)박수엔터테인먼트,㈜코리아스크린",2016-02-17,개봉영화,장편,미국,241,"248,003,600",35517,"56,138,700","7,673",애니메이션,전체관람가,독립/예술영화
1780,스파키,스파키,"아론 우들리,애론 우들리",(주)레드로버,,예지림엔터테인먼트,2018-04-12,개봉영화,장편,한국,312,"257,040,200",35436,"41,353,300","5,315",애니메이션,전체관람가,일반영화
1781,잠깐만 회사 좀 관두고 올게,잠깐만회사좀관두고올게,나루시마 이즈루,,미디어소프트,(주)이수C&E,2017-10-19,개봉영화,장편,일본,271,"279,455,400",35429,"129,589,300","16,042",드라마,12세이상관람가,독립/예술영화
1782,문라이즈 킹덤,문라이즈킹덤,웨스 앤더슨,,(주)영화사 진진,(주)영화사 진진,2013-01-31,개봉영화,장편,미국,34,"275,919,300",35328,"231,310,300","28,598",코미디,15세이상관람가,독립/예술영화
1783,브루클린의 멋진 주말,브루클린의멋진주말,리차드 론크레인,,(주)에스와이코마드,(주)영화사 진진,2016-01-21,개봉영화,장편,미국,103,"264,523,800",35318,"154,872,100","19,897",드라마,12세이상관람가,독립/예술영화
1784,우리의 20세기,우리의20세기,마이크 밀스,,그린나래미디어(주),그린나래미디어(주),2017-09-27,개봉영화,장편,미국,98,"287,148,600",35296,"198,335,400","23,503",드라마,15세이상관람가,독립/예술영화
1785,세 번째 살인,세번째살인,고레에다 히로카즈,,(주)티캐스트,(주)티캐스트,2017-12-14,개봉영화,장편,일본,119,"287,360,000",35271,"193,712,800","22,936",스릴러,15세이상관람가,독립/예술영화
1786,위핏,위핏,드류 베리모어,맨데이트 픽쳐스,㈜에스앤엠코리아,롯데쇼핑㈜롯데엔터테인먼트,2010-02-18,개봉영화,장편,미국,124,"225,133,182",35241,"60,210,000","8,993",드라마,12세이상관람가,일반영화
1787,엘르,엘르,폴 버호벤,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-06-15,개봉영화,장편,프랑스,56,"276,952,100",35122,"167,650,500","20,740",드라마,청소년관람불가,독립/예술영화
1788,키코리키 황금모자의 비밀,키코리키황금모자의비밀,데니스 체르노프,,(주)영화사 빅,(주)영화사 빅,2017-01-25,개봉영화,장편,러시아,211,"248,074,100",35111,"64,335,100","8,090",애니메이션,전체관람가,독립/예술영화
1789,"그 시절, 우리가 좋아했던 소녀",그시절우리가좋아했던소녀,구파도,,"(주)미로비젼,CNR미디어","(주)드림팩트엔터테인먼트,(주)미로스페이스,씨너스엔터테인먼트(주),(주)미로비젼,(주)박수엔터테인먼트",2012-08-22,개봉영화,장편,대만,113,"248,335,570",34995,"155,256,070","21,563",멜로/로맨스,15세이상관람가,독립/예술영화
1790,드래곤 헌터,드래곤헌터,"기욤 이베르넬,아르튀르 크왁",,미디어소프트,"롯데쇼핑㈜롯데엔터테인먼트,케이비에스미디어(주)",2013-01-24,개봉영화,장편,프랑스,105,"219,090,000",34984,"60,662,000","9,393",애니메이션,전체관람가,일반영화
1791,피터와 모글리의 크리스마스 어드벤처,피터와모글리의크리스마스어드벤처,타파스 차크라바르티,,그린나래미디어(주),(주)팝엔터테인먼트,2017-11-23,개봉영화,장편,인도,250,"241,351,800",34899,"34,577,800","4,409",애니메이션,전체관람가,독립/예술영화
1792,"오늘 밤, 로맨스 극장에서",오늘밤로맨스극장에서,타케우치 히데키,,(주)엔케이컨텐츠,(주)디스테이션,2018-07-11,개봉영화,장편,일본,155,"294,851,000",34897,"127,717,400","14,531",판타지,전체관람가,독립/예술영화
1793,몬스터 왕국,몬스터왕국,에스벤 토프트 야콥슨,,(주)스마일이엔티,씨너스엔터테인먼트(주),2014-05-01,개봉영화,장편,스웨덴,160,"237,248,600",34888,"47,223,000","6,509",애니메이션,전체관람가,일반영화
1794,누구의 딸도 아닌 해원,누구의딸도아닌해원,홍상수,(주)영화제작전원사,,"(주)영화제작전원사 ,(주)영화사 조제",2013-02-28,개봉영화,장편,한국,35,"268,878,400",34876,"211,655,900","26,400",드라마,청소년관람불가,독립/예술영화
1795,펭귄 하이웨이,펭귄하이웨이,이시다 히로야스,,(주)미디어캐슬,(주)넥스트엔터테인먼트월드(NEW),2018-10-18,개봉영화,장편,일본,338,"276,934,100",34795,"105,306,600","12,079",애니메이션,전체관람가,독립/예술영화
