순번,영화명,감독,제작사_x,수입사_x,배급사_x,개봉일_x,영화유형_x,영화형태_x,국적_x,전국스크린수_x,전국매출액_x,전국관객수_x,서울매출액_x,서울관객수_x,장르_x,등급_x,영화구분_x,원제,제작년도,원작도서유무,네이버기대지수,개봉전 평점,총댓글수(개봉전),?순번,영진위 영화명,제작사_y,수입사_y,배급사_y,개봉일_y,영화유형_y,영화형태_y,국적_y,전국스크린수_y,전국매출액_y,전국관객수_y,서울매출액_y,서울관객수_y,장르_y,등급_y,영화구분_y,_merge
3800.0,변태가면,후쿠다 유이치,,에이원엔터테인먼트,에이원엔터테인먼트,2013-11-14,개봉영화,장편,일본,9,"12,521,000",1810.0,"4,008,500",572,액션,15세이상관람가,일반영화,HK: Forbidden Super Hero,2013.0,0.0,0.0,7.96,161.0,3800.0,변태 가면,,에이원엔터테인먼트,에이원엔터테인먼트,2013-11-14,개봉영화,장편,일본,9,"12,521,000",1810.0,"4,008,500",572,액션,15세이상관람가,일반영화,both
13.0,변호인,양우석,위더스필름(주),,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,개봉영화,장편,한국,923,"82,856,578,300",11372451.0,"22,571,929,000","2,978,688",드라마,15세이상관람가,일반영화,The Attorney,2013.0,1.0,0.0,6.08,26634.0,13.0,변호인,위더스필름(주),,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,개봉영화,장편,한국,923,"82,856,578,300",11372451.0,"22,571,929,000","2,978,688",드라마,15세이상관람가,일반영화,both
1481.0,보루토나루토더무비,야마시타 히로유키,,애니박스 엔터테인먼트,와이드 릴리즈(주),2015-12-10,개봉영화,장편,일본,219,"477,101,900",64159.0,"134,933,800","17,676",애니메이션,12세이상관람가,일반영화,BORUTO -NARUTO THE MOVIE-,2015.0,0.0,9014.0,9.76,229.0,1481.0,보루토 - 나루토 더 무비,,애니박스 엔터테인먼트,와이드 릴리즈(주),2015-12-10,개봉영화,장편,일본,219,"477,101,900",64159.0,"134,933,800","17,676",애니메이션,12세이상관람가,일반영화,both
2621.0,보리vs매켄로,야누스 메츠,,(주)싸이더스,(주)엣나인필름,2018-05-10,개봉영화,장편,스웨덴,127,"77,882,433",9080.0,"51,874,333","5,870",드라마,12세이상관람가,독립/예술영화,Borg/McEnroe,2017.0,0.0,51.0,9.80,5.0,2621.0,보리 vs 매켄로,,(주)싸이더스,(주)엣나인필름,2018-05-10,개봉영화,장편,스웨덴,127,"77,882,433",9080.0,"51,874,333","5,870",드라마,12세이상관람가,독립/예술영화,both
219.0,보스베이비,톰 맥그라스,,씨제이이앤엠(주),씨제이이앤엠(주),2017-05-03,개봉영화,장편,미국,"1,116","18,918,869,704",2450023.0,"4,724,943,504","582,820",애니메이션,전체관람가,일반영화,The Boss Baby,2017.0,0.0,4232.0,9.39,118.0,219.0,보스 베이비,,씨제이이앤엠(주),씨제이이앤엠(주),2017-05-03,개봉영화,장편,미국,"1,116","18,918,869,704",2450023.0,"4,724,943,504","582,820",애니메이션,전체관람가,일반영화,both
209.0,보안관,김형주,"(주)영화사 월광,(주)사나이픽처스",,롯데쇼핑㈜롯데엔터테인먼트,2017-05-03,개봉영화,장편,한국,"1,091","20,697,532,509",2571491.0,"4,093,422,209","491,530",범죄,15세이상관람가,일반영화,The Sheriff in Town,2016.0,0.0,2752.0,8.29,198.0,209.0,보안관,"(주)영화사 월광,(주)사나이픽처스",,롯데쇼핑㈜롯데엔터테인먼트,2017-05-03,개봉영화,장편,한국,"1,091","20,697,532,509",2571491.0,"4,093,422,209","491,530",범죄,15세이상관람가,일반영화,both
779.0,보통사람,김봉한,"(주)트리니티엔터테인먼트,(주)영화사장춘",,오퍼스픽쳐스(유),2017-03-23,개봉영화,장편,한국,621,"2,956,397,623",383336.0,"736,134,723","92,067",드라마,15세이상관람가,일반영화,Ordinary Person,2017.0,0.0,2459.0,9.23,366.0,779.0,보통사람,"(주)트리니티엔터테인먼트,(주)영화사장춘",,오퍼스픽쳐스(유),2017-03-23,개봉영화,장편,한국,621,"2,956,397,623",383336.0,"736,134,723","92,067",드라마,15세이상관람가,일반영화,both
18.0,보헤미안랩소디,브라이언 싱어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2018-10-31,개봉영화,장편,미국,936,"86,265,444,785",9946132.0,"27,841,171,195","3,096,109",드라마,12세이상관람가,일반영화,Bohemian Rhapsody,2018.0,0.0,1119.0,9.67,138.0,18.0,보헤미안 랩소디,,이십세기폭스코리아(주),이십세기폭스코리아(주),2018-10-31,개봉영화,장편,미국,936,"86,265,444,785",9946132.0,"27,841,171,195","3,096,109",드라마,12세이상관람가,일반영화,both
4192.0,보희와녹양,안주영,한국영화아카데미,,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2019-05-29,개봉영화,장편,한국,25,"8,994,800",1125.0,"7,821,500",866,드라마,12세이상관람가,독립/예술영화,A Boy and Sungreen,2018.0,0.0,79.0,10.0,7.0,4192.0,보희와 녹양,한국영화아카데미,,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2019-05-29,개봉영화,장편,한국,25,"8,994,800",1125.0,"7,821,500",866,드라마,12세이상관람가,독립/예술영화,both
1813.0,복숭아나무,구혜선,"구혜선 필름,(유)조이앤컨텐츠그룹",,(주)넥스트엔터테인먼트월드(NEW),2012-10-31,개봉영화,장편,한국,201,"240,103,112",33884.0,"102,086,597","13,837",멜로/로맨스,15세이상관람가,일반영화,The Peachtree,2012.0,0.0,0.0,8.59,311.0,1813.0,복숭아나무,"구혜선 필름,(유)조이앤컨텐츠그룹",,(주)넥스트엔터테인먼트월드(NEW),2012-10-31,개봉영화,장편,한국,201,"240,103,112",33884.0,"102,086,597","13,837",멜로/로맨스,15세이상관람가,일반영화,both
