순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
5410,유혹,최우성,주식회사 루믹스미디어,,주식회사 루믹스미디어,2017-01-19,개봉영화,장편,한국,20,"840,000",165,"568,000",114,드라마,청소년관람불가,일반영화
5447,빈센트,박보상,(주)인터하우스,,"(주)인터하우스,노바엔터테인먼트",2017-12-14,개봉영화,장편,한국,5,"667,500",158,0,0,드라마,12세이상관람가,독립/예술영화
5449,슈퍼스타,자비에 지아놀리,,(주)컴퍼니엘,(주)팝엔터테인먼트,2013-08-01,개봉영화,장편,프랑스,5,"758,000",157,"199,000",27,드라마,15세이상관람가,독립/예술영화
5462,돌이킬 수 없는,클레르 드니,,찬란,찬란,2014-10-02,개봉영화,장편,프랑스,4,"1,099,000",152,"544,000",65,드라마,청소년관람불가,독립/예술영화
5565,더 베일,아드리안 테너,,(주)아컴스튜디오,(주)아컴스튜디오,2016-11-28,개봉영화,장편,영국,1,"780,000",130,0,0,스릴러,15세이상관람가,일반영화
5574,불륜 동창회,조태호,(주)영화사가을,,(주)영화사가을,2018-03-02,개봉영화,장편,한국,20,"772,000",130,"364,000",65,멜로/로맨스,청소년관람불가,일반영화
5592,퍼즐,나이토 에이스케,,더컨텐츠콤(주),(주)아컴스튜디오,2014-09-18,개봉영화,장편,일본,1,"1,170,000",130,0,0,공포(호러),청소년관람불가,일반영화
5663,착한 엄마,이리단,(주)영화사 사계절,,(주)영화사 사계절,2017-10-26,개봉영화,장편,한국,20,"728,000",123,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
5718,어밴던드,나초 세르다,까스텔라오 프로듀시오네스,㈜코리아스크린,㈜코리아스크린,2010-04-01,개봉영화,장편,스페인,1,"886,925",112,"873,000",110,공포(호러),청소년관람불가,일반영화
5723,로미오와 줄리엣,데이빗 리보스,,(주)인스터피씨엠,(주)인스터피씨엠,2014-10-23,개봉영화,장편,미국,7,"1,505,000",110,"1,260,000",93,공연,전체관람가,일반영화
5747,불륜의 맛,타지리 유지,,(주)영화사폴,(주)영화사폴,2013-11-21,개봉영화,장편,일본,1,"206,000",103,"206,000",103,멜로/로맨스,청소년관람불가,일반영화
5768,럭키,애비 루트라,,(주)나우콘텐츠,(주)나우콘텐츠,2013-06-19,개봉영화,장편,남아프리카공화국,1,"500,000",100,"500,000",100,가족,15세이상관람가,일반영화
5771,몬스터즈,나카타 히데오,,오퍼스픽쳐스(유),오퍼스픽쳐스(유),2014-12-16,개봉영화,장편,일본,1,"500,000",100,"500,000",100,드라마,15세이상관람가,일반영화
5792,프라이버시,요르그 일레,,(주)나우콘텐츠,(주)나우콘텐츠,2013-06-13,개봉영화,장편,미국,1,"500,000",100,"500,000",100,스릴러,15세이상관람가,일반영화
5802,죽음의 천사,루시아 푸엔조,,(주)컴퍼니엘,(주)컴퍼니엘,2014-05-29,개봉영화,장편,아르헨티나,3,"609,000",96,0,0,스릴러,12세이상관람가,독립/예술영화
5827,마피아,사릭 안드레아시안,,(주)소나무픽쳐스,(주)소나무픽쳐스,2019-03-14,개봉영화,장편,러시아,5,"403,000",84,"288,000",63,액션,15세이상관람가,독립/예술영화
5894,몬스터,에릭 이스튼버그,,(유)조이앤컨텐츠그룹,(유)조이앤컨텐츠그룹,2012-05-03,개봉영화,장편,미국,1,"350,050",75,"350,050",75,액션,12세이상관람가,일반영화
5902,여비서,히로타 미키오,,(유)조이앤컨텐츠그룹,(유)조이앤컨텐츠그룹,2012-05-24,개봉영화,장편,일본,1,"350,050",75,"350,050",75,성인물(에로),청소년관람불가,일반영화
5930,내 여자친구의 엄마,김부곤,(주)영화사가을,,(주)영화사가을,2018-12-04,개봉영화,장편,한국,20,"518,000",71,"122,000",7,멜로/로맨스,청소년관람불가,일반영화
5986,내 여자친구의 엄마,칸바라 이쿠토,,(주)소나무픽쳐스,(주)소나무픽쳐스,2016-06-07,개봉영화,장편,일본,1,"300,000",60,"300,000",60,멜로/로맨스,청소년관람불가,일반영화
6030,사이코메트리,토마스 로우스,,(주)픽쳐레스크,(주)픽쳐레스크,2017-08-02,개봉영화,장편,영국,1,"300,000",60,"300,000",60,범죄,청소년관람불가,일반영화
6093,젊은 새엄마,칸바라 이쿠토,,(주)소나무픽쳐스,(주)소나무픽쳐스,2016-05-17,개봉영화,장편,일본,1,"300,000",60,0,0,멜로/로맨스,청소년관람불가,일반영화
6130,행맨,아담 메이슨,,(주)싸이더스,(주)싸이더스,2017-07-12,개봉영화,장편,영국,1,"300,000",60,"300,000",60,공포(호러),청소년관람불가,일반영화
6146,스나이퍼,프레드 그리부아,,(주)더블앤조이픽쳐스,(주)더블앤조이픽쳐스,2018-03-15,개봉영화,장편,프랑스,5,"720,000",58,"280,000",14,액션,15세이상관람가,독립/예술영화
6242,범죄도시,브라이언 굿맨,,(주)미디어데이,(주)미디어데이,2014-10-23,개봉영화,장편,미국,1,"270,000",54,"270,000",54,액션,청소년관람불가,일반영화
6348,유혹,도걸,,씨네그루(주)다우기술,씨네그루(주)다우기술,2014-09-18,개봉영화,장편,홍콩,1,"270,000",54,"270,000",54,멜로/로맨스,청소년관람불가,일반영화
