순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,원제,제작년도,원작도서유무,네이버기대지수,_merge
,2011빅뱅콘서트bigshow,,,,,,,,,,,,,,,,,,2011.0,0.0,16.0,right_only
,2012,크리스티안 스탈,,,,,,,,,,,,,,,,20zwolf,2012.0,0.0,8.0,right_only
,2012,타카시 마키노,,,,,,,,,,,,,,,,,2013.0,0.0,2.0,right_only
,20122ne1콘서트newevolutioninseoul,,,,,,,,,,,,,,,,,,2012.0,0.0,13.0,right_only
,2012mbc대학가요제,김준현,,,,,,,,,,,,,,,,,2012.0,0.0,0.0,right_only
,2012글로벌다큐멘터리공룡의땅,,,,,,,,,,,,,,,,,,2012.0,0.0,0.0,right_only
,2012글로벌다큐멘터리대산호초,제임스 브리켈,,,,,,,,,,,,,,,,Great Barrier Reef,2012.0,0.0,0.0,right_only
,2012글로벌다큐멘터리지구대비행,,,,,,,,,,,,,,,,,Earthflight,2011.0,0.0,0.0,right_only
,2012둠즈데이,닉 에버하트,,,,,,,,,,,,,,,,2012 Doomsday,2008.0,0.0,0.0,right_only
,2012몬트리얼애니메이티드필름서밋,파트리크 도용,,,,,,,,,,,,,,,,2012 montreal animated film summit,2012.0,0.0,0.0,right_only
,2012빅뱅콘서트alivetourinseoul,,,,,,,,,,,,,,,,,,2012.0,0.0,24.0,right_only
,2012슈퍼노바,안소니 팽크하우저,,,,,,,,,,,,,,,,2012: Supernova,2009.0,0.0,3.0,right_only
,2012최옥란들,장호경,,,,,,,,,,,,,,,,,2012.0,0.0,1.0,right_only
,2012코이카의꿈,,,,,,,,,,,,,,,,,,2012.0,0.0,0.0,right_only
,2012타임포체인지,조아오 G. 아모림,,,,,,,,,,,,,,,,2012: Time for Change,2010.0,0.0,9.0,right_only
,2013빅뱅콘서트alivegalaxytourfinalinseoul,,,,,,,,,,,,,,,,,,2013.0,0.0,80.0,right_only
,2014mama레드카펫,,,,,,,,,,,,,,,,,,2014.0,0.0,0.0,right_only
,2014sbs대기획달과바다,장원준,,,,,,,,,,,,,,,,,2014.0,0.0,0.0,right_only
,2014드라마페스티벌원녀일기,,,,,,,,,,,,,,,,,,2014.0,0.0,0.0,right_only
,2014드라마페스티벌하우스메이트,,,,,,,,,,,,,,,,,,2014.0,0.0,0.0,right_only
,2014드라마페스티벌형영당일기,이재진,,,,,,,,,,,,,,,,,2014.0,0.0,1.0,right_only
,2014미스코리아,,,,,,,,,,,,,,,,,,2014.0,0.0,2.0,right_only
,2014미스코리아미인의법칙,,,,,,,,,,,,,,,,,,2014.0,0.0,0.0,right_only
4762.0,2014베를린필하모닉발트뷔네콘서트,구스타보 두다멜,,,(주)쓰리캣프로덕션,2014-08-04,개봉영화,장편,독일,1,"7,383,000",454,"7,383,000",454,공연,전체관람가,독립/예술영화,,,,,left_only
,2014베를린필하모닉발트뷔네콘서트,,,,,,,,,,,,,,,,,Waldbuhne Concert 2014,2014.0,0.0,25.0,right_only
,2014베를린필하모닉유로파콘서트,,,,,,,,,,,,,,,,,Europakonzert der Berliner Philharmoniker,2014.0,0.0,20.0,right_only
,2014봄여름가을겨울ssaw와인콘서트,,,,,,,,,,,,,,,,,,2014.0,0.0,0.0,right_only
,2014서울fci국제도그쇼,,,,,,,,,,,,,,,,,FCI International Dog Show 2014 in Seoul,2014.0,0.0,0.0,right_only
,2015로드fc,,,,,,,,,,,,,,,,,Road FC,2015.0,0.0,0.0,right_only
,2015베를린필하모닉발트뷔네콘서트,사이먼 래틀,,,,,,,,,,,,,,,,Waldbuhne 2015,2015.0,0.0,51.0,right_only
,2015베를린필하모닉송년음악회,베를린 필하모닉 오케스트라,,,,,,,,,,,,,,,,Gala from Berlin 2015,2015.0,0.0,0.0,right_only
,2015베를린필하모닉신년음악회,,,,,,,,,,,,,,,,,Berlin philharmonic New Year’s Gala,2015.0,0.0,28.0,right_only
,2015베를린필하모닉유로파콘서트,사이먼 래틀,,,,,,,,,,,,,,,,Berlin Philharmonic Europa Concert 2015,2015.0,0.0,17.0,right_only
,2015순천fci인터내셔널도그쇼,김준수,,,,,,,,,,,,,,,,,2015.0,0.0,0.0,right_only
,2016잘츠부르크파우스트,,,,,,,,,,,,,,,,,2016 Salzburg - Faust,2016.0,0.0,19.0,right_only
,2017베를린필하모닉발트뷔네콘서트,,,,,,,,,,,,,,,,,Waldb&#252;hne 2017,2017.0,0.0,18.0,right_only
,2017베를린필하모닉유로파콘서트,,,,,,,,,,,,,,,,,,2017.0,0.0,1.0,right_only
,2017잘츠부르크아이다,,,,,,,,,,,,,,,,,2017 Salzburg - Aida,2017.0,0.0,7.0,right_only
,2017잘츠부르크티토황제의자비,,,,,,,,,,,,,,,,,2017 Salzburg - La clemenza di Tito,2017.0,0.0,8.0,right_only
,2018베를린필하모닉신년음악회,,,,,,,,,,,,,,,,,Berliner Philharmoniker New Year's Eve Gala 2018,2018.0,0.0,29.0,right_only
,2020년우주의원더키디,,,,,,,,,,,,,,,,,2020년 우주의 원더키디,1989.0,0.0,1.0,right_only
,2020레퀴엠,김대종,,,,,,,,,,,,,,,,2020 ; 레퀴엠,1999.0,0.0,0.0,right_only
,2045카니발포크로어,가토 나오키,,,,,,,,,,,,,,,,2045 Carnival Folklore,2015.0,0.0,0.0,right_only
,2047지구최후의날,알레산드로 카폰,,,,,,,,,,,,,,,,2047: Sights of Death,2014.0,0.0,95.0,right_only
10440.0,2047지구최후의날,알렉산드로 카폰,,(주)소나무픽쳐스,(주)소나무픽쳐스,2015-08-05,개봉영화,장편,이탈리아,1,"8,000",1,"8,000",1,액션,15세이상관람가,일반영화,,,,,left_only
,2050어룸오브히스원,주희 소,,,,,,,,,,,,,,,,2050: A Room of His Own,2014.0,0.0,0.0,right_only
,208비행기,파르베즈 이맘,,,,,,,,,,,,,,,,Flight 208,2007.0,0.0,0.0,right_only
,20라이즈4페어런츠앤어리틀에그,한로 스미츠만,,,,,,,,,,,,,,,,"20 Lies, 4 parents and a little egg",2013.0,0.0,0.0,right_only
,20세기소년마지막장우리들의깃발,츠츠미 유키히코,,,,,,,,,,,,,,,,20th Century Boys: The Last Chapter - Our Flag,2009.0,1.0,15.0,right_only
6907.0,20세기소년최종장우리들의깃발,츠츠미 유키히코,,,㈜메가박스,2011-01-13,개봉영화,장편,일본,1,"110,000",15,"110,000",15,애니메이션,12세이상관람가,일반영화,,,,,left_only
,20세여다시한번,레스티 첸,,,,,,,,,,,,,,,,Miss Granny,2014.0,0.0,1270.0,right_only
,212워리어,앙가 드위마스 사송코,,,,,,,,,,,,,,,,212 Warrior,2018.0,0.0,0.0,right_only
,21c오르가즘크리스마스,최영은,,,,,,,,,,,,,,,,,2006.0,0.0,0.0,right_only
,21번가의살인자,앙리 조르주 클루조,,,,,,,,,,,,,,,,The Murderer Lives At Number 21,1942.0,0.0,0.0,right_only
,21세기노인과바다,줄리앙 쎄즈,,,,,,,,,,,,,,,,The Old Santiago and the Sea,2012.0,0.0,3.0,right_only
,21세기도망자,"제프 브레크너,리차드 콤톤,제임스 프라울리,미카엘 살로먼,토머스 J. 라이트",,,,,,,,,,,,,,,,The Fugitive,2000.0,0.0,0.0,right_only
,21세기소녀,"야마토 유키,에다 유카,카토 아야카,린 슈토,타케우치 리사,이가시 아야",,,,,,,,,,,,,,,,21st Century Girl,2018.0,0.0,0.0,right_only
,21세기의기원,장 뤽 고다르,,,,,,,,,,,,,,,,Origins of the 21st Century,2000.0,0.0,2.0,right_only
5231.0,21앤드오버,존 루카스,,(주)수키픽쳐스,(주)수키픽쳐스,2013-12-18,개봉영화,장편,미국,5,"1,000,000",200,"1,000,000",200,코미디,청소년관람불가,일반영화,,,,,left_only
,21앤드오버,"존 루카스,스캇 무어",,,,,,,,,,,,,,,,21 and Over,2013.0,0.0,0.0,right_only
,21인작은거인맨체스터에가다,,,,,,,,,,,,,,,,,,2010.0,0.0,2.0,right_only
,2222디알파벳,헤인즈 에미그홀즈,,,,,,,,,,,,,,,,2+2=22 [The Alphabet],2017.0,0.0,1.0,right_only
,22살나의이야기,김은별,,,,,,,,,,,,,,,,"My Story, 22",2011.0,0.0,1.0,right_only
,22세의이별,오바야시 노부히코,,,,,,,,,,,,,,,,22才の別れ Lycoris 葉見ず花見ず物語,2007.0,0.0,2.0,right_only
,22시너는내게이꽃의이름을물었다,서우빈,,,,,,,,,,,,,,,,10PM,2016.0,0.0,7.0,right_only
,22일간의고백,김태일,,,,,,,,,,,,,,,,Making The Spy,1998.0,0.0,1.0,right_only
,22점프스트리트,"필 로드,크리스 밀러",,,,,,,,,,,,,,,,22 Jump Street,2014.0,0.0,579.0,right_only
,22피메일코타얌,아에시크 아부,,,,,,,,,,,,,,,,22 Female Kottayam,2012.0,0.0,0.0,right_only
,23레드,줄리아 하트,,,,,,,,,,,,,,,,23 Red,2018.0,0.0,1.0,right_only
,24개의눈동자,키노시타 케이스케,,,,,,,,,,,,,,,,Twenty-Four Eyes,1954.0,0.0,31.0,right_only
,24시즌1,"존 카사르,데이비스 구겐하임,스티븐 홉킨스,프레더릭 킹 켈러,윈리치 콜브,폴 샤피로,브라이언 스파이서,제임스 위트모어 주니어",,,,,,,,,,,,,,,,24,2001.0,0.0,0.0,right_only
,24아워즈투라이브,브라이언 스므르즈,,,,,,,,,,,,,,,,24 Hours to Live,2017.0,0.0,8.0,right_only
,252생존자있음,미즈타 노부오,,,,,,,,,,,,,,,,252: Signal Of Life,2008.0,0.0,14.0,right_only
,25시서울탱고,윤기원,,,,,,,,,,,,,,,,,1992.0,0.0,3.0,right_only
,25제국,스테판 아미즈,,,,,,,,,,,,,,,,The 25th Reich,2012.0,0.0,0.0,right_only
,26번째봄,이로운,,,,,,,,,,,,,,,,My 26th Spring,2015.0,0.0,4.0,right_only
,28세미성년,장 모,,,,,,,,,,,,,,,,Suddenly Seventeen,2016.0,0.0,1138.0,right_only
2699.0,28세미성년,장모,,(유)조이앤시네마,(주)드림팩트엔터테인먼트,2018-11-21,개봉영화,장편,중국,135,"63,912,000","8,141","22,676,550","2,737",멜로/로맨스,15세이상관람가,독립/예술영화,,,,,left_only
,28일의밤과시,아크람 자타리,,,,,,,,,,,,,,,,Twenty Eight Nights and a Poem,2015.0,0.0,1.0,right_only
,2시22분,폴 큐리,,,,,,,,,,,,,,,,2:22,2017.0,0.0,58.0,right_only
,2에브리띵2테러블ii도쿄드리프트,에브리띵 이즈 테러블,,,,,,,,,,,,,,,,2 Everything 2 Terrible II: Tokyo Drift,2010.0,0.0,0.0,right_only
,2인의도망자,조셉 로지,,,,,,,,,,,,,,,,Figures In A Landscape,1970.0,0.0,1.0,right_only
,2차세계대전의비화머리사냥꾼,마크 라디스,,,,,,,,,,,,,,,,Headhunters of World War II,2010.0,0.0,1.0,right_only
,3000마일스,막시밀리언 쿠퍼,,,,,,,,,,,,,,,,3000 Miles,2007.0,0.0,1.0,right_only
,300마일스,오르와 알모크다드,,,,,,,,,,,,,,,,300 Miles,2016.0,0.0,0.0,right_only
,306호발코니에서온증인,아담 페토프스키,,,,,,,,,,,,,,,,The Witness From The Balcony Of Room 306,2008.0,0.0,0.0,right_only
,30나이츠오브파라노말액티비티,크레이그 모스,,,,,,,,,,,,,,,,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,2013.0,0.0,0.0,right_only
,30년만의대결,임권택,,,,,,,,,,,,,,,,,1971.0,0.0,0.0,right_only
,30년만의재회,앤트 팀프슨,,,,,,,,,,,,,,,,Come To Daddy,2019.0,0.0,0.0,right_only
,30데이즈투다이,그리프 퍼스트,,,,,,,,,,,,,,,,30 Days to Die,2009.0,0.0,0.0,right_only
,30억아시아테마파크에빠지다,,,,,,,,,,,,,,,,,Theme park of Asia,2010.0,0.0,0.0,right_only
,30위민앤드팔러틱스인시에라리오니,"안나 캐디,에밀리 쿠퍼",,,,,,,,,,,,,,,,30% (women and politics in Sierra Leone),2012.0,0.0,0.0,right_only
,311,"모리 테츠야,와타이 타케하로,마츠바야시 요주,야수오카 타카하루",,,,,,,,,,,,,,,,,2011.0,0.0,6.0,right_only
,313쓰리써틴,데이빗 자우레,,,,,,,,,,,,,,,,3:13 Three Thirteen,2014.0,0.0,0.0,right_only
,33데이즈,마이 마스리,,,,,,,,,,,,,,,,33 Days,2007.0,0.0,0.0,right_only
,33데이즈,카를로스 사우라,,,,,,,,,,,,,,,,33 Days,2016.0,0.0,21.0,right_only
,33리,조승연,,,,,,,,,,,,,,,,33Li,2012.0,0.0,0.0,right_only
,33일,김삼희,,,,,,,,,,,,,,,,,2010.0,0.0,0.0,right_only
,33초,마시밀리아노 다볼리,,,,,,,,,,,,,,,,33 Seconds,2007.0,0.0,0.0,right_only
,33티스,에반 로버츠,,,,,,,,,,,,,,,,33 Teeth,2011.0,0.0,0.0,right_only
,36차이나타운,"압바스 알리바이 버마왈라,마스탄 엘리바이 버마월라",,,,,,,,,,,,,,,,36 China Town,2006.0,0.0,1.0,right_only
