영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,제작년도,원작도서유무,네이버기대지수,API구분
경계,"문정현,블라디미르 토도로비치,다니엘 루디 하리얀토",푸른영상,,(주)시네마달,2016-06-30,개봉영화,장편,한국,9,"7,010,500",1142,"5,682,500",930,다큐멘터리,12세이상관람가,독립/예술영화,2014.0,0,32.0,both
마이애미대침몰,토도 채프카노브,,스크린조이,스크린조이,2014-09-04,개봉영화,장편,미국,20,"5,546,000",1141,"1,040,000",208,SF,12세이상관람가,일반영화,2011.0,0,53.0,both
언더더트리,하프슈타인 군나르 지그라쏜,,(주)영화공간,이언픽쳐스,2018-11-08,개봉영화,장편,아이슬란드,19,"8,174,300",1138,"4,547,700",596,코미디,청소년관람불가,독립/예술영화,2017.0,0,25.0,both
멋진녀석들,피셔 스티븐스,,(유)조이앤컨텐츠그룹,(주)에이블엔터테인먼트,2013-06-05,개봉영화,장편,미국,5,"5,639,000",1134,"3,217,000",638,범죄,청소년관람불가,일반영화,2012.0,0,0.0,both
내가사는세상,최창환,,,㈜인디스토리,2019-03-07,개봉영화,장편,한국,19,"7,555,550",1133,"3,528,400",397,드라마,12세이상관람가,독립/예술영화,2018.0,0,35.0,both
마사의부엌,산드라 네텔벡,,(주)영화사 진진,(주)영화사 진진,2017-10-26,개봉영화,장편,독일,7,"8,078,400",1133,"5,096,500",697,코미디,전체관람가,독립/예술영화,2001.0,0,45.0,both
한밤의아이들,디파 메타,,(유)영화사 화수분,(주)나이너스엔터테인먼트,2015-07-02,개봉영화,장편,영국,10,"7,850,500",1131,"3,596,500",449,드라마,15세이상관람가,독립/예술영화,2012.0,1,37.0,both
야근대신뜨개질,박소현,(주)영화사 진진,,(주)영화사 진진,2016-11-17,개봉영화,장편,한국,10,"7,915,500",1128,"6,796,500",943,다큐멘터리,12세이상관람가,독립/예술영화,2015.0,0,109.0,both
퍼즐,임진승,컨텐츠쇼크(주),,"(주)스토리제이,(주)드림팩트엔터테인먼트",2018-02-22,개봉영화,장편,한국,13,"8,621,300",1127,"7,421,300",922,미스터리,청소년관람불가,독립/예술영화,2017.0,0,166.0,both
스위니,닉 러브,,(주)엣나인필름,(주)엣나인필름,2014-04-17,개봉영화,장편,영국,6,"6,905,000",1126,"4,002,000",672,액션,청소년관람불가,독립/예술영화,2012.0,0,20.0,both
보희와녹양,안주영,한국영화아카데미,,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2019-05-29,개봉영화,장편,한국,25,"8,994,800",1125,"7,821,500",866,드라마,12세이상관람가,독립/예술영화,2018.0,0,79.0,both
18우리들의성장느와르,한윤선,따듯한 영화사,,어뮤즈,2014-08-14,개봉영화,장편,한국,15,"8,717,000",1124,"5,454,700",676,드라마,청소년관람불가,독립/예술영화,2013.0,0,173.0,both
스페이드의여왕,한스 노이엔펠스,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2019-02-03,개봉영화,장편,독일,6,"26,039,000",1124,"18,993,000",825,공연,15세이상관람가,일반영화,2018.0,0,1.0,both
18우리들의성장느와르,한윤선,따듯한 영화사,,어뮤즈,2014-08-14,개봉영화,장편,한국,15,"8,717,000",1124,"5,454,700",676,드라마,청소년관람불가,독립/예술영화,2013.0,0,173.0,both
전장의묵시록,마르신 크르즈스탈로윅스,,스크린조이,스크린조이,2014-09-17,개봉영화,장편,폴란드,20,"5,248,000",1121,"790,000",158,전쟁,청소년관람불가,일반영화,2012.0,0,17.0,both
토스카,피에르 아우디,,에스디시코리아 주식회사,에스디시코리아 주식회사,2015-04-01,개봉영화,장편,프랑스,13,"22,010,500",1121,"9,882,000",444,공연,12세이상관람가,독립/예술영화,2014.0,0,7.0,both
스티븐시걸의CIA,웨인 로즈,,(주)소나무픽쳐스,(주)소나무픽쳐스,2014-03-20,개봉영화,장편,미국,5,"2,290,000",1120,"1,800,000",900,액션,청소년관람불가,일반영화,2012.0,0,5.0,both
클로즈드노트,유키사다 이사오,,㈜크래커픽쳐스,에이원엔터테인먼트,2011-04-14,개봉영화,장편,일본,20,"8,322,500",1117,"4,505,000",581,멜로/로맨스,전체관람가,독립/예술영화,2007.0,1,0.0,both
신의선물,문시현,(주)김기덕 필름,,(주)김기덕 필름,2014-04-10,개봉영화,장편,한국,5,"9,727,600",1116,"9,157,100","1,047",드라마,청소년관람불가,독립/예술영화,2013.0,0,124.0,both
안나카레니나,신예지,(주)비프로,,(주)비프로,2018-06-29,개봉영화,장편,한국,9,"19,632,800",1116,"13,497,200",800,뮤지컬,12세이상관람가,일반영화,2018.0,0,5.0,both
웰컴,필립 리오레,까날 플러스,피터팬픽쳐스,실버스푼,2009-12-10,개봉영화,장편,프랑스,16,"7,782,691",1116,"5,322,000",741,드라마,15세이상관람가,독립/예술영화,2009.0,0,0.0,both
안녕투이,김재한,상남영화제작소,,(주)인디플러그,2014-11-27,개봉영화,장편,한국,9,"7,636,300",1113,"3,081,000",436,미스터리,청소년관람불가,독립/예술영화,2013.0,0,50.0,both
다크스페이스,로저 크리스찬,,(주)메인타이틀픽쳐스,(주)미디어데이,2013-10-10,개봉영화,장편,캐나다,5,"5,576,000",1113,"3,806,000",759,SF,15세이상관람가,일반영화,2013.0,0,0.0,both
인어전설,오멸,주식회사 자파리필름,,(주)미로스페이스,2018-11-15,개봉영화,장편,한국,14,"8,698,250",1113,"5,896,650",687,코미디,12세이상관람가,독립/예술영화,2016.0,0,66.0,both
예고살인자,마이클 오블로위츠,,(주)소나무픽쳐스,(주)소나무픽쳐스,2014-05-08,개봉영화,장편,미국,3,"2,575,000",1112,"1,815,000",900,공포(호러),청소년관람불가,독립/예술영화,2010.0,0,21.0,both
자이언트몽키,브루스 데이비슨,,(유)조이앤컨텐츠그룹,(유)조이앤컨텐츠그룹,2014-08-27,개봉영화,장편,미국,20,"4,982,000",1108,"1,290,000",258,스릴러,12세이상관람가,일반영화,2012.0,0,31.0,both
사쿠라다리셋전편,후카가와 요시히로,,(주)애니플러스,(주)박수엔터테인먼트,2017-11-02,개봉영화,장편,일본,21,"5,815,000",1107,"1,311,000",240,SF,12세이상관람가,독립/예술영화,2017.0,0,31.0,both
오란고교호스트부,칸 테츠,,(주)수키픽쳐스,(주)수키픽쳐스,2013-03-14,개봉영화,장편,일본,3,"5,500,000",1100,"2,500,000",500,코미디,12세이상관람가,일반영화,2012.0,0,0.0,both
오란고교호스트부,칸 테츠,,(주)수키픽쳐스,(주)수키픽쳐스,2013-03-14,개봉영화,장편,일본,3,"5,500,000",1100,"2,500,000",500,코미디,12세이상관람가,일반영화,2011.0,0,0.0,both
사샤,데니스 토도로빅,,(주)수키픽쳐스,(주)수키픽쳐스,2013-03-14,개봉영화,장편,독일,3,"5,500,000",1100,"2,500,000",500,드라마,15세이상관람가,독립/예술영화,2010.0,0,0.0,both
락앤러브,데이빗 맥킨지,,판씨네마(주),판씨네마(주),2012-08-30,개봉영화,장편,영국,8,"6,592,900",1099,"4,170,900",694,코미디,15세이상관람가,독립/예술영화,2011.0,0,0.0,both
시티워익스트림킬러,크리스찬 세스마,,(주)수키픽쳐스,노바엔터테인먼트,2017-02-28,개봉영화,장편,미국,50,"5,534,000",1097,"4,914,000",984,액션,청소년관람불가,일반영화,2016.0,0,29.0,both
삼생삼세십리도화,자오 샤오딩,,주식회사 풍경소리,주식회사 풍경소리,2018-01-18,개봉영화,장편,중국,5,"6,088,500",1096,"6,036,500","1,076",판타지,15세이상관람가,독립/예술영화,2017.0,1,1643.0,both
파란입이달린얼굴,김수정,냉이영화,,영화배급협동조합 씨네소파,2018-01-18,개봉영화,장편,한국,13,"7,091,200",1095,"3,240,600",460,드라마,15세이상관람가,독립/예술영화,2015.0,0,64.0,both
사쿠라다리셋후편,후카가와 요시히로,,(주)애니플러스,(주)박수엔터테인먼트,2017-11-02,개봉영화,장편,일본,21,"5,716,000",1091,"1,281,000",235,SF,12세이상관람가,독립/예술영화,2017.0,0,21.0,both
명검,담가명,,(주)케이알씨지,(주)케이알씨지,2014-09-04,개봉영화,장편,홍콩,20,"5,186,000",1091,"1,040,000",208,스릴러,15세이상관람가,일반영화,1980.0,0,19.0,both
미녀들의전쟁,빠트리스 르꽁트,"고몽,까날 플러스,티피에스 스타",(주)케이앤엔터테인먼트,프리비젼엔터테인먼트,2010-06-24,개봉영화,장편,프랑스,7,"7,975,722",1088,"3,250,500",418,드라마,12세이상관람가,독립/예술영화,2008.0,0,0.0,both
노인과바다,존 준커먼,,(주)씨네펍,(주)키노아이디엠씨,2014-06-28,개봉영화,장편,일본,1,"2,177,000",1087,"2,177,000","1,087",다큐멘터리,전체관람가,독립/예술영화,1990.0,0,99.0,both
프란체스코와교황,치로 카펠라리,,(주)피터팬픽쳐스,라인트리엔터테인먼트,2012-05-17,개봉영화,장편,독일,7,"6,045,500",1087,"1,940,000",294,다큐멘터리,전체관람가,독립/예술영화,2011.0,0,0.0,both
페어리,"도미니크 아벨,피오나 고든,브루노 로미",,주식회사 마운틴픽쳐스,주식회사 마운틴픽쳐스,2012-12-20,개봉영화,장편,프랑스,9,"8,318,300",1087,"6,800,300",867,멜로/로맨스,15세이상관람가,독립/예술영화,2011.0,0,0.0,both
장기왕가락시장레볼루션,정다원,오락가락픽쳐스,,하준사,2017-02-02,개봉영화,장편,한국,17,"8,505,000",1087,"6,394,000",735,코미디,15세이상관람가,독립/예술영화,2016.0,0,294.0,both
행복한울릉인,황석호,(주)MBC,,주식회사 마운틴픽쳐스,2010-02-25,개봉영화,장편,한국,5,"2,841,615",1085,"2,376,000",994,다큐멘터리,전체관람가,독립/예술영화,2010.0,0,0.0,both
미션이스탄불,크리스티앙 알바트,,(주)시네마리퍼블릭,(주)영화사오원,2017-08-17,개봉영화,장편,독일,29,"8,239,500",1082,"4,141,000",523,액션,청소년관람불가,독립/예술영화,2016.0,0,57.0,both
듀엣,이상빈,(주)스테이지팩토리,,(주)영화사 조제,2012-04-19,개봉영화,장편,한국,10,"7,995,000",1081,"4,587,000",557,드라마,전체관람가,독립/예술영화,2012.0,0,0.0,both
하쿠나마타타지라니이야기,이창규,(주)이모션픽처스,,(주)이모션픽처스,2010-12-09,개봉영화,장편,한국,1,"6,000,154",1080,"6,037,000","1,093",다큐멘터리,전체관람가,독립/예술영화,2010.0,0,0.0,both
몬스터즈,가렛 에드워즈,,씨네그루(주)다우기술,씨네그루(주)다우기술,2014-05-29,개봉영화,장편,영국,20,"6,480,000",1080,"3,420,000",570,SF,15세이상관람가,일반영화,2010.0,0,68.0,both
부다페스트로큰롤,게르게이 포뇨,,알토미디어(주),알토미디어(주),2018-12-20,개봉영화,장편,헝가리,7,"7,800,400",1078,"5,063,900",616,뮤지컬,15세이상관람가,독립/예술영화,2009.0,0,15.0,both
닌자2섀도우어쌔신,아이삭 플로렌틴,,스크린조이,스크린조이,2014-10-16,개봉영화,장편,미국,20,"4,823,000",1077,"1,085,000",253,액션,청소년관람불가,일반영화,2013.0,0,44.0,both
춘하추동로맨스,오창민,곤씨네,,주식회사 노버스엔터테인먼트,2014-12-04,개봉영화,장편,한국,5,"7,368,000",1074,"3,314,000",450,코미디,15세이상관람가,독립/예술영화,2013.0,0,56.0,both
꽃찌독이있는사랑,김문옥,스마일픽쳐스,,스마일픽쳐스,2018-08-23,개봉영화,장편,한국,2,"2,144,000",1067,"2,144,000","1,067",드라마,청소년관람불가,일반영화,2018.0,0,22.0,both
엔젤페이스,바네사 필류,,주식회사 디에스이이디,(주)트리플픽쳐스,2019-03-14,개봉영화,장편,프랑스,20,"8,392,400",1066,"6,687,600",780,드라마,15세이상관람가,독립/예술영화,2018.0,0,43.0,both
포화속의우정,필립 카델바흐,,미디어소프트,예지림엔터테인먼트,2014-02-27,개봉영화,장편,독일,5,"5,348,000",1064,"1,568,000",224,전쟁,15세이상관람가,독립/예술영화,2014.0,0,4.0,both
슈퍼사이클론스톰,리즈 애덤스,,스크린조이,스크린조이,2014-08-27,개봉영화,장편,미국,20,"4,752,000",1064,"1,020,000",204,SF,15세이상관람가,일반영화,2012.0,0,32.0,both
포화속의우정,필립 카델바흐,,미디어소프트,예지림엔터테인먼트,2014-02-27,개봉영화,장편,독일,5,"5,348,000",1064,"1,568,000",224,전쟁,15세이상관람가,독립/예술영화,2013.0,0,0.0,both
달사람,스테판 셰쉬,,주식회사 마운틴픽쳐스,주식회사 마운틴픽쳐스,2014-11-13,개봉영화,장편,프랑스,5,"8,141,000",1060,"6,549,000",797,애니메이션,전체관람가,독립/예술영화,2012.0,0,107.0,both
거짓말2014,이민환,(주)케이알씨지,,(유)조이앤컨텐츠그룹,2014-10-22,개봉영화,장편,한국,19,"4,751,000",1058,"1,085,000",253,멜로/로맨스,청소년관람불가,일반영화,2014.0,0,35.0,both
에이지오브다이노소어,조셉 J. 로손,,(주)케이알씨지,(주)케이알씨지,2014-10-15,개봉영화,장편,미국,20,"4,743,000",1057,"1,085,000",253,SF,15세이상관람가,일반영화,2013.0,0,63.0,both
더이클립스,코너 맥퍼슨,,㈜영화사 백두대간,㈜영화사 백두대간,2013-06-05,개봉영화,장편,아일랜드,2,"8,070,000",1057,"6,952,000",842,드라마,15세이상관람가,독립/예술영화,2009.0,0,0.0,both
파리오페라발레의별아녜스,마를렌느 이오네스코,,판씨네마(주),판씨네마(주),2014-12-10,개봉영화,장편,프랑스,8,"8,249,500",1056,"7,146,000",881,다큐멘터리,전체관람가,독립/예술영화,2013.0,0,98.0,both
청풍자,"맥조휘,장문강",,(유)조이앤컨텐츠그룹,(유)조이앤컨텐츠그룹,2014-10-16,개봉영화,장편,홍콩,20,"4,708,000",1052,"1,090,000",258,스릴러,15세이상관람가,일반영화,2012.0,0,33.0,both
야쿠자피의전쟁,야마가 타카유키,,퍼즐컷,퍼즐컷,2014-10-29,개봉영화,장편,일본,20,"4,668,000",1052,"1,090,000",258,액션,청소년관람불가,일반영화,2013.0,0,7.0,both
페이더고스트,울리 에델,,(주)시네마리퍼블릭,(주)디스테이션,2016-11-30,개봉영화,장편,캐나다,42,"7,754,500",1049,"4,282,000",555,스릴러,15세이상관람가,독립/예술영화,2015.0,0,109.0,both
JSA남북공동초등학교,한명구,시네마서울,,시네마서울,2016-01-21,개봉영화,장편,한국,6,"5,262,000",1049,"3,588,000",714,드라마,전체관람가,독립/예술영화,2015.0,0,112.0,both
화이트스톰,진목승,,(주)메인타이틀픽쳐스,(주)미디어데이,2014-02-20,개봉영화,장편,홍콩,6,"6,187,000",1046,"2,863,000",492,액션,청소년관람불가,일반영화,2013.0,0,0.0,both
은밀한가족,알렉산드로스 아브라나스,,(주)엔케이컨텐츠,(주)엔케이컨텐츠,2014-04-10,개봉영화,장편,그리스,5,"8,378,000",1045,"7,836,000",966,드라마,청소년관람불가,독립/예술영화,2013.0,0,63.0,both
유신의추억다카키마사오의전성시대,"이정황,김무삼,김태균",엠투,,엠투,2012-11-22,개봉영화,장편,한국,2,"7,137,000",1043,"3,934,000",554,다큐멘터리,12세이상관람가,독립/예술영화,2012.0,0,0.0,both
무서운집,양병간,무서운영화,,(주)콘텐츠윙,2015-07-30,개봉영화,장편,한국,1,"9,371,000",1039,"8,484,000",910,공포(호러),12세이상관람가,일반영화,2014.0,0,180.0,both
공각기동대SACSolidStateSociety,카미야마 켄지,,씨너스엔터테인먼트(주),"㈜T-JOY,씨너스엔터테인먼트(주)",2013-05-23,개봉영화,장편,일본,6,"11,777,000",1036,"9,846,000",857,애니메이션,15세이상관람가,일반영화,2006.0,0,9.0,both
시간의춤,송일곤,영화제작소 뜬다,,㈜인디스토리,2009-12-03,개봉영화,장편,한국,14,"7,171,090",1034,"6,851,500",982,다큐멘터리,전체관람가,독립/예술영화,2009.0,0,0.0,both
늦여름,조성규,하준사,,하준사,2018-10-25,개봉영화,장편,한국,9,"9,348,400",1032,"7,890,300",812,멜로/로맨스,15세이상관람가,독립/예술영화,2018.0,0,22.0,both
나는야한여자가좋다3,김미연,(주)케이알씨지,,(주)케이알씨지,2015-03-26,개봉영화,장편,한국,20,"6,289,000",1031,"1,133,000",227,멜로/로맨스,청소년관람불가,일반영화,2015.0,0,11.0,both
짐승의끝,조성희,한국영화아카데미,,씨제이이앤엠(주),2011-03-17,개봉영화,장편,한국,1,"7,898,000",1030,"6,880,000",886,판타지,청소년관람불가,독립/예술영화,2010.0,0,0.0,both
에일리언비키니,오영두,키노망고스틴,,㈜인디스토리,2011-08-25,개봉영화,장편,한국,10,"7,416,400",1028,"5,631,400",729,SF,청소년관람불가,독립/예술영화,2010.0,0,0.0,both
킥오프,샤우캇 아민 코르키,"엔에이치케이,나린 필름",㈜인디스토리,㈜인디스토리,2010-07-08,개봉영화,장편,이라크,8,"7,457,790",1025,"5,301,200",712,드라마,12세이상관람가,독립/예술영화,2009.0,0,0.0,both
렛미아웃,"소재영,김창래",서울예술대학,,㈜영화사 백두대간,2013-08-15,개봉영화,장편,한국,10,"7,600,000",1024,"6,645,000",858,드라마,12세이상관람가,독립/예술영화,2012.0,0,0.0,both
뮤직네버스탑,짐 콜버그,,(주)드림웨스트픽쳐스,예지림엔터테인먼트,2011-10-27,개봉영화,장편,미국,10,"7,398,400",1023,"4,442,400",547,드라마,12세이상관람가,독립/예술영화,2011.0,0,0.0,both
일대고수,더스틴 응유엔,,(주)소나무픽쳐스,(주)소나무픽쳐스,2014-02-27,개봉영화,장편,베트남,4,"2,095,000",1020,"1,600,000",800,액션,15세이상관람가,독립/예술영화,2013.0,0,0.0,both
고향이어디세요,정수웅,다큐서울,,(주)드림팩트엔터테인먼트,2017-11-09,개봉영화,장편,한국,41,"7,014,900",1018,"3,728,000",515,다큐멘터리,12세이상관람가,독립/예술영화,2017.0,0,199.0,both
그림자애인,반원량,,주식회사 루믹스미디어,브릿지웍스 엔터테인먼트(주),2013-04-25,개봉영화,장편,중국,22,"6,546,500",1013,"2,409,000",390,멜로/로맨스,12세이상관람가,독립/예술영화,2012.0,0,0.0,both
짐작보다따뜻하게,이상민,아베크엠 엔터테인먼트,,(주)맑은시네마,2016-05-19,개봉영화,장편,한국,5,"7,402,500",1011,"6,146,000",784,드라마,12세이상관람가,독립/예술영화,2016.0,0,112.0,both
아포칼립스2014,벤 드마리,,(주)케이알씨지,(주)케이알씨지,2014-09-03,개봉영화,장편,미국,21,"4,761,000",1011,"1,055,000",213,SF,12세이상관람가,일반영화,2014.0,0,41.0,both
어메이징뮤턴트,스튜어트 길라드,,(유)조이앤컨텐츠그룹,(유)조이앤컨텐츠그룹,2014-09-03,개봉영화,장편,홍콩,21,"4,771,000",1011,"1,060,000",213,액션,전체관람가,일반영화,1993.0,0,58.0,both
런어웨이걸,데릭 마티니,,스크린조이,스크린조이,2014-10-30,개봉영화,장편,미국,20,"4,758,000",1010,"1,085,000",253,코미디,15세이상관람가,일반영화,2011.0,0,146.0,both
나쁜피,강효진,(주)키노크러시,,(주)팝엔터테인먼트,2012-11-01,개봉영화,장편,한국,12,"7,233,500",1008,"1,663,000",209,범죄,청소년관람불가,독립/예술영화,2011.0,0,0.0,both
코인라커,김태경,주식회사 마운틴픽쳐스,,(주)드림팩트엔터테인먼트,2015-05-28,개봉영화,장편,한국,13,"7,043,500",1008,"5,679,500",793,드라마,청소년관람불가,독립/예술영화,2015.0,0,124.0,both
행복의나라,정민규,(주)무다필름,,㈜인디스토리,2018-07-19,개봉영화,장편,한국,15,"6,607,800",1006,"3,984,900",582,드라마,청소년관람불가,독립/예술영화,2018.0,0,53.0,both
자이제댄스타임,조세영,,,주식회사 키노엔터테인먼트,2014-06-26,개봉영화,장편,한국,2,"6,865,000",1005,"5,757,000",785,다큐멘터리,15세이상관람가,독립/예술영화,2013.0,0,60.0,both
콜드인줄라이,짐 미클,,(주)메인타이틀픽쳐스,와이드 릴리즈(주),2014-11-27,개봉영화,장편,미국,20,"4,746,000",1000,"470,000",94,드라마,청소년관람불가,일반영화,2014.0,0,54.0,both
챔피언스,하비에르 페서,,(주)영화사 빅,(주)영화사 빅,2019-02-07,개봉영화,장편,스페인,51,"7,688,980",999,"3,446,400",423,코미디,전체관람가,독립/예술영화,2018.0,0,29.0,both
엘리트스쿼드2,호세 파딜라,,,팝엔터테인먼트,2011-11-24,개봉영화,장편,브라질,14,"7,200,500",999,"1,634,000",224,액션,청소년관람불가,독립/예술영화,2010.0,0,0.0,both
엘리트스쿼드2,호세 파딜라,,,팝엔터테인먼트,2011-11-24,개봉영화,장편,브라질,14,"7,200,500",999,"1,634,000",224,액션,청소년관람불가,독립/예술영화,2010.0,0,0.0,both
잃어버린마법의섬홋타라케,사토 신스케,,,애니박스 엔터테인먼트,2011-01-02,개봉영화,장편,일본,1,"3,356,000",998,"3,356,000",998,애니메이션,전체관람가,일반영화,2009.0,0,0.0,both
소녀와여자,김효정,(주)꿈꾸는 오아시스,,㈜인디스토리,2016-06-16,개봉영화,장편,한국,17,"6,742,000",998,"4,763,500",671,다큐멘터리,15세이상관람가,독립/예술영화,2015.0,0,148.0,both
소녀와여자,김효정,(주)꿈꾸는 오아시스,,㈜인디스토리,2016-06-16,개봉영화,장편,한국,17,"6,742,000",998,"4,763,500",671,다큐멘터리,15세이상관람가,독립/예술영화,2015.0,0,148.0,both
누레예프갈라,발레리 오브샤니코프,,그린나래미디어(주),그린나래미디어(주),2015-06-11,개봉영화,장편,독일,7,"17,726,500",996,"11,928,000",667,공연,전체관람가,독립/예술영화,2013.0,0,45.0,both
케이지다이브,제럴드 라시오나토,,주식회사 풍경소리,(주)드림팩트엔터테인먼트,2017-09-21,개봉영화,장편,호주,22,"8,268,000",994,"6,698,000",775,드라마,15세이상관람가,독립/예술영화,2017.0,0,113.0,both
섹스거짓말그리고비디오테이프,봉만대,"(주)스넵쏘울,영화사뜰(주)",,(주)스넵쏘울,2012-07-12,개봉영화,장편,한국,9,"6,723,500",993,"5,008,000",746,코미디,청소년관람불가,독립/예술영화,2012.0,0,0.0,both
배틀트립투그리스,알렉산더 코페르,,(주)영화사오원,(주)영화사오원,2018-04-26,개봉영화,장편,프랑스,5,"7,002,000",993,"6,332,000",859,코미디,12세이상관람가,독립/예술영화,2013.0,0,19.0,both
공각기동대어라이즈보더2고스트위스퍼스,키세 카즈치카,,에이원엔터테인먼트,에이원엔터테인먼트,2013-12-12,개봉영화,장편,일본,20,"7,424,500",993,"5,969,000",770,애니메이션,12세이상관람가,일반영화,2013.0,0,0.0,both
공각기동대어라이즈보더2고스트위스퍼스,키세 카즈치카,,에이원엔터테인먼트,에이원엔터테인먼트,2013-12-12,개봉영화,장편,일본,20,"7,424,500",993,"5,969,000",770,애니메이션,12세이상관람가,일반영화,2013.0,0,0.0,both
산책하는침략자,구로사와 기요시,,(주)영화공간,와이드 릴리즈(주),2018-08-16,개봉영화,장편,일본,15,"7,998,900",989,"5,852,100",654,드라마,15세이상관람가,독립/예술영화,2017.0,1,69.0,both
욕망의독중독,윤여창,(주)매니아22,,어뮤즈,2014-09-25,개봉영화,장편,한국,20,"6,135,000",988,"4,510,000",644,스릴러,청소년관람불가,일반영화,2014.0,0,211.0,both
설인,이사무엘,한국영화아카데미,,씨제이 씨지브이(CJ CGV)(주),2013-03-14,개봉영화,장편,한국,6,"7,404,500",988,"6,005,500",793,판타지,청소년관람불가,독립/예술영화,2012.0,0,0.0,both
로미오와줄리엣,위르겐 플림,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2018-05-20,개봉영화,장편,독일,11,"22,906,500",988,"13,222,000",582,공연,12세이상관람가,일반영화,2017.0,0,2.0,both
환상,이숭환,(주)케이알씨지,,(유)조이앤컨텐츠그룹,2014-10-30,개봉영화,장편,한국,19,"4,693,000",987,"1,075,000",243,멜로/로맨스,청소년관람불가,일반영화,2014.0,0,23.0,both
스텝바이스텝,"그랜드 콥스 마라드,메흐디 이디르",,(주)에스와이코마드,(주)에스와이코마드,2018-10-11,개봉영화,장편,프랑스,16,"7,309,050",983,"4,698,150",563,드라마,15세이상관람가,독립/예술영화,2016.0,0,45.0,both
스타박스다방,이상우,영화사 온난전선,,(주)드림팩트엔터테인먼트,2018-01-11,개봉영화,장편,한국,28,"6,194,000",983,"2,142,500",298,코미디,15세이상관람가,독립/예술영화,2016.0,0,444.0,both
미스터레오스카락스,테사 루이즈-살로메,,오드,오드,2015-10-08,개봉영화,장편,프랑스,13,"7,939,500",983,"6,127,300",692,다큐멘터리,청소년관람불가,독립/예술영화,2014.0,0,53.0,both
악사들,김지곤,"반달,'탁주'조합",,㈜인디스토리,2014-12-04,개봉영화,장편,한국,11,"6,342,200",981,"1,354,500",176,다큐멘터리,15세이상관람가,독립/예술영화,2014.0,0,100.0,both
무게,전규환,(주)트리필름,,(주)넥스트엔터테인먼트월드(NEW),2013-11-07,개봉영화,장편,한국,2,"7,079,500",981,"5,379,500",706,드라마,청소년관람불가,독립/예술영화,2012.0,0,0.0,both
이지머니2,바박 나자피,,(주)소나무픽쳐스,(주)소나무픽쳐스,2016-05-19,개봉영화,장편,스웨덴,5,"4,900,000",980,"4,500,000",900,액션,청소년관람불가,독립/예술영화,2012.0,0,25.0,both
암고양이들,시라이시 카즈야,,(주)오렌지옐로우하임,"홀리가든,(주)오렌지옐로우하임",2017-07-27,개봉영화,장편,일본,4,"6,138,000",974,"5,061,000",775,드라마,청소년관람불가,독립/예술영화,2016.0,0,125.0,both
용의치과의사,츠루마키 카즈야,,(주)에스에스애니멘트,"(주)삼지애니메이션,(주)에이원엔터테인먼트",2017-10-19,개봉영화,장편,일본,33,"7,433,000",968,"4,735,000",600,애니메이션,15세이상관람가,독립/예술영화,2017.0,0,95.0,both
라보엠,지안드레아 노세다,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2017-10-08,개봉영화,장편,독일,11,"23,071,000",968,"13,978,500",587,공연,전체관람가,일반영화,2016.0,0,11.0,both
아더왕의전설,정성복,(주)패뷸러스,,(주)패뷸러스,2016-11-09,개봉영화,장편,한국,5,"15,299,000",967,"13,528,000",850,공연,전체관람가,일반영화,2016.0,0,31.0,both
프랑스다이어리,"레이몽 드파르동,클로딘 누가레",,찬란,찬란,2013-06-06,개봉영화,장편,프랑스,1,"7,321,000",964,"6,051,000",776,다큐멘터리,12세이상관람가,독립/예술영화,2012.0,0,0.0,both
나도때론포르노그라피의주인공이고싶다,장성수,(주)피터팬픽쳐스,,(주)피터팬픽쳐스,2015-11-12,개봉영화,장편,한국,20,"6,148,000",961,"4,812,000",713,멜로/로맨스,청소년관람불가,일반영화,2015.0,0,81.0,both
파스카,안선경,궁금단영화,,무브먼트,2015-07-09,개봉영화,장편,한국,11,"6,701,500",961,"4,273,500",551,드라마,15세이상관람가,독립/예술영화,2013.0,0,75.0,both
체게바라뉴맨,트리스탄 바우에르,,(주)피터팬픽쳐스,(주)피터팬픽쳐스,2012-11-29,개봉영화,장편,쿠바,3,"6,157,000",961,"3,334,000",424,다큐멘터리,15세이상관람가,독립/예술영화,2010.0,0,0.0,both
한나를위한소나타,마르쿠스 로젠뮐러,,(주)컴퍼니엘,(주)컴퍼니엘,2013-10-24,개봉영화,장편,독일,2,"6,118,000",959,"1,720,000",215,드라마,12세이상관람가,독립/예술영화,2011.0,0,0.0,both
영건탐정사무소,오영두,"키노망고스틴,킹레코드",,㈜인디스토리,2012-08-30,개봉영화,장편,한국,17,"7,177,000",957,"5,660,000",739,SF,청소년관람불가,독립/예술영화,2011.0,0,0.0,both
데몬킹스,파스칼 모렐리,,(주)더블앤조이픽쳐스,주식회사 쇼미미디어앤트레이딩,2016-02-25,개봉영화,장편,프랑스,26,"6,610,400",957,"2,100,000",287,애니메이션,전체관람가,독립/예술영화,2014.0,0,72.0,both
