영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,제작년도,원작도서유무,네이버기대지수,API구분
내부자들,우민호,(유)내부자들 문화전문회사,,(주)쇼박스,2015-11-19,개봉영화,장편,한국,"1,075","56,596,582,057",7071763,"16,340,245,357","1,972,885",범죄,청소년관람불가,일반영화,2015.0,1,12198.0,both
인천상륙작전,이재한,(주)태원엔터테인먼트,,씨제이이앤엠(주),2016-07-27,개봉영화,장편,한국,"1,049","55,101,410,303",7049643,"11,459,996,563","1,427,944",전쟁,12세이상관람가,일반영화,2016.0,0,35317.0,both
럭키,이계벽,(주)용필름,,(주)쇼박스,2016-10-13,개봉영화,장편,한국,"1,158","56,361,435,256",6965706,"13,812,629,836","1,640,015",코미디,15세이상관람가,일반영화,2015.0,0,15767.0,both
은밀하게위대하게,장철수,(주)엠씨엠씨,,(주)쇼박스,2013-06-05,개봉영화,장편,한국,"1,341","48,663,939,413",6953800,"12,415,574,413","1,691,014",액션,15세이상관람가,일반영화,2013.0,0,0.0,both
곡성,나홍진,"(주)사이드미러,이십세기폭스 인터내셔널 프로덕션",,이십세기폭스코리아(주),2016-05-12,개봉영화,장편,한국,"1,485","55,853,108,382",6878264,"15,445,041,342","1,829,923",미스터리,15세이상관람가,일반영화,2016.0,0,15570.0,both
범죄도시,강윤성,"(주)홍필름,(주)비에이엔터테인먼트",,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",2017-10-03,개봉영화,장편,한국,"1,315","56,077,813,249",6851297,"14,046,905,449","1,670,254",범죄,청소년관람불가,일반영화,2017.0,0,7567.0,both
늑대소년,조성희,(주)영화사비단길,,씨제이이앤엠(주),2012-10-31,개봉영화,장편,한국,706,"46,593,107,500",6654837,"12,336,313,500","1,677,173",멜로/로맨스,15세이상관람가,일반영화,2012.0,0,0.0,both
군함도,류승완,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2017-07-26,개봉영화,장편,한국,"2,027","50,510,565,168",6592151,"11,091,878,868","1,398,649",액션,15세이상관람가,일반영화,2017.0,0,97770.0,both
미션임파서블폴아웃,크리스토퍼 맥쿼리,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2018-07-25,개봉영화,장편,미국,"1,957","55,888,375,112",6584915,"14,891,043,562","1,686,255",액션,15세이상관람가,일반영화,2018.0,0,1403.0,both
다크나이트라이즈,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-07-19,개봉영화,장편,미국,"1,210","47,644,838,000",6396528,"16,258,149,500","2,057,529",액션,15세이상관람가,일반영화,2012.0,0,0.0,both
아저씨,이정범,오퍼스픽쳐스(유),,씨제이엔터테인먼트,2010-08-04,개봉영화,장편,한국,478,"47,870,792,359",6282774,"14,820,865,000","1,863,328",액션,청소년관람불가,일반영화,2010.0,0,0.0,both
사도,이준익,(주)타이거픽쳐스,,(주)쇼박스,2015-09-16,개봉영화,장편,한국,"1,210","48,842,902,501",6246849,"12,987,928,301","1,606,486",사극,12세이상관람가,일반영화,2014.0,0,22459.0,both
미션임파서블로그네이션,크리스토퍼 맥쿼리,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-07-30,개봉영화,장편,미국,"1,202","48,547,353,607",6126488,"13,751,315,607","1,669,524",액션,15세이상관람가,일반영화,2015.0,0,8626.0,both
킹스맨시크릿에이전트,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-02-11,개봉영화,장편,미국,706,"50,333,635,795",6125154,"16,707,645,195","1,968,882",액션,청소년관람불가,일반영화,2015.0,1,2480.0,both
연평해전,김학순,(주)로제타시네마,,(주)넥스트엔터테인먼트월드(NEW),2015-06-24,개봉영화,장편,한국,"1,013","45,560,620,330",6043458,"9,906,059,630","1,265,879",드라마,12세이상관람가,일반영화,2015.0,0,28626.0,both
인셉션,크리스토퍼 놀란,"워너 브러더스 픽쳐스,레젼데리 픽쳐스",워너브러더스 코리아(주),워너브러더스 코리아(주),2010-07-21,개봉영화,장편,미국,528,"44,106,546,302",5926948,"15,810,485,000","2,026,998",드라마,12세이상관람가,일반영화,2010.0,0,0.0,both
레미제라블,톰 후퍼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-12-19,개봉영화,장편,미국,696,"43,044,999,000",5911890,"16,482,217,500","2,190,090",드라마,12세이상관람가,일반영화,2012.0,0,0.0,both
쥬라기월드폴른킹덤,후안 안토니오 바요나,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-06-06,개봉영화,장편,미국,"1,972","49,770,711,037",5661128,"12,526,470,537","1,342,621",액션,12세이상관람가,일반영화,2018.0,0,3703.0,both
청년경찰,김주환,"(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)",,롯데쇼핑㈜롯데엔터테인먼트,2017-08-09,개봉영화,장편,한국,"1,102","44,241,099,316",5636259,"9,885,607,016","1,207,318",액션,15세이상관람가,일반영화,2017.0,0,16419.0,both
숨바꼭질,허정,(주)드림캡쳐,,(주)넥스트엔터테인먼트월드(NEW),2013-08-14,개봉영화,장편,한국,779,"39,593,038,500",5602543,"10,079,982,000","1,356,936",스릴러,15세이상관람가,일반영화,2013.0,0,0.0,both
덕혜옹주,허진호,"(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",,롯데쇼핑㈜롯데엔터테인먼트,2016-08-03,개봉영화,장편,한국,964,"44,344,141,109",5593551,"10,625,578,869","1,304,324",사극,12세이상관람가,일반영화,2016.0,1,20348.0,both
더테러라이브,김병우,(주)씨네이천,,롯데쇼핑㈜롯데엔터테인먼트,2013-07-31,개봉영화,장편,한국,743,"39,866,712,881",5583596,"11,349,884,881","1,525,130",범죄,15세이상관람가,일반영화,2013.0,0,0.0,both
쥬라기월드,콜린 트레보로우,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-06-11,개봉영화,장편,미국,"1,290","47,800,698,826",5546792,"13,625,824,326","1,502,391",액션,12세이상관람가,일반영화,2015.0,0,15462.0,both
캡틴마블,"애너 보든,라이언 플렉",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-03-06,개봉영화,장편,미국,"2,100","49,274,801,243",5540958,"14,545,841,663","1,548,783",액션,12세이상관람가,일반영화,2019.0,0,2969.0,both
의형제,장훈,"(주)쇼박스,(주)다세포클럽,루비콘픽쳐스㈜",,(주)쇼박스,2010-02-04,개봉영화,장편,한국,572,"40,800,867,602",5507106,"12,204,373,500","1,563,042",드라마,15세이상관람가,일반영화,2010.0,0,0.0,both
감시자들,"조의석,김병서",영화사 집,,(주)넥스트엔터테인먼트월드(NEW),2013-07-03,개봉영화,장편,한국,949,"39,298,005,179",5496547,"11,031,549,179","1,477,594",범죄,15세이상관람가,일반영화,2013.0,0,0.0,both
앤트맨과와스프,페이튼 리드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-07-04,개봉영화,장편,미국,"1,775","47,465,443,185",5447826,"13,821,594,585","1,503,229",액션,12세이상관람가,일반영화,2018.0,0,1781.0,both
