순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,원제,제작년도,원작도서유무,네이버기대지수,_merge
7183.0,에리카의애욕,후지와라 켄이치,,(유)조이앤컨텐츠그룹,(유)조이앤컨텐츠그룹,2014-06-11,개봉영화,장편,일본,1,"40,000",10,0,0,멜로/로맨스,청소년관람불가,일반영화,Dump Trucker-Erika,2011.0,0.0,9.0,both
6313.0,에바최종병기유이,미카미 노리히사,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2014-05-28,개봉영화,장편,일본,1,"270,000",54,"270,000",54,성인물(에로),청소년관람불가,일반영화,God Huntres,2004.0,0.0,,both
1498.0,에반게리온q,안노 히데아키,,씨너스엔터테인먼트(주),"㈜T-JOY,씨너스엔터테인먼트(주)",2013-04-25,개봉영화,장편,일본,59,"435,800,211","61,423","269,442,215","36,922",애니메이션,15세이상관람가,일반영화,Neon Genesis Evangelion: Q,2012.0,0.0,0.0,both
3461.0,에벌리,조 린치,,㈜코리아스크린,와이드 릴리즈(주),2015-06-04,개봉영화,장편,미국,47,"18,036,500","2,839","7,677,000","1,056",액션,청소년관람불가,일반영화,Everly,2014.0,0.0,50.0,both
825.0,에베레스트,발타자르 코루마쿠르,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-09-24,개봉영화,장편,미국,331,"3,055,119,748","332,180","1,071,862,248","107,240",어드벤처,12세이상관람가,일반영화,Everest,2015.0,1.0,1559.0,both
1885.0,에브리데이,마이클 수지,,그린나래미디어(주),"그린나래미디어(주),(주)홈초이스",2018-10-11,개봉영화,장편,미국,128,"260,023,700","29,283","82,296,200","9,027",멜로/로맨스,12세이상관람가,독립/예술영화,Every Day,2018.0,1.0,289.0,both
2837.0,에브리데이,마이클 윈터바텀,,(주)영화사 진진,(주)영화사 진진,2013-06-13,개봉영화,장편,영국,16,"45,674,000","6,626","34,257,000","4,756",드라마,청소년관람불가,독립/예술영화,Everyday,2012.0,0.0,0.0,both
2675.0,에브리띵윌비파인,빔 벤더스,,찬란,찬란,2015-12-31,개봉영화,장편,독일,46,"62,712,400","8,368","38,550,500","4,916",드라마,12세이상관람가,독립/예술영화,Every Thing Will Be Fine,2015.0,0.0,472.0,both
1494.0,에브리바디올라잇,리사 촐로덴코,만달레이,코리아 코어 컨텐츠,(주)화천공사,2010-09-02,개봉영화,장편,미국,126,"466,314,324","61,927","227,370,000","29,077",코미디,청소년관람불가,일반영화,The Kids Are All Right,2010.0,0.0,0.0,both
4373.0,에브리씽머스트고,댄 러쉬,,(주)키노아이디엠씨,(주)키노아이디엠씨,2012-07-12,개봉영화,장편,미국,7,"6,047,500",887,"4,376,500",595,코미디,15세이상관람가,독립/예술영화,Everything Must Go,2010.0,0.0,0.0,both
7184.0,에브리잭해즈어질,제니퍼 드볼데르,,데이지엔터테인먼트,데이지엔터테인먼트,2014-05-29,개봉영화,장편,프랑스,1,"100,000",10,0,0,멜로/로맨스,15세이상관람가,독립/예술영화,Every Jack has a Jill,2009.0,0.0,156.0,both
