■ 영화정보 리스트,,,,,,,,
- 조회일: 2019-06-14,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,
▶ 검색조건 : [  영화명: 전체 감독명: 전체 제작연도: 전체 개봉일자:2010-01-01 ~ 2019-06-09 제작상태: 전체 유형: 전체 장르: 전체 등급: 전체 국적: 전체 인덱싱: 전체 입력비율: 전체 ],,,,,,,,
영화명,영화명(영문),제작연도,제작국가,유형,장르,제작상태,감독,제작사
헨젤과 그레텔,Hansel And Gretel,2015,독일,장편,공연,개봉,에이드리언 노블,
흔들리며 젖는 열차,Sakura Train,2015,일본,장편,성인물(에로),개봉,고토 다이스케,
유부녀 만남 사이트,Secret meeting of the disgrace,2014,일본,장편,성인물(에로),개봉,타카하라 요시카즈,
스페셜 포스 vs 분노의 좀비,Survival,2014,독일,장편,액션,개봉,프랭크 라펠,
맛있는 떡,,2015,한국,장편,멜로/로맨스,개봉,이승환,(주)케이알씨지
돼지 같은 여자,"My sister, the pig lady",2013,한국,장편,멜로/로맨스,개봉,장문일,(주)아이필름홀딩스
5월 1일,First Of May,2015,대만,장편,"드라마,멜로/로맨스",개봉,주격태,
엘리제궁의 요리사,HAUTE CUISINE,2012,프랑스,장편,코미디,개봉,크리스티앙 뱅상,
미쓰 와이프,Wonderful Nightmare,2015,한국,장편,코미디,개봉,강효진,(주)영화사아이비젼
맞바람 부부의 고백,Husband Cheats His Wife,2014,일본,장편,멜로/로맨스,개봉,오쿠 와타루,
정사 : 결혼 말고 연애,,2016,한국,장편,멜로/로맨스,개봉,조경훈,(주)영화사 사계절
술에 대하여 - 극장판,,2011,한국,장편,다큐멘터리,개봉,"임범,조승원",(주)MBC
스틸 플라워,Steel Flower,2015,한국,장편,드라마,개봉,박석영,(주)무비엔진
우리 지금 할래,,2014,한국,장편,멜로/로맨스,개봉,박범수,(주)케이알씨지
동거의 목적,,2016,한국,장편,멜로/로맨스,개봉,조성우,(주)씨네토리
마야,Maya the Bee Movie ,2014,"독일,호주",장편,애니메이션,개봉,알렉스 스타더만,
성룡의 아시수,Who Am I 2015,2015,중국,장편,"액션,코미디",개봉,송윤희,
22분: 아덴만 구출작전,22 Minutes,2014,러시아,장편,"액션,범죄",개봉,바실리 세리코프,
캡틴 아메리카: 시빌 워,Captain America: Civil War,2015,미국,장편,"액션,SF,스릴러",개봉,"안소니 루소,조 루소",
사랑과 음악사이,Tumbledown,2015,"미국,캐나다",장편,"멜로/로맨스,드라마",개봉,션 뮤쇼우,
모던 발레 스페셜,Robbins ? Millepied - Balancine,2015,프랑스,장편,공연,개봉,벤자민 마일피드,
열한시,AM 11:00,2013,한국,장편,스릴러,개봉,김현석,"(주)파레토웍스,씨제이이앤엠(주)"
파라노말 액티비티: 더 고스트 디멘션,Paranormal Activity: The Ghost Dimension,2015,미국,장편,"미스터리,공포(호러)",개봉,그레고리 플로킨,
트리플 9,Triple 9,2016,미국,장편,"범죄,스릴러",개봉,존 힐코트,
심야병동: 맛있는 간호사들,Kangohu sekuharachoukyou,2001,일본,장편,"멜로/로맨스,드라마",개봉,카스가 요시노리,
젊은 자매와의 맛있는 섹스,Sandaime_ha_jyoshikeimusho,2010,일본,장편,"멜로/로맨스,드라마",개봉,후지와라 켄이치,
전철: 그녀들의 절정,Jituroku Chikandensya II,2012,일본,장편,"멜로/로맨스,드라마",개봉,사카모토 후토시,
롤러코스터,Fasten Your Seatbelt,2013,한국,장편,코미디,개봉,하정우,(주)판타지오픽쳐스
일탈여행: 프라이빗 아일랜드,Private Island,2013,한국,장편,"멜로/로맨스,드라마",개봉,한상희,(주)컨텐츠로드
트레이닝 데이: 비열한 거리,Une Nuit,2012,프랑스,장편,"범죄,드라마",개봉,필립페 레페브레,
클린턴로드 : 죽음의 호수,The lake on clinton road,2015,미국,장편,공포(호러),개봉,데숀 하디,
절대복종-가녀린 몸매,Breeding,2014,일본,장편,성인물(에로),개봉,타지리 유지,
유부녀 여사원 - 성희롱,Married working mom,2015,일본,장편,성인물(에로),개봉,아라키 타로,
위험한 섹스: 아야노의 불륜,Ayano'sAdventure,2014,일본,장편,성인물(에로),개봉,토모마츠 나오유키,
언유주얼 서스펙트,The Suspect,2014,미국,장편,스릴러,개봉,스튜어트 코넬리,
막장 젊은 아줌마,Showa Forbidden Untold story,2015,일본,장편,성인물(에로),개봉,테이 쟈가,
마녀의 집,The Bell Witch Haunting,2013,미국,장편,공포(호러),개봉,글렌 밀러,
낮부터 정사 - 빨리와,The greed that I hid,2014,일본,장편,성인물(에로),개봉,쿠니자와 호시미,
헌츠맨: 윈터스 워,The Huntsman: Winter's War,2016,미국,장편,"액션,어드벤처",개봉,세딕 니콜라스 트로얀,
연평해전,Northern Limit Line,2015,한국,장편,드라마,개봉,김학순,(주)로제타시네마
악인은 살아 있다,Bad Man,2014,한국,장편,스릴러,개봉,김회근,(주)에스에이치필름
라 스칼라 라 트라비아타,LA TRAVIATA,2013,이탈리아,장편,공연,개봉,드미트리 체르니아코프,
일어서는 인간,Upstanding Man,2015,한국,장편,드라마,개봉,김미영,보리와 오디 영화사
붕붕 달려라 깜이,Raven the Little Rascal - The Big Race,2015,독일,장편,애니메이션,개봉,"우테 폰 뮌쇼폴,잔도르 예세",
최악의 이웃과 사랑에 빠지는 방법,Blind Date,2015,프랑스,장편,"멜로/로맨스,코미디",개봉,클로비스 코르니악,
도둑들,The Thieves,2012,"한국,홍콩",장편,"액션,범죄",개봉,최동훈,(주)케이퍼필름
유부녀의 사생활,Aganaikirenai hitozumano sei,2012,일본,장편,"멜로/로맨스,드라마",개봉,S.세타니,
뭐든지 해드릴게요,"Kashikomarimashita,Gosyujinsama!",2011,일본,장편,"멜로/로맨스,드라마",개봉,S.세타니,
착한 여자들: C컵 이상,Yokubo sexy pub,2007,일본,장편,"멜로/로맨스,드라마",개봉,키타자와 사치오,
이케부쿠로 양키전쟁 2 - 사키,IKEBUKURO YANKEE SENSO2 SAKI,2011,일본,장편,"액션,멜로/로맨스",개봉,코미나미 토시야,
이지메-여고생의 혼잣말,IJIME JYOSIKOSEI NO TSUBUYAKI,2013,일본,장편,"드라마,스릴러",개봉,후지와라 켄이치,
아내의 원초적 본능,Chikanna yokubou,2002,일본,장편,"멜로/로맨스,드라마",개봉,츠루카와 치히로,
걸 아바타,GAL AVATAR,2011,일본,장편,"코미디,멜로/로맨스",개봉,노스미 히데미,
이케부쿠로 양키전쟁,Ikebukuro Yankee Senso,2010,일본,장편,"액션,드라마,멜로/로맨스",개봉,조조 히데오,
유부녀 트럭걸,Juku-jo Traker,2012,일본,장편,"멜로/로맨스,드라마",개봉,타이나카 요조,
"섹스, 거짓말 그리고 비디오 테이프","Sex, Lies, and Videotape",2011,한국,장편,코미디,개봉,봉만대,"(주)스넵쏘울,영화사뜰(주)"
절세부인의 사랑,Crime and Punishment the first volume,2015,일본,장편,성인물(에로),개봉,테이 쟈가,
악마를 보았다,I Saw The Devil,2010,한국,장편,스릴러,개봉,김지운,"(주)페퍼민트앤컴퍼니,(주)씨즈엔터테인먼트"
아저씨,The Man From Nowhere,2010,한국,장편,"액션,드라마",개봉,이정범,오퍼스픽쳐스(유)
만물생장-끝없는 관계,EVER SINCE WE LOVED,2015,중국,장편,멜로/로맨스,개봉,리 위,
소림사 무림탐정 : 황제의 옥패 ,OF MONKS AND MASTERS : THE YECHAN CLAN,2014,중국,장편,액션,개봉,해도,
스물,Twenty,2014,한국,장편,"코미디,드라마",개봉,이병헌,"(주)영화나무,(주)아이에이치큐"
소원,Hope,2013,한국,장편,드라마,개봉,이준익,필름모멘텀
퀸 오브 데저트,Queen Of The Desert,2015,"미국,모로코",장편,드라마,개봉,베르너 헤어조크,
클로버필드 10번지,10 Cloverfield Lane,2016,미국,장편,"미스터리,스릴러",개봉,댄 트라첸버그,
크로닉,Chronic,2015,멕시코,장편,드라마,개봉,미셸 프랑코,
좀비 나이트,Zombie Night,2013,미국,장편,"공포(호러),SF",개봉,존 걸레거,
섹스 프렌드 스와핑 무삭제판,Sex Friends Cohabitation era -Jealousy swap mania-,2013,일본,장편,멜로/로맨스,개봉,아키야마 요시오,
샤크스톰 2 : 샤크네이도,SHARKNADO 2,2014,미국,장편,"공포(호러),SF",개봉,안소니 C. 페란트,
블랙번: 죽음의 숲,Blackburn,2015,캐나다,장편,공포(호러),개봉,라우로 차트랜드,
유부녀 - 남편 외출중,In the early afternoon without the husband,2014,일본,장편,성인물(에로),개봉,스기야마 타로,
여변호사 - 굴욕법정,Lawyer woman disgrace court,2014,일본,장편,성인물(에로),개봉,카타오카 슈지,
블랙옵스 vs 좀비닌자,Zombie Ninjas vs Black Ops,2015,호주,장편,액션,개봉,로디 클로드,
불륜정사-뒷조사,The married woman of the early afternoon is special,2014,일본,장편,성인물(에로),개봉,이마오카 신지,
명품 몸매 형수님,Pathos of Married woman~Forbidden intimacies~,2015,일본,장편,성인물(에로),개봉,테이 쟈가,
극강 수위 - 농후한 몸매,Showa sex story,2015,일본,장편,성인물(에로),개봉,테이 쟈가,
극장판 울트라맨 우주 몬스터 대결전,Mega Monster Battle: Ultra Galaxy - The Movie,2009,일본,장편,"액션,SF",개봉,사카모토 코이치,
은밀한 영업부: 유혹의 그림자,New S&M episode 2,2013,일본,장편,"멜로/로맨스,드라마",개봉,션,
은밀한 영업부: 위험한 스캔들,New S&M episode1,2013,일본,장편,"멜로/로맨스,드라마",개봉,션,
야한 병동 24시,Kyuseibyoutou24ji,2000,일본,장편,"멜로/로맨스,드라마",개봉,타지마 하루노부,
미망인의 참을 수 없는 욕정,Unrefusable New Life ,2014,일본,장편,성인물(에로),개봉,오오타니 야스유키,
혼외정사: 외국인의 맛,Ijinseikou,2002,일본,장편,"멜로/로맨스,드라마",개봉,카스가 요시노리,
착한 누나,TRIANGLE SEX,2001,일본,장편,"멜로/로맨스,드라마",개봉,카스가 요시노리,
밀애: 아주버님,Itokohurin,2013,일본,장편,"멜로/로맨스,드라마",개봉,콘콘 라이,
음란한 가정교사: 쓰리섬,Onna katei kyoushi midarana yuugi,2007,일본,장편,"멜로/로맨스,드라마",개봉,키타자와 유키오,
위험한 상견례,Meet the In-Laws,2011,한국,장편,"코미디,멜로/로맨스",개봉,김진영,(주)전망좋은 영화사
썰만화,,2016,한국,장편,"코미디,드라마,멜로/로맨스",개봉,안일환,(주)골든몽키스미디어그룹
플라이트 엑시던트,Chariot,2013,미국,장편,스릴러,개봉,브래드 오스본,
바다의 노래: 벤과 셀키요정의 비밀,Song of the Sea,2014,"아일랜드,덴마크,벨기에,룩셈부르크,프랑스",장편,"애니메이션,가족,판타지",개봉,톰 무어,
더 컬링,The Culling,2014,미국,장편,"공포(호러),스릴러",개봉,루스탐 브라나먼,
중독: 끝없는 성욕,Mayonakawa Mesunokao,2013,일본,장편,"멜로/로맨스,드라마",개봉,사사키 노부로,
레트리뷰션 : 응징의 날,Retribution,2015,스페인,장편,스릴러,개봉,다니 델 라 토레,
미션: 톱스타를 훔쳐라,Mission: Kidnap the Top Star,2015,한국,장편,"액션,코미디,드라마",개봉,노병하,(주)영화사희망
33,The 33,2015,"미국,칠레",장편,드라마,개봉,패트리시아 리건,
뜨거운 정사 - 미나 이야기,Anything For You,2014,일본,장편,성인물(에로),개봉,쥬레쓰 도리나,
흉가 : 유령의 집,The Amityville Haunting,2011,미국,장편,공포(호러),개봉,조프 미드,
포비아: 악령의 한,Phobia,2014,미국,장편,"공포(호러),스릴러",개봉,로리 더글라스 아벨,
트럼보,Trumbo,2015,미국,장편,드라마,개봉,제이 로치,
프레지던트 테러 라이브,Suddenly,2015,"캐나다,미국",장편,액션,개봉,우베 볼,
타락하는 여상사,Insulted Career woman,2015,일본,장편,성인물(에로),개봉,테이 쟈가,
캘린더걸,,2016,한국,장편,멜로/로맨스,개봉,강현철,스마일컨텐츠
익스트림 터미네이터 TR,The Terminators,2009,미국,장편,"액션,SF",개봉,자비에르 S. 푸슬로우스키,
유부녀의 각성 - 수치심,Waking,2014,일본,장편,성인물(에로),개봉,카타오카 슈지,
우주전쟁 : 화성을 지켜라,Princess Of Mars,2009,미국,장편,"SF,스릴러,전쟁",개봉,마크 앳킨스,
스타 차일드: 서투른 오디션,STAR CHILD,2013,일본,장편,멜로/로맨스,개봉,호리이 히카루,
서머지드,Submerged,2015,미국,장편,스릴러,개봉,스티븐 C. 밀러,
로베르토의 특별한 일주일,Un Cuento Chino,2011,아르헨티나,장편,코미디,개봉,세바스챤 보렌스타인,
라스트 홈,99 HOMES,2014,미국,장편,드라마,개봉,라민 바흐러니,
동창생과 자는 여자,I sleep with a classmate,2014,일본,장편,성인물(에로),개봉,에모토 토시로,
독수리 에디,Eddie the Eagle,2016,미국,장편,드라마,개봉,덱스터 플레처,
더 걸 이즈 인 트러블,The Girl Is In Trouble,2015,미국,장편,"범죄,스릴러",개봉,줄리어스 오나,
달콤한 입술 맛보기,Sweet lips 2 of the younger sister,2014,일본,장편,성인물(에로),개봉,카네다 사토시,
난교: 쾌락의 맛,Yesterday of invective,2014,일본,장편,멜로/로맨스,개봉,호리이 아야,
섬. 사라진 사람들,NO TOMORROW,2015,한국,장편,스릴러,개봉,이지승,시네마팩토리
입영전야,,2016,한국,장편,"멜로/로맨스,코미디",개봉,"유승택,유승택",영화사 인연
필사의검 토리사시,Sword of desperation,2010,일본,장편,액션,개봉,히라야마 히데유키,
택시: 나이트페어,Night Fare,2015,프랑스,장편,액션,개봉,줄리앙 세리,
마이크롭 앤 가솔린,Microbe and Gasoline,2015,프랑스,장편,"코미디,드라마",개봉,미셸 공드리,
조선안방 스캔들-칠거지악,,2014,한국,장편,멜로/로맨스,개봉,이전,(주)스넵쏘울
덤프걸 유코,DumpGirl YUKO,2012,일본,장편,"멜로/로맨스,드라마",개봉,타이나카 요조,
출근길: 남자들의 애무,Chikanna kankei,2013,일본,장편,"멜로/로맨스,드라마",개봉,카츠야마 시게오,
은밀한 정사,Jituroku Chikandensya IV,2012,일본,장편,"멜로/로맨스,드라마",개봉,사카모토 후토시,
섹스는 오감만족,Molester Net8,2005,일본,장편,"멜로/로맨스,드라마",개봉,이시카와 지로,
롯본기 양키전쟁,Roppongi Yankee Senso,2012,일본,장편,"액션,드라마",개봉,코미나미 토시야,
남녀의 속궁합,Bewitching KUNOISHI-DEN Aome Ver.,2007,일본,장편,"멜로/로맨스,액션,드라마",개봉,카토 요시카즈,
과장님의 여직원 길들이기,OL Sekuharachoukyou,2013,일본,장편,"멜로/로맨스,드라마",개봉,카츠야마 시게오,
야외 거유의 유혹,Hitchhike,2015,일본,장편,멜로/로맨스,개봉,모리야마 시게오,
아내의 위험한 부업,Net Model,2007,일본,장편,"멜로/로맨스,드라마",개봉,타케우치 노리히로,
붉은 알몸-격정사,Erotic Finger,2015,일본,장편,멜로/로맨스,개봉,와타나베 모토츠구,
밤마다 에로 대운동회,Service at night,2015,일본,장편,멜로/로맨스,개봉,세키네 카즈미,
잠 못 이루는 섹스,,2016,한국,장편,멜로/로맨스,개봉,"이민환,이숭환",(주)케이알씨지
블랙스톤,Black Stone,2015,"한국,프랑스",장편,드라마,개봉,노경태,테디베어필름
조건만남 : 불륜의 시작,Ups & Downs,2015,일본,장편,멜로/로맨스,개봉,조조 히데오,
베이글녀들의 성감클럽,The Black Sun,2015,일본,장편,멜로/로맨스,개봉,아마노우치 다이스케,
인턴 간호사의 아주 특별한 경험,Space-time Kinky Man - If I stopped time,2015,일본,장편,멜로/로맨스,개봉,오쿠 와타루,
여사장의 은밀한 유혹,Bar Momoko,2013,일본,장편,성인물(에로),개봉,야마우치 다이스케,
예비 신부의 러브호텔 체험기,1BR Love Hotel,2014,일본,장편,드라마,개봉,오니시 유타카,
투어드포스 : 기적의 여정,Tour de force,2014,독일,장편,"코미디,드라마",개봉,크리스찬 주버트,
프로젝트-M,Project-M,2014,캐나다,장편,"SF,드라마",개봉,에릭 피콜리,
세일즈 우먼의 불륜정사,Body visit Sales Price of quota,2000,일본,장편,멜로/로맨스,개봉,곤노 하지메,
위기의 유부녀: 남편은 출장 중,Danchizuma - Falling Into the Dusk,2005,일본,장편,멜로/로맨스,개봉,한 헤이타로,
뱀파이어 시스터,Vampire Sisters,2012,독일,장편,"어드벤처,코미디,드라마",개봉,볼프강 그루스,
어우동: 주인 없는 꽃,Uhwudong: Ownerless Flower,2014,한국,장편,멜로/로맨스,개봉,이수성,"(유)조이앤컨텐츠그룹,㈜리필름"
고백할 수 없는,Unconfessional,2014,한국,장편,스릴러,개봉,최인규,더파인트
외인부대 : 암살자들,Mercenaries,2014,미국,장편,"액션,어드벤처",개봉,크리스토퍼 레이,
소림사 - 죽음의 객잔,Of Monks and Masters: Spell of Death,2014,중국,장편,액션,개봉,해도,
블라인드,BLIND,2014,노르웨이,장편,드라마,개봉,에스킬 보그트,
음란한 요부와 전남친,Attic Prostitute,2015,일본,장편,성인물(에로),개봉,테이 쟈가,
하이-라이즈,High-Rise,2015,영국,장편,스릴러,개봉,벤 휘틀리,
포레스트: 죽음의 숲,The Forest,2016,미국,장편,공포(호러),개봉,제이슨 자다,
미스컨덕트,Misconduct,2015,미국,장편,"범죄,스릴러",개봉,시모사와 신타로,
마음이 외치고 싶어해,The Anthem of the Heart,2015,일본,장편,애니메이션,개봉,나가이 타츠유키,
나의 그리스식 웨딩 2,My Big Fat Greek Wedding 2,2016,미국,장편,코미디,개봉,커크 존스,
라면 먹고 갈래?,,2016,한국,장편,멜로/로맨스,개봉,강백호,주식회사 이엔터
아이돌 섹스 스캔들,,2015,한국,장편,멜로/로맨스,개봉,야마삐,(주)케이알씨지
배트맨 대 슈퍼맨: 저스티스의 시작,Batman v Superman: Dawn of Justice,2016,미국,장편,"액션,어드벤처,판타지",개봉,잭 스나이더,
욕망의 젊은 도우미,Desire & A Knife,2014,일본,장편,성인물(에로),개봉,쿠도 마사노리,
은교,Eungyo,2012,한국,장편,멜로/로맨스,개봉,정지우,"정지우 필름,㈜렛츠필름"
미망인과 이웃집 남자들,Miboujin nakazono kiyomi,2012,일본,장편,"멜로/로맨스,드라마",개봉,카에데,
오두막 살인사건,Axe Giant: The Wrath of Paul Bunyan,2013,미국,장편,"판타지,공포(호러)",개봉,게리 존스,
드론전쟁: 굿킬,Good kill,2015,미국,장편,"액션,드라마,스릴러",개봉,앤드류 니콜,
친구엄마: 사랑이 필요해,shinyunohaha tomodamaki toujyoumina,2007,일본,장편,"멜로/로맨스,드라마",개봉,사카모토 후토시,
심야 여자의 두 얼굴,Mayonakawa Mesunokao,2002,일본,장편,"멜로/로맨스,드라마",개봉,사사키 노부요시,
위험한 상상: 치한에게 느낀 욕정,Chikanna yugi,2002,일본,장편,"멜로/로맨스,드라마",개봉,카스가 요시노리,
부인친구의 딸,tumano sinyuto sono musume,2009,일본,장편,"멜로/로맨스,드라마",개봉,사카모토 후토시,
신입얼짱 관광가이드,New Tour conductor Chisato,2004,일본,장편,"멜로/로맨스,드라마",개봉,토모마츠 나오유키,
타투,Tattoo,2014,한국,장편,스릴러,개봉,이서,"(주)다세포클럽,(주)코리아스토리 "
청포도 사탕: 17년 전의 약속,Grape Candy,2012,한국,장편,"드라마,미스터리",개봉,김희정,(주)인벤트스톤
변태여과장의 에로폭발,Hentai OL,2014,일본,장편,멜로/로맨스,개봉,쿠니사와 미노루,
데빌 인사이드 : 악령의 집,A DEVIL'S INSIDE,2013,미국,장편,공포(호러),개봉,"크리스 헐버트,랜디 켄트",
오퍼나지: 비밀의 집,The Orphanage,2013,"미국,불가리아",장편,"미스터리,드라마,스릴러",개봉,"에반 골드먼,지미 스캔론",
라보엠,La Boheme,2008,독일,장편,멜로/로맨스,개봉,로버트 돈헴,
맥베스,MACBETH,2014,미국,장편,공연,개봉,에이드리언 노블,
야근 간호사 유혹하기,Immorality Ward,2015,일본,장편,성인물(에로),개봉,테이 쟈가,
콰르텟,Quartet,2012,영국,장편,"코미디,드라마",개봉,더스틴 호프만,
헝거,Hunger,2008,"영국,아일랜드",장편,드라마,개봉,스티브 맥퀸,
월터 교수의 마지막 강의,Anesthesia,2015,미국,장편,드라마,개봉,팀 블레이크 넬슨,
스푹스:MI5,Spooks: The Greater Good,2015,영국,장편,"액션,드라마,스릴러",개봉,바랫 낼러리,
부활,Risen,2016,미국,장편,드라마,개봉,케빈 레이놀즈,
오 마이 그랜파,Dirty Grandpa,2015,미국,장편,코미디,개봉,댄 마저,
폴링,The Falling,2014,영국,장편,미스터리,개봉,캐롤 몰리,
최고의 하숙집 - 여주인의 밤,Rooming house Widow,2015,일본,장편,성인물(에로),개봉,테이 쟈가,
미스터 추: 기발한 미국 유학기,Chu and Blossom,2014,미국,장편,"코미디,드라마",개봉,"찰스 추,게빈 켈리",
그리울 련,Amor,2015,한국,장편,"판타지,멜로/로맨스",개봉,한철수,㈜리필름
야쿠자의 아내,Jissetu Gokutsuma Ninkyoudou1,2010,일본,장편,"멜로/로맨스,드라마",개봉,오부치 아키라,
호스티스:접대부의 생활,Jissetu Gokutsuma Ninkyoudou3,2010,일본,장편,"멜로/로맨스,드라마",개봉,오부치 아키라,
타락한 유부녀,Jissetu Gokutsuma Ninkyoudou2,2010,일본,장편,"멜로/로맨스,드라마",개봉,오부치 아키라,
노리개가 된 여대생,Jyoushidaisei M no syouzou choukyoue no kiseki,2007,일본,장편,"멜로/로맨스,드라마",개봉,카스가 요시노리,
거유간호사 폭유간호사,Glamour nurse,2014,일본,장편,멜로/로맨스,개봉,카토 요시카즈,
공정사회,Azooma,2012,한국,장편,"드라마,스릴러",개봉,이지승,시네마팩토리
러브앤서울 복숭아마을 도색소동기 무삭제판,AV Idol 2,2014,"한국,일본",장편,멜로/로맨스,개봉,조조 히데오,(주)케이알씨지
러브앤서울 복숭아마을 도색소동기,AV Idol 2,2014,"한국,일본",장편,멜로/로맨스,개봉,조조 히데오,(주)케이알씨지
정사: 친구 딸의 남자친구,tumanosinyuto sonomusume endosihori,2009,일본,장편,"멜로/로맨스,드라마",개봉,사카모토 후토시,
치한전철: 예쁜 여자만 노린다,Molester Net7,2004,일본,장편,"멜로/로맨스,드라마",개봉,카와노 코지,
굿바이 버클리,Greetings from Tim Buckley,2012,미국,장편,드라마,개봉,다니엘 엘그란트,
비밀정사:친구의 아빠,shinyunohaha tosonomusume,2009,일본,장편,"멜로/로맨스,드라마",개봉,사카모토 후토시,
리퍼,Reaper,2014,미국,장편,"공포(호러),스릴러",개봉,웬-한 쉬,
버닝데드: 좀비의섬,The Burning Dead,2014,미국,장편,공포(호러),개봉,르네 페르즈,
피라냐콘다,Piranhaconda,2012,미국,장편,공포(호러),개봉,짐 위노스키,
범죄와의 전쟁: 나쁜놈들 전성시대,Nameless Gangster : Rules of the Time,2011,한국,장편,"범죄,드라마",개봉,윤종빈,"(주)팔레트픽처스,(주)쇼박스"
데몬킹스,108 Demon-Kings,2014,"프랑스,룩셈부르크,벨기에",장편,"애니메이션,액션,어드벤처",개봉,파스칼 모렐리,
소년 파르티잔,Partisan,2015,호주,장편,"드라마,스릴러",개봉,아리엘 클레이만,
미니 자이언트,Tiny Giants 3D,2014,영국,장편,"애니메이션,가족,다큐멘터리",개봉,마크 브라운로우,
룸,Room,2015,"아일랜드,캐나다",장편,드라마,개봉,레니 에이브러햄슨,
레터스 투 갓,Letters To God,2010,미국,장편,"가족,드라마",개봉,데이빗 닉슨,
나의 빅사이즈 남사친,A Big Love Story,2012,미국,장편,"코미디,멜로/로맨스",개봉,라이언 세이지,
시라노; 연애조작단,Cyrano Agency,2010,한국,장편,"멜로/로맨스,코미디",개봉,김현석,(주)명필름
"광해, 왕이 된 남자",Masquerade,2012,한국,장편,"사극,드라마",개봉,추창민,"리얼라이즈픽쳐스(주),씨제이이앤엠(주)"
최종병기 활,War of the Arrows,2011,한국,장편,"사극,액션",개봉,김한민,"(주)디씨지플러스,(주)다세포클럽"
내 아내의 모든 것,All About My Wife,2012,한국,장편,"코미디,멜로/로맨스",개봉,민규동,"(주)수필름,영화사 집"
다이노소어 어드벤처 3D,Walking with Dinosaurs 3D,2013,"미국,영국",장편,"액션,가족",개봉,"베리 쿡,닐 나이팅게일",
디버그: 슈퍼컴퓨터 VS 천재해커,Debug,2014,"미국,캐나다",장편,"SF,스릴러,공포(호러)",개봉,데이빗 휴렛,
여배우 섹스 스캔들,,2015,한국,장편,멜로/로맨스,개봉,야마삐,(주)케이알씨지
미용사의 손놀림 - 그녀,Indecent finger-tip,2014,일본,장편,성인물(에로),개봉,쿠보데라 카즈토,
이니시에이션 러브,Initiation Love,2015,일본,장편,멜로/로맨스,개봉,츠츠미 유키히코,
완소녀 쟁취기 2,Brain Drain 2,2011,스페인,장편,"코미디,멜로/로맨스",개봉,카를로스 테론,
악령의 재림,Hold Your Breath,2012,미국,장편,공포(호러),개봉,자레드 콘,
바이러스 격리 구역,INFECTED,2013,미국,장편,공포(호러),개봉,필립 매시제윅,
마가렛트 여사의 숨길 수 없는 비밀,Marguerite,2015,"프랑스,체코,벨기에",장편,드라마,개봉,자비에 지아놀리,
제아내를 소개합니다,Hold it forever,2014,일본,장편,성인물(에로),개봉,카네다 사토시,
아내의 능욕-강제정사,Pawnshop of Married woman~I will be deposited for you~,2015,일본,장편,성인물(에로),개봉,테이 쟈가,
산하고인,Mountains May Depart,2015,"중국,프랑스,일본",장편,드라마,개봉,지아 장 커,
그녀의 가슴냄새,Indecent lesson,2014,일본,장편,성인물(에로),개봉,쿠니자와 미노루,
리턴 투 센더,Return to Sender,2015,미국,장편,"범죄,스릴러",개봉,포아드 미카티,
13시간,13 Hours: The Secret Soldiers of Benghazi,2016,미국,장편,"액션,드라마,스릴러",개봉,마이클 베이,
조이,Joy,2015,미국,장편,"코미디,드라마",개봉,데이빗 O. 러셀,
런던 해즈 폴른,London Has Fallen,2016,"미국,영국",장편,"액션,범죄,스릴러",개봉,바박 나자피,
프란체스코와 교황,Francesco and the Pope,2011,"독일,이탈리아",장편,다큐멘터리,개봉,치로 카펠라리,
엔딩노트,Ending Note,2011,일본,장편,"드라마,다큐멘터리",개봉,마미 스나다,
분신사바 3,Bunshinsaba 3,2014,중국,장편,"공포(호러),스릴러",개봉,안병기,
소림사: 무림적팔방,OF MONKS AND MASTERS : TROUBLE AT THE CENTRAL OFFICE,2014,중국,장편,액션,개봉,해도,
고양이 사무라이 2,Samurai Cat 2,2015,일본,장편,"코미디,드라마,액션",개봉,와타나베 타케시,
무림신공 : 황금봉의 전사,The Golden Cane Warrior,2014,인도네시아,장편,액션,개봉,이파 이스판샤,
그 사람 추기경,The Cardinal,2014,한국,장편,다큐멘터리,개봉,전성우,평화방송
피스 오브 케이크,piece of cake,2015,일본,장편,멜로/로맨스,개봉,타구치 토모로오,
사람은 무엇으로 사는가,What Do People Live For,2005,한국,장편,다큐멘터리,기타,경순,독립프로덕션빨간눈사람
아오하라이드,Blue Spring Ride,2014,일본,장편,"드라마,멜로/로맨스",개봉,미키 타카히로,
청춘학당2 기생난입야사,,2016,한국,장편,"코미디,드라마",개봉,김대성,(주)영화사히트
등산의 목적,Purpose of hiking,2016,한국,장편,멜로/로맨스,개봉,조형운,주식회사 비엠미디어
수상한 그녀,Miss Granny,2013,한국,장편,드라마,개봉,황동혁,"(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름"
로맨틱 헤븐,Romantic Heaven,2011,한국,장편,드라마,개봉,장진,(주)시네마서비스글로벌
고양이 춤,Dancing Cat,2011,한국,장편,다큐멘터리,개봉,윤기형,고양이구름 필름
돼지의 왕,The King of Pigs,2011,한국,장편,"애니메이션,스릴러",개봉,연상호,"주식회사 다다쇼,돼지의 왕 제작위원회"
플레이,Play,2011,한국,장편,드라마,개봉,남다정,"시네마달,(주)잉크스팟"
