■ 영화정보 리스트,,,,,,,,
- 조회일: 2019-06-14,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,
▶ 검색조건 : [  영화명: 전체 감독명: 전체 제작연도: 전체 개봉일자:2010-01-01 ~ 2019-06-09 제작상태: 전체 유형: 전체 장르: 전체 등급: 전체 국적: 전체 인덱싱: 전체 입력비율: 전체 ],,,,,,,,
영화명,영화명(영문),제작연도,제작국가,유형,장르,제작상태,감독,제작사
얼론 위 파이트,ALONE WE FIGHT,2018,미국,장편,"전쟁,액션",개봉,저스틴 리,
여대생들의은밀한아르바이트,,2018,한국,장편,멜로/로맨스,개봉,천성준,에이원 미디어
도우터 오브 마인,Daughter of mine,2018,이탈리아,장편,드라마,개봉,라우라 비스푸리,
아메리카 뮤직&와일드,America's Musical Journey & America Wild,2018,미국,장편,다큐멘터리,개봉,그렉 맥길리브레이,
에이프릴의 딸,April's Daughter,2017,멕시코,장편,"미스터리,드라마",개봉,미셸 프랑코,
스마트폰을 떨어뜨렸을 뿐인데,Stolen Identity,2018,일본,장편,"스릴러,미스터리,드라마",개봉,나카타 히데오,
스탈린이 죽었다!,The Death of Stalin,2017,"프랑스,영국",장편,"코미디,드라마",개봉,아만도 이아누치,
호텔 뭄바이,Hotel Mumbai,2018,호주,장편,스릴러,개봉,앤소니 마라스,
콜레트,COLETTE,2018,"영국,미국,헝가리",장편,드라마,개봉,워시 웨스트모어랜드,
바이스,VICE,2018,미국,장편,드라마,개봉,아담 맥케이,
"다시, 봄","Spring, Again",2018,한국,장편,"드라마,판타지",개봉,정용주,(주)26컴퍼니
한강에게,To My River,2018,한국,장편,"드라마,멜로/로맨스",개봉,박근영,
뷰티플 마인드,Listen to Your Heart. The Beautiful Mind,2018,한국,장편,다큐멘터리,개봉,"류장하,손미",(주)엠엔에프씨
"어쩌다, 결혼",Trade Your Love,2018,한국,장편,"멜로/로맨스,코미디",개봉,"박호찬,박수진",(주)비에이엔터테인먼트
아픈 만큼 사랑한다,LOVE AS MUCH AS PAIN,2019,한국,장편,다큐멘터리,개봉,임준현,"KBS 미디어,(주)드림팩트엔터테인먼트"
노무현과 바보들,,2019,한국,장편,다큐멘터리,개봉,김재희,(주)바보들
스마트 체이스,Smart Chase,2017,중국,장편,"액션,어드벤처,범죄",개봉,찰스 마틴,
법피아,Mafia of the Law,2018,한국,장편,다큐멘터리,개봉,박두혁,
라플라스의 마녀,Laplace's Witch,2018,일본,장편,"미스터리,스릴러",개봉,미이케 다카시,
장모의유혹-무삭제,,2018,한국,장편,멜로/로맨스,개봉,김이슬,스마일컨텐츠
카리스마타 살인,Charismata,2017,영국,장편,"공포(호러),판타지",개봉,"앤디 콜리어,투어 미안",
벤 이즈 백,Ben is Back,2018,미국,장편,드라마,개봉,피터 헤지스,
바디 브로큰,Broken,2019,미국,장편,"드라마,스릴러",개봉,숀 로버트 스미스,
명탐정 피카츄,Pokemon Detective Pikachu,2019,미국,장편,"액션,어드벤처,코미디",개봉,롭 레터맨,
내 여자친구의 엄마 무삭제,,2018,한국,장편,멜로/로맨스,개봉,김부곤,(주)영화사가을
고양이 여행 리포트,The Travelling Cat Chronicles,2018,일본,장편,드라마,개봉,미키 코이치로,
걸캅스,Miss & Mrs. Cops,2018,한국,장편,"코미디,액션",개봉,정다원,필름모멘텀
드라이브,Drive,2011,미국,장편,"액션,스릴러",개봉,니콜라스 윈딩 레픈,
소녀의 세계,Fantasy of the Girls,2018,한국,장편,멜로/로맨스,개봉,안정민,"(주)빅오픽쳐스,(주)날개엔터테인먼트"
출장섹스 폭풍정사,Business trip sex,2017,일본,장편,성인물(에로),개봉,야마우치 다이스케,
