2019-07-04 14:44:53,242 : INFO : EPOCH 4 - PROGRESS: at 26.88% examples, 50678 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:54,363 : INFO : EPOCH 4 - PROGRESS: at 28.19% examples, 50692 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:55,399 : INFO : EPOCH 4 - PROGRESS: at 29.45% examples, 50730 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:56,426 : INFO : EPOCH 4 - PROGRESS: at 30.43% examples, 50938 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:57,508 : INFO : EPOCH 4 - PROGRESS: at 31.29% examples, 50885 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:58,509 : INFO : EPOCH 4 - PROGRESS: at 32.40% examples, 50846 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:59,535 : INFO : EPOCH 4 - PROGRESS: at 33.03% examples, 50778 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:00,957 : INFO : EPOCH 4 - PROGRESS: at 34.46% examples, 50135 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:02,049 : INFO : EPOCH 4 - PROGRESS: at 35.65% examples, 50334 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:03,067 : INFO : EPOCH 4 - PROGRESS: at 36.99% examples, 50490 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:04,187 : INFO : EPOCH 4 - PROGRESS: at 37.65% examples, 50191 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:05,229 : INFO : EPOCH 4 - PROGRESS: at 38.90% examples, 50251 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:06,325 : INFO : EPOCH 4 - PROGRESS: at 40.57% examples, 50280 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:07,355 : INFO : EPOCH 4 - PROGRESS: at 41.65% examples, 50342 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:08,801 : INFO : EPOCH 4 - PROGRESS: at 42.72% examples, 50016 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:09,880 : INFO : EPOCH 4 - PROGRESS: at 43.85% examples, 50202 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:11,014 : INFO : EPOCH 4 - PROGRESS: at 44.75% examples, 50282 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:12,079 : INFO : EPOCH 4 - PROGRESS: at 45.97% examples, 50270 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:13,134 : INFO : EPOCH 4 - PROGRESS: at 46.87% examples, 50058 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:14,228 : INFO : EPOCH 4 - PROGRESS: at 47.88% examples, 50168 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:15,497 : INFO : EPOCH 4 - PROGRESS: at 48.96% examples, 50058 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:16,499 : INFO : EPOCH 4 - PROGRESS: at 50.00% examples, 50094 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:17,564 : INFO : EPOCH 4 - PROGRESS: at 50.81% examples, 50140 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:18,708 : INFO : EPOCH 4 - PROGRESS: at 52.18% examples, 50107 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:19,726 : INFO : EPOCH 4 - PROGRESS: at 53.04% examples, 50089 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:20,745 : INFO : EPOCH 4 - PROGRESS: at 54.09% examples, 50226 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:21,753 : INFO : EPOCH 4 - PROGRESS: at 54.89% examples, 50139 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:22,895 : INFO : EPOCH 4 - PROGRESS: at 56.00% examples, 50149 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:23,919 : INFO : EPOCH 4 - PROGRESS: at 56.71% examples, 50216 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:25,020 : INFO : EPOCH 4 - PROGRESS: at 57.73% examples, 50060 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:26,053 : INFO : EPOCH 4 - PROGRESS: at 58.41% examples, 49966 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:27,094 : INFO : EPOCH 4 - PROGRESS: at 59.07% examples, 49753 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:28,156 : INFO : EPOCH 4 - PROGRESS: at 59.87% examples, 49590 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:29,281 : INFO : EPOCH 4 - PROGRESS: at 60.71% examples, 49257 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:30,331 : INFO : EPOCH 4 - PROGRESS: at 61.49% examples, 49368 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:31,390 : INFO : EPOCH 4 - PROGRESS: at 62.02% examples, 49261 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:32,653 : INFO : EPOCH 4 - PROGRESS: at 63.45% examples, 49202 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:33,820 : INFO : EPOCH 4 - PROGRESS: at 64.98% examples, 49130 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:34,992 : INFO : EPOCH 4 - PROGRESS: at 66.05% examples, 49125 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:45:36,012 : INFO : EPOCH 4 - PROGRESS: at 66.80% examples, 49192 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:37,250 : INFO : EPOCH 4 - PROGRESS: at 67.78% examples, 49083 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:38,464 : INFO : EPOCH 4 - PROGRESS: at 68.53% examples, 49024 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:45:39,608 : INFO : EPOCH 4 - PROGRESS: at 70.29% examples, 49053 words/s, in_qsize 8, out_qsize 0
