OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,CMT_SCORE,AUDI_ACC,y_pred,exp(test_y),exp(y_pred)
22,79,한국,CGV아트하우스,드라마,청소년관람불가,0,3.91202300542815,6.45362499889269,0.59866220735786,8.5039052970893,9.53402885120408,4934,13822.1665084549
30,98,영국,기타,다큐멘터리,전체관람가,0,2.19722457733622,5.39816270151775,0.4,8.50187648730434,8.90967104413768,4924,7403.2253632952
18,82,프랑스,기타,애니메이션,전체관람가,0,2.63905732961526,0,0.222222222222222,8.5016733797582,9.17153025192034,4923,9619.33343656084
47,96,미국,기타,코미디,15세이상관람가,0,5.04342511691925,5.84932477994686,0.49025069637883,8.50126704086598,9.04887436620662,4921,8508.95456509954
32,111,호주,기타,미스터리,청소년관람불가,0,3.68887945411394,5.89164421182577,0.473372781065089,8.50025047068593,8.65358715421703,4916,5730.66669281451
17,142,중국,기타,전쟁,15세이상관람가,0,1.09861228866811,3.91202300542815,0.5,8.49902922078857,8.29453018922347,4910,4001.92265841469
2,103,한국,기타,드라마,15세이상관람가,0,3.71357206670431,6.52502965784346,0.521739130434783,8.49310539588715,8.88683663834585,4881,7236.09256227873
51,92,호주,기타,애니메이션,12세이상관람가,0,3.25809653802148,0,0.466666666666667,8.49146504284351,8.31807595487317,4873,4097.26908884226
47,125,영국,기타,드라마,12세이상관람가,0,1.94591014905531,4.99721227376411,0.428571428571429,8.49105453380654,8.75544696312639,4871,6345.15598091204
29,120,캐나다,기타,멜로,청소년관람불가,0,1.38629436111989,0,0.307692307692308,8.4906438561827,8.89453445316688,4869,7292.00960625616
48,107,영국,기타,전쟁,15세이상관람가,0,3.40119738166216,5.10594547390058,0.436170212765958,8.48899945704546,8.49022430773406,4861,4866.95764706653
32,127,기타,기타,드라마,15세이상관람가,0,3.17805383034795,5.4553211153577,0.388888888888889,8.48755838628655,8.90093723755938,4854,7338.84856140255
28,109,프랑스,기타,드라마,15세이상관람가,0,1.09861228866811,2.99573227355399,0.4,8.48590890137647,8.30363787203051,4846,4038.53738516587
3,120,일본,기타,드라마,15세이상관람가,0,4.69134788222914,5.0998664278242,0.389473684210526,8.48570252432487,8.84642341787727,4845,6949.48905004606
21,111,한국,기타,범죄,15세이상관람가,0,5.90808293816893,7.07918439460967,0.0913731495661052,8.48384321173468,9.32783348924624,4836,11246.7388909045
19,126,일본,기타,애니메이션,15세이상관람가,0,2.94443897916644,0,0.36,8.48135873840702,8.2416250286467,4824,3795.70342599444
33,98,한국,기타,다큐멘터리,15세이상관람가,0,2.484906649788,4.96284463025991,0.321428571428571,8.48032171664033,8.13075340428944,4819,3397.35818541223
15,101,일본,기타,애니메이션,전체관람가,0,3.58351893845611,4.93447393313069,0.286486486486487,8.47886807709457,9.24773563396459,4812,10381.0326251606
