"TITLE","OPEN_DT","OPEN_MONTH","OPEN_QUARTER","SHOW_TM","NATION_NM","TOP_COMPANY_NM","PRI_GENRE_NM","WATCH_GRADE_NM","SERIES","NAVER_CMT_NN","NAVER_EX_PT","ORI_BOOK","AUDI_ACC"
"쿵푸팬더 2","2011-05-26","5","2",91,"미국","씨제이이앤엠(주)","애니메이션","전체관람가","1",620,0,"0",5062722
"아쿠아맨","2018-12-19","12","4",143,"미국","워너브러더스 코리아(주)","액션","12세이상관람가","1",205,833,"0",5038134
"공작","2018-08-08","8","3",137,"한국","씨제이이앤엠(주)","드라마","12세이상관람가","0",254,2437,"0",4971261
"인사이드 아웃","2015-07-09","7","3",101,"미국","기타","애니메이션","전체관람가","0",164,3102,"0",4968687
"킹스맨: 골든 서클","2017-09-27","9","3",140,"미국","이십세기폭스코리아(주)","액션","청소년관람불가","0",664,24898,"0",4945484
"바람과 함께 사라지다","2012-08-08","8","3",121,"한국","(주)넥스트엔터테인먼트월드(NEW)","코미디","12세이상관람가","0",128,0,"0",4897551
"마션","2015-10-08","10","4",142,"미국","이십세기폭스코리아(주)","액션","12세이상관람가","0",617,6812,"1",4875494
"토르: 라그나로크","2017-10-25","10","4",130,"미국","기타","액션","12세이상관람가","1",515,13239,"0",4857152
"어메이징 스파이더맨","2012-06-28","6","2",136,"미국","기타","액션","12세이상관람가","1",1063,0,"0",4853123
"님아, 그 강을 건너지 마오","2014-11-27","11","4",85,"한국","기타","다큐멘터리","전체관람가","0",191,8651,"0",4801355
"조선명탐정 : 각시투구꽃의 비밀","2011-01-27","1","1",115,"한국","기타","코미디","12세이상관람가","1",466,0,"1",4786259
"군도: 민란의 시대","2014-07-23","7","3",137,"한국","기타","사극","15세이상관람가","0",1738,14319,"0",4774895
"범죄와의 전쟁: 나쁜놈들 전성시대","2012-02-02","2","1",133,"한국","기타","범죄","청소년관람불가","0",227,0,"0",4710454
"주토피아","2016-02-17","2","1",108,"미국","기타","애니메이션","전체관람가","0",687,2474,"0",4703245
"엣지 오브 투모로우","2014-06-04","6","2",113,"미국","워너브러더스 코리아(주)","액션","12세이상관람가","1",365,2528,"1",4697142
"신세계","2013-02-21","2","1",134,"한국","(주)넥스트엔터테인먼트월드(NEW)","범죄","청소년관람불가","0",582,0,"0",4682492
"신비한 동물사전","2016-11-16","11","4",132,"미국","워너브러더스 코리아(주)","어드벤처","12세이상관람가","1",331,12840,"1",4666993
"도가니","2011-09-22","9","3",125,"한국","씨제이이앤엠(주)","드라마","청소년관람불가","0",644,0,"1",4662822
"내 아내의 모든 것","2012-05-17","5","2",121,"한국","(주)넥스트엔터테인먼트월드(NEW)","코미디","15세이상관람가","0",128,0,"0",4598583
"판도라","2016-12-07","12","4",135,"한국","(주)넥스트엔터테인먼트월드(NEW)","드라마","12세이상관람가","0",732,8338,"0",4571142
"연가시","2012-07-05","7","3",109,"한국","씨제이이앤엠(주)","공포","15세이상관람가","0",1075,0,"0",4513026
"아이언맨 2","2010-04-29","4","2",125,"미국","기타","SF","12세이상관람가","1",722,0,"0",4498335
"강철비","2017-12-14","12","4",139,"한국","(주)넥스트엔터테인먼트월드(NEW)","액션","15세이상관람가","0",849,5965,"0",4451336
"해리포터와 죽음의 성물2","2011-07-13","7","3",131,"미국","워너브러더스 코리아(주)","판타지","전체관람가","0",1746,0,"1",4400298
"엑스맨: 데이즈 오브 퓨처 패스트","2014-05-22","5","2",134,"미국","이십세기폭스코리아(주)","액션","12세이상관람가","1",692,4066,"1",4313871
"아가씨","2016-06-01","6","2",144,"한국","씨제이이앤엠(주)","스릴러","청소년관람불가","0",438,21671,"1",4277071
"어메이징 스파이더맨 2","2014-04-23","4","2",142,"미국","기타","액션","12세이상관람가","1",693,3680,"0",4168350
"용의자","2013-12-24","12","4",137,"한국","기타","액션","15세이상관람가","0",931,0,"0",4131248
"건축학개론","2012-03-22","3","1",118,"한국","롯데쇼핑㈜롯데엔터테인먼트","멜로","12세이상관람가","0",567,0,"0",4110645
"댄싱퀸","2012-01-18","1","1",124,"한국","씨제이이앤엠(주)","코미디","12세이상관람가","0",191,0,"0",4057546
"꾼","2017-11-22","11","4",116,"한국","기타","범죄","15세이상관람가","0",322,6730,"0",4018341
"혹성탈출: 반격의 서막","2014-07-10","7","3",130,"미국","이십세기폭스코리아(주)","액션","12세이상관람가","1",354,2984,"0",4002134
"타짜-신의 손","2014-09-03","9","3",147,"한국","기타","드라마","청소년관람불가","1",3451,7157,"1",4001813
"쿵푸팬더3","2016-01-28","1","1",94,"미국","씨제이이앤엠(주)","애니메이션","전체관람가","1",222,12441,"0",3984812
"캡틴 아메리카: 윈터 솔져","2014-03-26","3","1",135,"미국","기타","액션","15세이상관람가","1",434,1969,"1",3963220
"박수건달","2013-01-09","1","1",128,"한국","기타","코미디","15세이상관람가","0",823,0,"0",3893216
"베놈","2018-10-03","10","4",107,"미국","기타","액션","15세이상관람가","1",269,2105,"0",3888096
"조선명탐정 : 사라진 놉의 딸","2015-02-11","2","1",124,"한국","기타","사극","12세이상관람가","1",310,7406,"0",3872015
"역린","2014-04-30","4","2",135,"한국","롯데쇼핑㈜롯데엔터테인먼트","사극","15세이상관람가","0",1281,6255,"1",3849433
"매드 맥스: 분노의 도로","2015-05-14","5","2",120,"미국","워너브러더스 코리아(주)","액션","15세이상관람가","1",255,2005,"0",3842441
"남한산성","2017-10-03","10","4",140,"한국","씨제이이앤엠(주)","사극","15세이상관람가","0",711,8809,"1",3829891
"데드풀 2","2018-05-16","5","2",117,"미국","이십세기폭스코리아(주)","액션","청소년관람불가","1",199,2012,"0",3784602
"암수살인","2018-10-03","10","4",109,"한국","기타","범죄","15세이상관람가","0",329,1474,"0",3772620
"국가부도의 날","2018-11-28","11","4",114,"한국","씨제이이앤엠(주)","드라마","12세이상관람가","0",312,1172,"0",3754983
"미이라","2017-06-06","6","2",110,"미국","유니버설픽쳐스인터내셔널 코리아(유)","액션","15세이상관람가","0",353,6513,"0",3689325
"분노의 질주: 더 익스트림","2017-04-12","4","2",136,"미국","유니버설픽쳐스인터내셔널 코리아(유)","액션","15세이상관람가","1",328,9867,"0",3653238
"너의 이름은.","2017-01-04","1","1",106,"일본","기타","애니메이션","12세이상관람가","0",2372,22244,"1",3637122
"인턴","2015-09-24","9","3",121,"미국","워너브러더스 코리아(주)","코미디","12세이상관람가","0",140,5224,"0",3610642
"라라랜드","2016-12-07","12","4",127,"미국","기타","드라마","12세이상관람가","0",104,2565,"0",3597193
"귀향","2016-02-24","2","1",127,"한국","기타","드라마","15세이상관람가","1",1486,47687,"0",3586523
"리얼 스틸","2011-10-12","10","4",127,"미국","기타","액션","12세이상관람가","0",381,0,"1",3579666
"신의 한 수","2014-07-03","7","3",117,"한국","기타","범죄","청소년관람불가","0",493,2407,"0",3562123
"코코","2018-01-11","1","1",126,"미국","기타","애니메이션","전체관람가","0",509,4467,"0",3510017
"부러진 화살","2012-01-18","1","1",100,"한국","(주)넥스트엔터테인먼트월드(NEW)","드라마","15세이상관람가","0",291,0,"0",3450941
"끝까지 간다","2014-05-29","5","2",110,"한국","기타","액션","15세이상관람가","0",995,1320,"0",3450143
"비긴 어게인","2014-08-13","8","3",103,"미국","기타","멜로","15세이상관람가","0",454,1276,"0",3427464
"스파이","2013-09-05","9","3",121,"한국","씨제이이앤엠(주)","액션","15세이상관람가","0",755,0,"0",3423920
"그것만이 내 세상","2018-01-17","1","1",120,"한국","씨제이이앤엠(주)","코미디","12세이상관람가","0",321,5829,"0",3417629
"이끼","2010-07-14","7","3",163,"한국","기타","드라마","청소년관람불가","0",672,0,"1",3408144
"돈","2019-03-20","3","1",115,"한국","기타","범죄","15세이상관람가","0",171,2278,"1",3389046
"포화속으로","2010-06-16","6","2",120,"한국","롯데쇼핑㈜롯데엔터테인먼트","드라마","12세이상관람가","0",3354,0,"0",3385706
"맨 인 블랙 3","2012-05-24","5","2",106,"미국","기타","액션","12세이상관람가","1",303,0,"0",3379762
"어바웃 타임","2013-12-05","12","4",123,"영국","유니버설픽쳐스인터내셔널 코리아(유)","멜로","15세이상관람가","0",296,0,"0",3375735
"슈퍼배드 3","2017-07-26","7","3",89,"미국","유니버설픽쳐스인터내셔널 코리아(유)","애니메이션","전체관람가","0",182,7863,"0",3324861
"데드풀","2016-02-17","2","1",107,"미국","이십세기폭스코리아(주)","액션","청소년관람불가","1",1377,14601,"0",3317196
"아이 캔 스피크","2017-09-21","9","3",118,"한국","기타","코미디","12세이상관람가","0",456,6377,"0",3280243
"스타워즈: 깨어난 포스","2015-12-17","12","4",135,"미국","기타","액션","12세이상관람가","1",608,14170,"0",3273879
"분노의 질주: 더 세븐","2015-04-01","4","2",137,"미국","유니버설픽쳐스인터내셔널 코리아(유)","액션","15세이상관람가","1",724,7601,"0",3247558
"터미네이터 제니시스","2015-07-02","7","3",125,"미국","롯데쇼핑㈜롯데엔터테인먼트","액션","15세이상관람가","1",1294,28154,"0",3239371
"그래비티","2013-10-17","10","4",90,"미국","기타","SF","12세이상관람가","0",582,0,"0",3227452
"마녀","2018-06-27","6","2",125,"한국","워너브러더스 코리아(주)","미스터리","15세이상관람가","0",79,275,"0",3189091
"탐정: 리턴즈","2018-06-13","6","2",116,"한국","씨제이이앤엠(주)","코미디","15세이상관람가","1",157,760,"0",3148038
"캐리비안의 해적: 낯선 조류","2011-05-19","5","2",137,"미국","기타","액션","12세이상관람가","1",1022,0,"1",3130046
"퀵","2011-07-20","7","3",115,"한국","씨제이이앤엠(주)","코미디","15세이상관람가","0",414,0,"0",3125069
"감기","2013-08-14","8","3",121,"한국","기타","드라마","15세이상관람가","0",2066,0,"0",3119023
"나우 유 씨 미 2","2016-07-13","7","3",129,"미국","롯데쇼핑㈜롯데엔터테인먼트","범죄","12세이상관람가","1",1293,9865,"0",3100113
"하모니","2010-01-28","1","1",115,"한국","기타","드라마","12세이상관람가","0",800,0,"0",3068544
"캐리비안의 해적: 죽은 자는 말이 없다","2017-05-24","5","2",128,"미국","기타","액션","12세이상관람가","1",996,12939,"0",3049894
