TITLE,OPEN_DT,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC,CMT_SCORE
성실한 나라의 앨리스,2015-08-13,8,3,33,89.0,한국,CGV아트하우스,드라마,청소년관람불가,0.0,92.0,1727.0,0.0,43964,0.4075342465753425
혈투,2011-02-24,2,1,8,111.0,한국,(주)싸이더스,액션,15세이상관람가,0.0,61.0,0.0,0.0,43947,0.6259541984732825
범죄의 여왕,2016-08-25,8,3,34,103.0,한국,기타,스릴러,15세이상관람가,0.0,72.0,1047.0,0.0,43823,0.4523809523809524
우리별 일호와 얼룩소,2014-02-20,2,1,8,81.0,한국,기타,애니메이션,전체관람가,0.0,224.0,0.0,0.0,43674,0.3270718232044199
다이노 어드벤처2: 육해공 공룡 대백과,2018-10-09,10,4,41,71.0,영국,기타,애니메이션,전체관람가,,234.0,292.0,0.0,43627,0.3623036649214661
울브스,2014-11-13,11,4,46,90.0,미국,기타,판타지,15세이상관람가,0.0,77.0,438.0,0.0,43613,0.30952380952380953
아일라,2018-06-21,6,2,25,123.0,기타,기타,드라마,15세이상관람가,,28.0,269.0,0.0,43612,0.27522935779816515
약장수,2015-04-23,4,2,17,104.0,한국,기타,드라마,15세이상관람가,0.0,178.0,1262.0,0.0,43562,0.4216027874564461
하이큐!! 재능과 센스,2017-11-15,11,4,46,89.0,일본,기타,애니메이션,12세이상관람가,,45.0,1225.0,0.0,43221,0.2352941176470588
고백,2011-03-31,3,1,13,106.0,일본,기타,드라마,청소년관람불가,0.0,96.0,0.0,1.0,43127,0.4516129032258064
꼬마돼지 베이브의 대모험,2017-06-15,6,2,24,79.0,독일,기타,애니메이션,전체관람가,,31.0,104.0,0.0,42879,0.4761904761904762
스페이스 독,2012-03-22,3,1,12,85.0,러시아,기타,애니메이션,전체관람가,,2.0,0.0,0.0,42720,-0.3333333333333333
호스트,2013-04-04,4,2,14,125.0,미국,(주)넥스트엔터테인먼트월드(NEW),SF,15세이상관람가,,146.0,0.0,0.0,42708,0.4539473684210527
로마,2018-12-12,12,4,50,134.0,기타,판씨네마(주),드라마,15세이상관람가,0.0,11.0,76.0,0.0,42570,0.29411764705882354
쿠르스크,2019-01-16,1,1,3,117.0,벨기에,(주)제이앤씨미디어그룹,드라마,15세이상관람가,0.0,41.0,342.0,0.0,42484,0.42424242424242425
페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,2017-11-16,11,4,46,121.0,일본,기타,애니메이션,15세이상관람가,1.0,50.0,413.0,0.0,42413,-0.050925925925925916
그레이트 뷰티,2014-06-12,6,2,24,140.0,이탈리아,기타,드라마,청소년관람불가,,59.0,237.0,0.0,42274,0.4176470588235294
스탠리의 도시락,2012-03-08,3,1,10,95.0,인도,기타,드라마,전체관람가,,19.0,0.0,0.0,42210,0.4324324324324325
피케이: 별에서 온 얼간이,2015-09-03,9,3,36,129.0,인도,(주)와우픽쳐스,코미디,15세이상관람가,0.0,227.0,1687.0,0.0,42088,0.43354943273906
천국에 다녀온 소년,2014-06-12,6,2,24,99.0,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),드라마,전체관람가,0.0,37.0,870.0,1.0,41957,0.3145161290322581
일일시호일,2019-01-17,1,1,3,99.0,일본,기타,드라마,12세이상관람가,0.0,9.0,86.0,1.0,41458,0.3387096774193548
스푹스:MI5,2016-03-17,3,1,11,104.0,영국,기타,액션,15세이상관람가,0.0,108.0,169.0,0.0,41416,0.34539473684210525
나쁜 이웃들,2014-07-03,7,3,27,96.0,미국,유니버설픽쳐스인터내셔널 코리아(유),코미디,청소년관람불가,,47.0,508.0,0.0,41301,0.4
칠곡 가시나들,2019-02-27,2,1,9,99.0,한국,기타,다큐멘터리,전체관람가,0.0,35.0,195.0,0.0,41296,0.5806451612903226
스니치,2013-05-09,5,2,19,111.0,미국,기타,액션,15세이상관람가,,30.0,0.0,0.0,41242,0.3333333333333333
진짜로 일어날지도 몰라 기적,2011-12-22,12,4,51,128.0,일본,기타,드라마,전체관람가,,13.0,0.0,0.0,41172,0.3684210526315789
배반의 장미,2018-10-18,10,4,42,98.0,한국,롯데컬처웍스(주)롯데엔터테인먼트,코미디,15세이상관람가,0.0,143.0,115.0,0.0,41054,0.4121863799283154
극장판 뽀잉: 슈퍼 변신의 비밀,2018-09-20,9,3,38,72.0,한국,기타,애니메이션,전체관람가,0.0,248.0,242.0,0.0,41054,0.4665391969407266
레이디버그,2017-02-22,2,1,8,80.0,한국,기타,애니메이션,전체관람가,,140.0,1912.0,0.0,41041,0.2431761786600496
잔예 - 살아서는 안되는 방,2016-07-07,7,3,27,100.0,일본,(주)넥스트엔터테인먼트월드(NEW),공포,15세이상관람가,,173.0,829.0,1.0,41023,0.2741020793950851
더 포리너,2018-02-07,2,1,6,113.0,영국,기타,액션,15세이상관람가,,175.0,525.0,0.0,40882,0.3087248322147651
하트 브레이커,2012-04-19,4,2,16,104.0,프랑스,씨너스엔터테인먼트(주),코미디,15세이상관람가,,18.0,0.0,0.0,40793,0.5
세인트 클라우드,2011-01-13,1,1,2,99.0,미국,유니버설픽쳐스인터내셔널 코리아(유),멜로,12세이상관람가,,76.0,0.0,0.0,40766,0.39814814814814814
예감은 틀리지 않는다,2017-08-10,8,3,32,108.0,영국,CGV아트하우스,드라마,15세이상관람가,0.0,23.0,423.0,1.0,40750,0.3723404255319149
마오의 라스트 댄서,2011-04-28,4,2,17,107.0,호주,기타,드라마,전체관람가,,91.0,0.0,0.0,40519,0.5931372549019608
데모닉,2015-06-25,6,2,26,83.0,미국,(주)와우픽쳐스,공포,15세이상관람가,,328.0,1751.0,0.0,40519,0.2270168855534709
유고와 라라: 하늘고래와 구름섬 대모험,2015-04-09,4,2,15,79.0,중국,기타,애니메이션,전체관람가,,9.0,54.0,0.0,40374,0.2368421052631579
코블러,2015-04-08,4,2,15,96.0,미국,씨네그루(주)다우기술,판타지,15세이상관람가,0.0,275.0,667.0,0.0,40366,0.4256926952141058
더 와이프,2019-02-27,2,1,9,100.0,영국,기타,드라마,15세이상관람가,0.0,9.0,75.0,0.0,40222,0.4545454545454545
이모티: 더 무비,2017-08-02,8,3,31,91.0,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,애니메이션,전체관람가,,100.0,405.0,0.0,40221,0.4142857142857143
"웰컴, 삼바",2015-02-18,2,1,8,118.0,프랑스,기타,코미디,15세이상관람가,,39.0,685.0,1.0,40214,0.5285714285714286
