영화제목,개봉일,키워드,수상내역
소권괴초2 - 용등호약,2015-10-08,"고수,무림,복수,형제,시리즈,속편",
소규모 아카시아 밴드 이야기,2010-01-14,"보컬,음악,인디밴드,인터뷰,홍대,다큐드라마",전주국제영화제(2009) : JJ-ST★R상 특별언급 - 민환기|- 2009년도 전주국제영화제(제10회) JJ-스타상- 특별언급 수상
소꿉놀이,2016-02-25,"혼전임신,육아,결혼",인디포럼(2015) : 올해의 관객상 - 김수빈|정동진독립영화제(2015) : 땡그랑동전상 -|제주영화제(2015) : 심사위원특별상 - 김수빈
소나기,2017-08-31,,서울국제만화애니메이션페스티벌(2018) : 장편 - 심사위원 특별상 - 안재훈
소녀,2013-11-07,"사랑,살인사건,상처,소녀,소문,외로움,호수,시골",황금촬영상 시상식(2014) : 신인여우상 -
소녀 K,2011-08-27,,
"소녀, 하늘을 날다!",2018-09-06,"인력비행,동아리,콘테스트,선후배,여대생,청춘영화,청춘남녀,청춘로맨스",
소녀괴담,2014-07-03,"귀신,소녀귀신,실종,우정,마스크",부천국제판타스틱영화제(2014) : 유럽판타스틱영화제연맹(EFFFF) 아시아 영화상 - 오인천
소녀괴담 : 17살 여고생의 악몽,2015-07-16,,
소녀리오의 욕망,2014-06-26,,
소녀와 여자,2016-06-16,"소녀,성인식,할례",
소녀의 세계,2018-11-29,"사춘기소녀,옛추억,첫사랑,여자친구,10대소녀,연극반",
소녀의 음란한 밀회,2014-05-01,,
소년,2017-11-09,,전주국제영화제(2015) : CGV아트하우스 - 창작지원상 - 김현승
소년 KJ,2011-06-16,"피아니스트,홍콩,신동,소년,천재",
소년 파르티잔,2016-03-10,,선댄스영화제(2015) : 촬영상(월드시네마드라마) - Germain McMicking
"소년, 소녀 그리고 바다",2014-10-09,"섬,여름,죽음,친구,시체,바다",
소년들,2016-08-18,,
소드 마스터: 절대강호의 죽음,2017-06-01,,
소라닌,2010-08-26,"밴드,오토바이,연애,꿈",
소리굽쇠,2014-10-30,,
소림 셔틀콕,2015-09-24,,
소림강시 2012,2011-08-10,"강시,원혼,환생,요괴,봉인",
소림사 18동인,2014-11-06,"명나라,암살,수련,비급,강호",
소림사 18동인 2,2015-07-09,,
소림사 2017: 7인의 고수,2017-12-07,,
소림사 강호영패,2015-03-05,"청나라,아편,밀수,의사,황비홍",
소림사 무림쟁패,2017-05-04,,
소림사 무림제자,2017-07-25,,
소림사-인자무적,2014-09-03,,
소명 2: 모겐족의 월드컵,2010-04-01,"축구,선교,원주민,공",
소명 3 - 히말라야의 슈바이처,2011-04-07,"부부,의사,할아버지,히말라야,오지,세브란스,의료선교,무의촌",
소명 하늘의 별,2013-03-21,"마닐라,선교사,쓰레기,필리핀,분향소,기독교",
"소설, 영화와 만나다",2013-11-21,"소설원작,옴니버스영화",
소성리,2018-08-16,"사드,소성리,산골마을,이상한물체,전쟁무기",서울환경영화제(2018) : 한국환경영화상-우수상 - 박배일|부산국제영화제(2017) : 비프메세나상 - 박배일|서울독립영화제(2017) : 독불장군상 - 박배일
소셜 네트워크,2010-11-18,"실화바탕,실화바탕바탕,실화바탕바탕,실화바탕바탕,실화바탕바탕,하버드,페이스북,창립자,SNS,Facebook,마크주커버그,실존인물","전미비평가협회상(2011) : 작품상 - 신 샤핀|전미비평가협회상(2011) : 각본상 - 아론 소킨|전미비평가협회상(2011) : 감독상 - 데이비드 핀처|전미비평가협회상(2011) : 남우주연상 - 제스 아이슨버그|뉴욕비평가협회상(2010) : 작품상 -|뉴욕비평가협회상(2010) : 감독상 - 데이비드 핀처|LA비평가협회상(2010) : 작품상 - 데이비드 핀처|LA비평가협회상(2010) : 감독상 - 데이비드 핀처|LA비평가협회상(2010) : 각본상 - 아론 소킨|LA비평가협회상(2010) : 음악상 - 트렌트 레즈너, 아티쿠스 로스|골든글로브 시상식(2011) : 작품상(드라마) -|골든글로브 시상식(2011) : 감독상 - 데이비드 핀처|골든글로브 시상식(2011) : 각본상 - 아론 소킨|골든글로브 시상식(2011) : 작곡상 - 트렌트 레즈너|아카데미 시상식(2011) : 음악상 - 트렌트 레즈너, 아티쿠스 로스|아카데미 시상식(2011) : 각색상 - 아론 소킨|아카데미 시상식(2011) : 편집상 - 엥거스 월, 커크 박스터|로저 이버트 Roger Ebert TOP 10(2010) : 1 -"
소셜포비아,2015-03-12,"마녀사냥,SNS,온라인,악플,생중계,죽음",부산국제영화제(2014) : 감독조합상 - 홍석재|부산국제영화제(2014) : 넷팩(아시아영화진흥기구)상 - 홍석재|서울독립영화제(2014) : 독립스타상 - 변요한|서울독립영화제(2014) : 관객상 - 홍석재|춘사영화제(2016) : 신인감독상 - 홍석재|시네마테크KOFA가 주목한 한국영화(2016) : 선정작 - 홍석재|부일영화상(2015) : 신인남자 연기상 - 변요한|부일영화상(2015) : 신인감독상 - 홍석재|올해의 영화상(2016) : 신인남우상 - 변요한|들꽃영화상(2016) : 극영화 신인감독상 - 홍석재
소수의견,2015-06-24,"권력,변호사,사건은폐,살인자,진실,과잉진압,의경,경찰,국선변호사,국민참여재판,국가배상청구소송,철거민,강제철거,법정,재판","백상예술대상(2016) : 영화 남자 조연상 - 이경영|청룡영화상(2015) : 각본상 - 김성제, 손아람|부일영화상(2015) : 각본상 - 김성제, 손아람|부일영화상(2015) : 남우 조연상 - 이경영"
소스 코드,2011-05-04,"가상공간,가상현실,기차,열차폭발,캡슐,폭탄테러,이라크전쟁,컴퓨터프로그램,가상세계,시간여행",
소시민,2017-01-12,,
소와 함께 여행하는 법,2010-11-04,"농사,농촌,소,여행,옛애인,옛연인,용서,장례식,추억,옛추억,소설원작",
소울 오브 브레드,2013-12-26,"대만,빵집,청혼,제빵사",
소울 키친,2011-02-17,"레스토랑,부동산,부엌,상하이,요리사,함부르크,체납,위생국,허리부상,음식",
소울리스,2014-01-16,"보육원,금융계,상류사회,해고,자수성가",
소울리스2,2015-10-29,,
소원,2013-10-02,"가족,감동,실화바탕,실화바탕,희망,아동성폭행,아동성폭력","백상예술대상(2014) : 영화 시나리오상 - 김지혜, 조중훈|백상예술대상(2014) : 영화 남자최우수연기상 - 설경구|청룡영화상(2013) : 최우수 작품상 - 이준익|청룡영화상(2013) : 인기스타상 - 설경구|청룡영화상(2013) : 여우조연상 - 라미란|청룡영화상(2013) : 각본상 - 조중훈, 김지혜|한국영화평론가협회상 (영평상)(2013) : 여자연기상 - 엄지원|올해의 영화상(2014) : 여우조연상 -"
소은이의 무릎,2019-05-30,"소도시,고딩,농구,재능,꿈과현실,친구 도움,친구관계",
소중한 날의 꿈,2011-06-23,"꿈,달리기,두려움,라디오,레코드가게,비행,육상,육상부,육상선수,전학생,성장영화","서울국제만화애니메이션페스티벌(2011) : 심사위원 특별상(장편) - 안재훈, 한혜진"
소중한 사람,2011-09-21,"노년,건망증,가족,상처,희망",
소통과 거짓말,2017-11-09,,부산국제영화제(2015) : 넷팻(아시아영화진흥기구)상 - 이승원|춘사영화제(2018) : 여우조연상 - 김선영
소프트 보이즈,2012-07-12,"소프트볼,전국대회,소년,초보",
속닥속닥,2018-07-13,"수능,수험생,고교생,고등학생,귀신의집,놀이동산,놀이공원,폐건물,소문",
손님,2015-07-09,,
손님1 첫번째 이야기,2011-11-17,"남편,빈집,인질,괴한,이웃집,낯선사내,낯선사람,과거,진실,손님",
손오공: 돌원숭이의 탄생,2012-09-13,"원숭이,손오공,삼장법사",
손오공: 색즉시공,2019-01-17,"무협판타지,손오공,요괴",
솔로,2014-03-20,"탈출,섬,여름방학,무인도,캠프",
솔로몬 케인,2010-03-25,소설원작,
솔로몬의 위증 전편: 사건,2015-08-27,,
솔로몬의 위증 후편: 재판,2015-09-03,,
솔리스,2019-05-10,"인간생존,폭발사고,우주탐사,생존자",
솔트,2010-07-29,,
송 투 송,2017-07-26,수영장,
송곳니,2012-01-05,"가족,저택,침입자,송곳니,남매,아버지",칸국제영화제(2009) : 대상(주목할만한시선) - 지오르고스 란디모스(Giorgos Lanthimos)|시체스 국제판타스틱 영화제(2009) : Carnet Jove 부문 판타스틱상 - 지오르고스 란디모스|시체스 국제판타스틱 영화제(2009) : 시민케인상(신인감독상) - 지오르고스 란디모스
송원,2015-04-02,,
송포유,2013-04-18,"시한부,합창,대회,미션,시련",
쇠파리,2017-05-25,"다단계,피의자,거짓죽음,추적,베트남",
쇼를 사랑한 남자,2013-10-09,"갈등,무대,불안,쇼,엔터테이너,외로움,피아니스트,LGBT","골든글로브 시상식(2014) : 작품상(TV미니시리즈,TV영화) -|골든글로브 시상식(2014) : 남우주연상(TV미니시리즈,TV영화) - 마이클 더글라스|미국배우조합상(2014) : TV영화/미니시리즈부문 남자연기상 - 마이클 더글라스"
쇼생크 탈출,2016-02-24,"강간,교도소,뇌물,누명,법정,복수,성경,소설원작,우정,탈옥,해변,미국소설원작,스티븐킹",KINO 베스트10(1996) : 키노독자 1995년 외국영화 베스트 6 -
쇼콜라,2017-03-09,,제임스 티에레 (남우조연상)     제레미 뒤시어 (미술상)
쇼크 웨이브,2017-11-23,,
쇼킹 오브 데스,2015-11-19,,
쇼킹잡 - 원스 어폰 어 포르노,2014-02-06,"포르노,영화촬영,인터뷰,에피소드,다큐멘터리형식",
쇼킹재팬: 색의 나라,2012-12-20,"AV,포르노,영화제작,야쿠자",
쇼트피스,2014-04-17,"옴니버스영화,애니메이션,스타일,전통",
숀더쉽,2015-08-13,,
숏컷,2012-12-13,"지름길,이사,실종,숲속",
숏텀 12,2015-07-02,,로카르노국제영화제(2013) : 여우주연상 - 브리 라슨|로카르노국제영화제(2013) : International Competition - 디스틴 크리튼|로카르노국제영화제(2013) : Prize of the Ecumenical Jury - 디스틴 크리튼|로카르노국제영화제(2013) : 국제경쟁(특별언급) - 디스틴 크리튼
수라의 길,2015-04-30,,
수라의 전승,2015-01-29,,
수면의 과학,2017-01-11,,시체스 국제판타스틱 영화제(2006) : 관객상 - 미셸 공드리
수목장,2012-11-15,"고등학교,나무,악몽,졸업앨범,여고생,여학생,망자,남학생,고등학생,치료",
수부라 게이트,2017-09-07,,
수상한 가족,2013-08-28,"가족,진실,학교,완벽,가짜행세",
수상한 고객들,2011-04-14,"계약,과부,기러기아빠,야구선수,자살,소녀가장,보험왕,고객,보험사기,보험설계사,보험회사,생명보험,가족애,가족",
수상한 그녀,2014-01-22,"시간이동,할머니,사진,사진관,스무살,전성기","백상예술대상(2014) : 영화 여자최우수연기상 - 심은경|대종상 영화제(2014) : 음악상 - 모그|춘사영화제(2014) : 각본상 - 신동익, 홍윤정, 동희선|춘사영화제(2014) : 여우주연상 - 심은경|부일영화상(2014) : 여우주연상 - 심은경|한국영화제작가협회상(2014) : 여우주연상 - 심은경|2014년도 일본 오키나와 국제영화제 평화(Peace)부문 수상"
수상한 이웃들,2011-04-14,"사법고시,일주일,취재기자,특종,편집장,동네신문,고발기사,옴니버스영화,이웃,사기,오해,웬수,에피소드",제15회 부산국제영화제(2010) 파노라마 부문 초청
수색역,2016-03-31,"수색역,수색동,2002한일월드컵,재개발,친구,우정,흔들림",2012년  한국영화시나리오마켓  우수상 수상작
수성못,2018-04-19,"대학생활,서울상경,실종사건,흔들리는삶,흔들리는청춘",
수어사이드 스쿼드,2016-08-03,,아카데미 시상식(2017) : 분장상 - 크리스토퍼 알렌 넬슨
수영장,2011-03-31,"태국,수영장,게스트하우스,모녀지간,시한부인생,화해,동거",
수춘도,2015-03-26,,
수춘도 2: 수라전장,2017-11-23,,
수호지 - 강철 보갑,2014-04-10,,
수호지 - 강호의 장청,2014-04-17,,
수호지 - 귀족영웅노준의,2014-08-06,,
수호지 - 명포영웅 호연작,2014-07-30,,
수호지 - 무사조씨,2013-11-07,"감옥,원수,전쟁,계략",
수호지 - 불사영웅 석수,2013-10-31,,
수호지 - 신비술사,2013-12-18,"부패,무협,진상품",
수호지 - 영웅천하 손립,2013-11-13,,
수호지 - 의적유당,2013-11-20,"진상품,조정,형제",
수호지 - 천하대인,2014-05-08,,
수호지 가면영웅 - 귀두,2013-01-31,"탐욕,서민,잠입,가면,밀서,창고",
수호지-명포 배선,2014-05-01,"백성,음모,계략,누명",
숙희,2014-07-10,"이성,욕망,간병인,치료,금욕주의,본능",
순교,2015-08-13,"순교,목사,가족사,희생",
순수의 시대,2015-03-05,"조선초기,고려말기,개국,복수,기녀",
순응자,2016-01-28,"아동학대,암살,파시스트,학대,롱테이크",
순정,2016-02-24,"섬마을,여름방학,라디오DJ,편지,첫사랑,우정,소설원작,한국소설원작,단편소설원작",백상예술대상(2016) : 영화 남자 인기상 - 디오
순종,2016-11-17,"우간다,레바논,내전,전쟁트라우마,상처,위로",
순천(順天),2014-09-25,"순천,바다,어부,일상,삶의일상",2014 포큐스꼬레영화제 그랑프리 수상
술에 대하여,2011-09-01,"술,사람,50년,청춘,노동,폭탄주,예술가",
술이 깨면 집에가자,2012-07-12,"가족,소설원작,알코올중독,카메라맨,술",
술탄,2017-01-19,,
숨,2011-09-01,"사랑,성폭력,인권,임신,장애인,복지시설,목사,성폭행,피해자",시네마디지털서울 영화제(2010) : 버터플라이상 - 함경록|장애인영화제(2011) : 금상 - 함경록
숨바꼭질,2019-04-25,"아파트,멜로디,이웃,실종,전직경찰,숨바꼭질,아파트관리인",
숨바꼭질,2013-08-14,"가족,강박,숨바꼭질,아파트,암호,행방불명,형,강박증,도시괴담",황금촬영상 시상식(2014) : 심사위원특별여우상 -|황금촬영상 시상식(2014) : 최우수여우조연상 -|한국영화평론가협회상 (영평상)(2013) : 신인감독상 - 허정
숨바꼭질: 어둠의 속삭임,2017-07-20,,
숨쉬는 상어 쥴리의 육지 대모험,2011-09-08,"상어,단짝,동생,납치,육지,로봇",
숫호구,2014-08-07,"백수,생체실험,정체불명,숫총각,아바타",부천국제판타스틱영화제(2012) : 후지필름 이터나상 - 백승기
숲속왕국의 꿀벌 여왕,2019-03-14,"베스트셀러작가,동화작가,꿀벌,모험,곤충캐릭터,특별한여정",
숲속으로,2014-12-24,,
숲의 전설,2014-07-24,"북유럽,숲,야생,야생동물,동식물,원시림,대자연",
쉐어 더 비전,2011-09-03,"꿈,꿈과현실,방황,비전,사업,성공,우정,컨설턴트,오래된연인,멘토,4D",
쉐프,2013-05-30,"꿈,레스토랑,요리,주방장,과정,음식",
쉬: 그녀의비밀,2014-01-09,"학교,교사,연인,동거,집착",
쉬즈 더 원,2010-07-15,,
쉿! 오늘부터 거기만 남자!,2019-03-07,"남편의외도,몸의 변화,해프닝",
슈가박스,2013-03-14,"감옥,리포터,잠입,여자교도소",
슈렉 포에버,2010-07-01,"고양이,시리즈,속편",
슈퍼 밥,2016-08-11,,
슈퍼 버드,2017-04-06,,
슈퍼 빼꼼: 스파이 대작전,2017-05-03,"지구,위협,지구위협,스파이,미션",
슈퍼 사이클론 스톰,2014-08-27,,
슈퍼 샤크,2015-09-03,,
슈퍼 스파이: 수상한 임무,2015-10-15,,
슈퍼 에이트,2011-06-16,"목격,열차사고,정체불명,1979년,8mm카메라,십대모험",
슈퍼 프렌즈,2016-08-10,"사고뭉치,미래도시,로봇,도시파괴,구출작전",
슈퍼내츄럴 액티비티,2015-02-05,,
슈퍼노바 지구 탈출기,2014-02-13,"애니메이션,외계인,우주비행사,지구,피부,3D애니메이션",
슈퍼레이서 엔지,2015-09-10,,
슈퍼미니,2014-04-10,"무당벌레,숲,숲속,모험,개미,전쟁",
슈퍼미니2,2019-02-27,"무당벌레,아빠와아들,모험,곤충세계,곤충캐릭터,숲속,구출작전",
슈퍼배드,2010-09-16,,
슈퍼배드 2,2013-09-12,,
슈퍼배드 3,2017-07-26,,
슈퍼소닉,2016-11-24,,
슈퍼쇼3 3D,2011-02-24,"아이돌,댄스그룹,공연실황",
슈퍼쇼4 3D,2013-08-08,"3D,콘서트,공연실황, 슈퍼주니어,댄스그룹",
슈퍼스타,2012-06-07,"감독지망생,단역,부산국제영화제,여행,영화를다룬영화",
슈퍼스타,2013-08-01,"슈퍼스타,토크쇼,미디어,군중심리",
슈퍼스톰,2014-05-15,,
슈퍼오리: 태양을 지켜라,2017-08-31,,
슈퍼윙스 3D,2013-08-14,"비행기,챔피언,에어쇼,대회,훈련",
슈퍼의 여인,2010-09-23,"슈퍼마켓,주부",
슈퍼처방전,2014-12-10,"결벽증,캠프,오해,바뀜,가짜행세",
슈퍼피쉬 - 끝없는 여정,2013-07-11,"3D,3차원,다큐멘터리,물고기,비린내,역사,TV다큐멘터리원작,3D영화",
슈퍼히어로,2013-07-30,"동화,유럽,악당,혼돈,슈퍼히어로",
슈퍼히어로 어벤져,2015-11-12,,
슈퍼히어로의 진실,2014-04-10,"영웅,진실,폭로,어벤져,약물",
스나이퍼,2018-03-15,"사격선수,암살,의뢰,킬러",
스나이퍼 머시너리,2011-12-08,"특수부대,발칸반도,반란,수배자",
스네이크 앤 이어링,2011-12-01,"문신,동거,피어싱,뱀",
스노든,2017-02-09,,
스노우 아마겟돈,2015-07-30,,
스노우 화이트 앤 더 헌츠맨,2012-05-30,"왕비,백설공주,사냥꾼,빛과어둠",
스노우맨,2017-12-14,,
스노우타임,2016-12-15,,
스누피: 더 피너츠 무비,2015-12-24,,
스니치,2013-05-09,"누명,아들,거래,아버지",
스니치 : 마약과의 전쟁,2015-06-25,,
스롤란 마이러브,2012-02-09,"캄보디아,여행,독일인,매춘부,실화바탕",로카르노국제영화제(2009) : Variety Piazza Grande Award - 데틀레프 부크|로카르노국제영화제(2009) : 버라이어티 피아자 - 데틀레프 부크
스마일리,2014-06-19,"인터넷,괴담,살인게임,죽음,친구의죽음",
스마트 체이스,2019-04-18,"케이퍼무비,보안요원,호송,강도단,범죄조직,범죄조직소탕,복수극",
스마트폰을 떨어뜨렸을 뿐인데,2019-04-04,"스마트폰,연쇄살인범,납치,베스트셀러원작,과거의 비밀,여자의과거,개인정보,해킹,파국",
스머프: 비밀의 숲,2017-04-28,,
스몰풋,2019-04-25,"설인,빅풋,새로운 세계,친구,인간,미지의존재,동화원작,신화,히말라야",
스무살의 정사,2011-11-03,"동거,욕망,질투,내숭,스무살,가식,섹스,바닷가,바다",
스무살의 침대,2011-11-10,"아버지의부재,실연,런던,부동산업자,창고,연애,함정",
스물,2015-03-25,"우정,사랑,스무살,세친구,청춘",황금촬영상 시상식(2015) : 신인남우상 - 강하늘|춘사영화제(2016) : 신인남우상 - 강하늘
스물 아홉살,2011-03-07,"29,물질만능,사랑,연애,청년실업,청년,청춘,취업,취업난,취업전쟁,취업준비생,현실,오래된연인,오랜연인,연인,아웃사이더",
스시 장인: 지로의 꿈,2012-09-27,"스시,긴자,미슐랭가이드,레스토랑",
스시걸,2013-11-13,"복수,만찬,동료,출소",
스와핑 클럽,2013-08-22,"이웃,여자들,요리,파티",
스와핑: 친구의 아내,2016-11-15,"남자,가정주부,이웃집,부부,욕망",
스위니,2014-04-17,"영국,TV시리즈원작,특수수사대,경찰,음모",
스위밍 위드 맨,2018-10-25,"중년문제,중년의위기,싱크로나이즈,인생의전환점,인생2막",
스위치: 부춘산거도,2014-01-29,"박물관,도난,고대 명화,경찰",
스위트 알리바이,2015-09-24,,
스위트 카르마,2013-08-01,"복수,스트리퍼,언니,캐나다,반전",
스위트 홈,2016-05-12,,
스윗 프랑세즈,2015-12-03,,
스윙 보트,2012-08-23,"대통령선거,싱글대디,캠페인,재투표,선거,대선,대선캠프,선거운동,투표",
스윙키즈,2018-12-19,"6.25,전쟁포로,북한군,북한군포로,거제포로수용소,탭댄스",백상예술대상(2019) : 영화 감독상 - 강형철
스즈미야 하루히의 소실,2010-11-04,"독감,전학,소실",
스카이 라인: 더 비욘드,2019-04-25,,
스카이 크롤러,2010-10-28,"파일럿,소년,어른,전투",시체스 국제판타스틱 영화제(2008) : 음악상 - 카와이 켄지|시체스 국제판타스틱 영화제(2008) : Jose Luis Guarner 비평가상 - 오시이 마모루|시체스 국제판타스틱 영화제(2008) : Carnet Jove 부문 판타스틱상 - 오시이 마모루
스카이 포스 3D,2013-02-28,"구조대원,비행기,임무수행",
스카이 헌터,2018-09-03,"공군조종사,특수대원,공중전투,테러집단,테러진압부대",
스카이라인,2010-11-24,"LA,외계인,함선,인간사냥,생존자",
스카이라인 2,2018-12-06,"외계인침공,지구침략,지구수호",
스카이모퍼-외계로봇의 침공,2010-12-23,"UFO,뉴멕시코,외계인,잠입",
스카이바운드,2018-11-22,"핵폭탄,탈출,재난영화",
스카이스크래퍼,2018-07-11,"고층빌딩,화재,FBI요원,재난영화,테러집단,전직요원,총격전,자기희생,가족의사랑",
스캔들,2016-12-13,,
스캔들 2,2017-03-08,"실검1위,실시간 검색어,슈퍼스타,방송,갈등,팟캐스트방송",
스케치,2014-03-27,"화가,화랑,예술가,상처,초능력",
스코어: 영화음악의 모든 것,2017-10-19,,
스콘드: 잔혹 불륜사,2013-11-14,"불륜,결혼생활,복수,비밀",
스콜피온 인 러브,2014-03-20,,
스콧 필그림,2011-06-04,"토론토,록밴드,이상형,데이트,결투,전남자친구",
스쿨 오브 락,2017-11-29,"학교, 교사, 락밴드, 뉴욕",
스퀴시랜드,2014-06-04,"모험,환상,악당,친구들,변신,한미합작영화",
스퀴즈,2016-11-10,"골프,도박,라스베가스,협박",
스크림 4G,2011-06-09,"게임,고향,연쇄살인마,작가,전화,속편,시리즈",
스크림 오브 더 밴쉬,2011-12-15,"봉인,전설,교수,갑옷,미이라,환청",
스키타이: 불멸의 전사,2018-09-20,"전사,위험한여정,가족찾기,납치된아내,음모",
스킨 트레이드,2015-08-20,,
스킬스,2011-06-04,"경찰,불법,게임,복수",
스킵트레이스: 합동수사,2016-08-31,"홍콩경찰,범죄조직",
스타: 빛나는 사랑,2012-10-11,"가수,공연,스캔들,스타,연예계,연예인,콘서트,톱스타,패션디자인,슈퍼스타",
스타드 업,2015-11-19,,
스타렛,2014-02-20,,로카르노국제영화제(2012) : Junior Jury-International Competition - 션 베이커
스타로부터 스무 발자국,2014-05-15,"백업가수,무대,하모니,다큐멘터리",아카데미 시상식(2014) : 장편다큐멘터리상 - 모건 내쉬빌|암스테르담 국제다큐멘터리영화제(2013) : 음악 다큐멘터리상 - 모건 내쉬빌
스타박'스 다방,2018-01-11,"커피,커피숍,바리스타,고시생,사법고시,부모반대,시골마을",
스타빙 게임,2014-11-20,,
스타쉽 라이징,2014-12-24,,
스타워즈 에피소드 1 : 보이지 않는 위험,2012-02-09,"로봇,블록버스터,사막,시리즈,여왕,외계인,우주,우주선,전사,제국,프리퀄,속편",KINO 베스트10(2000) : 키노독자 1999년 외국영화 베스트 9 -
스타워즈: 깨어난 포스,2015-12-17,,
스타워즈: 라스트 제다이,2017-12-14,,
스타이즈본,2018-10-09,"빗나간사랑,엇갈린 사랑,스타와의사랑,무명가수,팝스타,뮤직드라마,뮤지컬영화",골든글로브 시상식(2019) : 주제가상 - Shallow|아카데미 시상식(2019) : 주제가상 - Shallow
스타트렉 다크니스,2013-05-29,"TV시리즈원작,미국TV드라마원작,시리즈,우주선",
스타트렉 비욘드,2016-08-17,,
스탈린 그라드,2014-01-23,"반전, 제제2차세계대전, 독일군, 러시아",
스탈린이 죽었다!,2019-04-18,"소련,독재자,뇌졸증,스탈린,권력싸움,절대권력,암투,장례식,권력쟁취,정치가,블랙코미디","전미비평가협회상(2019) : 각본상 - 아만도 이아누치, 데이비드 슈나이더, 파비앙 누리|제 31회 유럽영화상  유러피안 코메디상 (아만도 이아누치) 수상"
스탠드업,2014-06-19,,
스탠리의 도시락,2012-03-08,"식탐 ,대마왕,도시락,선생님,점심시간",
"스탠바이, 웬디",2018-05-30,"자폐증,여성장애인,스타트렉,시나리오작가,시나리오공모당선작,특별한여정",
스턱 인 러브,2014-02-20,"가족,소설가,이혼,화해,로맨스",
스테레오,2014-10-30,,
스테이션 7,2017-12-07,,
스테이크 랜드,2012-08-09,"뱀파이어,에덴,좀비,광신도",토론토국제영화제(2010) : 미드나잇 매드니스 관객상 - 짐 미클
스텝 바이 스텝,2018-10-11,"전신마비,장애인,인간군상,삶과 현실,불의의사고,재활센터,장애극복",
스텝 업 : 올 인,2014-09-03,"댄스,댄스배틀,라스베가스",
스텝 업4 : 레볼루션,2012-08-15,"대기업후계자,댄서,댄스배틀,마이애미,시리즈,속편",
스텝업3D,2010-08-05,"뉴욕,속편,시리즈",
스텝업: 하트비트,2018-07-12,"댄스경연대회,꿈과현실,인도,그녀의 사랑",
스토커,2013-02-28,"삼촌,아버지의죽음,조카",
스톡홀름의 마지막 연인,2017-12-21,,
스톤,2011-10-06,"가석방,퇴직,심사,면담,유혹,비밀",
스톤,2014-06-12,"바둑,보스,아마추어,우정,조폭,폭력조직,바둑기사,조직폭력배",
스톤월,2018-08-30,"동성애자,경찰폭력,사회적편견",
스톨른,2013-08-01,"강도,추격,출감,납치",
스톰 둠스데이,2014-10-01,,
스톰 인사이드,2017-05-11,,
스톰: 위대한 여정,2017-10-26,,
스톱,2016-12-08,"후쿠시마,방사능오염,원전사고,임신",
스튜던트,2017-09-07,,
스튜던트,2012-12-20,"돈키호테,몽상가,대학신입생,멘토",로카르노국제영화제(2011) : Special Jury Prize - Filmmakers of the Present - 사티아고 미트레
스튜던트 서비스,2014-06-19,"학비,생활비,생활고,매춘,생계,소설원작,실화바탕",
스트라튼,2017-09-21,,
스트럭 바이 라이트닝,2013-12-05,"마을,성공,이혼,따돌림,잡지",
스트레스를 부르는 그 이름 직장상사,2011-11-17,"낙하산,망나니,변태,직장상사,생트집,짜증나는상사",
스트레이트 아웃 오브 컴턴,2015-09-10,,
스트레인저 인사이드,2013-09-26,"괴한,납치,폭행,여배우,요양,환영,음모",
스트레인저랜드,2015-08-06,,
스트롱홀드: 최후의 전사,,"마법왕국,마법소년,천년,타임워프",
스트리트 댄스,2010-06-16,"댄스경연대회,도전,발레,춤,힙합,댄스대회,댄스배틀",
스트리트 댄스 2: 라틴배틀,2012-07-12,"댄스,춤,댄스배틀,댄스대회,댄스경연대회",
스트리트 워,2010-04-28,"비밀경찰,마약,음모,약물",
스트리트 파이터: 춘리의 전설,2011-08-18,"격투경기,스트리트파이터,홍콩,사업가,납치",
스트릿 오브 블러드,2013-09-12,"형사,FBI,살해,첩자",
스티브 잡스,2016-01-21,실존인물,LA비평가협회상(2015) : 남우주연상 - 마이클 파스벤더|골든글로브 시상식(2016) : 여우조연상 - 케이트 윈슬렛|골든글로브 시상식(2016) : 각본상 - 아론 소킨
스티브 잡스: 더 로스트 인터뷰,2013-08-14,"스티브잡스,애플,인터뷰다큐멘터리",
스티븐 시걸의 CIA,2014-03-20,"전직CIA,전직요원,인신매매단,범죄소탕,범죄",
스티븐 시걸의 비밀경찰,2014-01-29,,
스티븐 시걸의 테이큰 파이널,,"납치된소녀,전직특수부대요원,폭력조직,구출작전",
스틸,2012-10-18,"실종,아들,형사,비밀",
스틸 더 머니 : 314 비밀금고,2018-06-28,"비리,강도,범죄,은행금고털이,기밀문서,범죄수사대,정치인",
스틸 라이프,2014-06-05,"죽음,장례,의뢰인,외로움,정리해고",베니스국제영화제(2013) : 오리종티 감독상 - 우베르토 파솔리니
스틸 앨리스,2015-04-30,,골든글로브 시상식(2015) : 여우주연상(드라마) - 줄리안 무어|아카데미 시상식(2015) : 여우주연상 - 줄리안 무어|미국배우조합상(2015) : 영화부문 여우주연상 - 줄리안 무어
스틸 얼라이브,2017-12-28,,
스틸 플라워,2016-04-07,"20대여자,부산,구직,고아,홈리스","서울독립영화제(2015) : 대상 - 박석영|서울독립영화제(2015) : 독립스타상 - 정하담|한국영화평론가협회상 (영평상)(2016) : 여자신인상 - 정하담|무주산골영화제(2016) : 무주관객상 - 정하담, 박석영|들꽃영화상(2017) : 여우주연상 - 정하담|2015 제14회 마라케시국제영화제 심사위원상  2016 제 14회 피렌체한국영화제 심사위원대상"
