MOVIE_NM,OPEN_DT,GENRE_NM,SP_LANG,GENRE_NM_sorted,SP_LANG_sorted
도약선생,2011-06-30,멜로/로맨스/코미디,ko,로맨스/멜로/코미디,ko
블루룸,2015-08-13,드라마,,드라마,
용문비갑,2012-03-15,액션,,액션,
바람의춤꾼,2017-06-06,다큐멘터리,,다큐멘터리,
아이애나,2013-06-06,멜로/로맨스,,로맨스/멜로,
만찬,2014-01-23,가족/멜로/로맨스/드라마,ko,가족/드라마/로맨스/멜로,ko
핸즈오브스톤,2016-12-08,드라마/액션,,드라마/액션,
천사의숨소리,2012-02-23,드라마,ko,드라마,ko
돈지오반니,2017-01-07,공연,,공연,
위시아이워즈히어,2015-09-10,코미디/가족/드라마,en,가족/드라마/코미디,en
황금을안고튀어라,2013-10-10,범죄/액션/스릴러,,범죄/스릴러/액션,
스퀴즈,2016-11-10,코미디/드라마,en,드라마/코미디,en
우리는썰매를탄다,2018-03-07,다큐멘터리,,다큐멘터리,
기생꽃의고백,2018-01-25,다큐멘터리,ko,다큐멘터리,ko
오빠가돌아왔다,2014-03-20,코미디/드라마,ko,드라마/코미디,ko
행맨,2019-01-23,미스터리/범죄/스릴러,,미스터리/범죄/스릴러,
라라,2018-02-22,멜로/로맨스/드라마,ko/ vi,드라마/로맨스/멜로, vi/ko
영혼의순례길,2018-05-24,드라마,,드라마,
탈주,2010-09-02,드라마,ko,드라마,ko
일트로바토레,2016-01-16,공연,,공연,
바람의검심전설의최후편,2015-03-05,액션/어드벤처,ja/es,액션/어드벤처,es/ja
수색역,2016-03-31,드라마/액션/범죄,ko,드라마/범죄/액션,ko
트레이터,2017-08-03,범죄/스릴러,,범죄/스릴러,
밤치기,2018-11-01,멜로/로맨스,ko,로맨스/멜로,ko
극장판테니스의왕자영국식테니스성결전,2011-12-15,애니메이션,,애니메이션,
안티포르노,2017-06-15,드라마,,드라마,
작은형,2016-11-30,드라마,ko,드라마,ko
