,?MOVIE_NM,OPEN_DT,NATION_NM,COMPANY_NM
150,캐리비안의해적낯선조류,2011-05-19,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
151,퀵,2011-07-20,한국,씨제이이앤엠(주)
152,감기,2013-08-14,한국,아이러브시네마
153,나우유씨미2,2016-07-13,미국,롯데쇼핑㈜롯데엔터테인먼트
154,하모니,2010-01-28,한국,씨제이엔터테인먼트
155,캐리비안의해적죽은자는말이없다,2017-05-24,미국,월트디즈니컴퍼니코리아 유한책임회사
156,스물,2015-03-25,한국,(주)넥스트엔터테인먼트월드(NEW)
157,토르다크월드,2013-10-30,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
158,방자전,2010-06-02,한국,씨제이엔터테인먼트
159,인크레더블2,2018-07-18,미국,월트디즈니컴퍼니코리아 유한책임회사
160,레드더레전드,2013-07-18,미국,롯데쇼핑㈜롯데엔터테인먼트
161,오싹한연애,2011-12-01,한국,씨제이이앤엠(주)
162,드래곤길들이기2,2014-07-23,미국,씨제이이앤엠(주)
163,형,2016-11-23,한국,씨제이이앤엠(주)
164,친구2,2013-11-14,한국,롯데쇼핑㈜롯데엔터테인먼트
165,26년,2012-11-29,한국,(주)인벤트스톤/영화사청어람(주)
166,서치,2018-08-29,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
167,고지전,2011-07-20,한국,(주)쇼박스
168,엑스맨아포칼립스,2016-05-25,미국,이십세기폭스코리아(주)
169,프리즌,2017-03-23,한국,(주)쇼박스
170,솔트,2010-07-29,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
171,헬로우고스트,2010-12-22,한국,(주)넥스트엔터테인먼트월드(NEW)
172,극비수사,2015-06-18,한국,(주)쇼박스
173,표적,2014-04-30,한국,씨제이이앤엠(주)
174,앤트맨,2015-09-03,미국/영국,월트디즈니컴퍼니코리아(주)
175,호빗다섯군대전투,2014-12-17,뉴질랜드/미국,워너브러더스 코리아(주)
176,너의결혼식,2018-08-22,한국,메가박스중앙(주)플러스엠
177,호빗뜻밖의여정,2012-12-13,뉴질랜드/미국,워너브러더스 코리아(주)
178,메이즈러너,2014-09-18,미국,이십세기폭스코리아(주)
179,말모이,2019-01-09,한국,롯데컬처웍스(주)롯데엔터테인먼트
180,해리포터와죽음의성물1,2010-12-15,미국,워너브러더스 코리아(주)
181,빅히어로,2015-01-21,미국,월트디즈니컴퍼니코리아(주)
182,덩케르크,2017-07-20,미국/영국,워너브러더스 코리아(주)
183,혹성탈출진화의시작,2011-08-17,미국,이십세기폭스코리아(주)
184,부당거래,2010-10-28,한국,씨제이엔터테인먼트
185,메이즈러너스코치트라이얼,2015-09-16,미국,이십세기폭스코리아(주)
186,가디언즈오브갤럭시vol2,2017-05-03,미국,월트디즈니컴퍼니코리아 유한책임회사
187,시라노연애조작단,2010-09-16,한국,롯데쇼핑㈜롯데엔터테인먼트
188,내가살인범이다,2012-11-08,한국,(주)쇼박스
189,나우유씨미마술사기단,2013-08-22,미국,롯데쇼핑㈜롯데엔터테인먼트
190,미스페레그린과이상한아이들의집,2016-09-28,미국/벨기에/영국,이십세기폭스코리아(주)
191,타이탄,2010-04-01,미국,워너브러더스 코리아(주)
192,곤지암,2018-03-28,한국,(주)쇼박스
193,소원,2013-10-02,한국,롯데쇼핑㈜롯데엔터테인먼트
194,살인자의기억법,2017-09-06,한국,(주)쇼박스
195,브레이킹던part2,2012-11-15,미국,(주)넥스트엔터테인먼트월드(NEW)
196,탐정더비기닝,2015-09-24,한국,씨제이이앤엠(주)
197,미니언즈,2015-07-29,미국,유니버설픽쳐스인터내셔널 코리아(유)
198,후궁제왕의첩,2012-06-06,한국,롯데쇼핑㈜롯데엔터테인먼트
199,트랜스포머최후의기사,2017-06-21,미국,롯데쇼핑㈜롯데엔터테인먼트
200,제이슨본,2016-07-27,미국,유니버설픽쳐스인터내셔널 코리아(유)
201,드래곤길들이기,2010-05-20,미국,씨제이엔터테인먼트/유니버설픽쳐스인터내셔널 코리아(유)
202,지금만나러갑니다,2018-03-14,한국,롯데쇼핑㈜롯데엔터테인먼트
203,도리를찾아서,2016-07-06,미국,월트디즈니컴퍼니코리아(주)
204,위험한상견례,2011-03-31,한국,롯데쇼핑㈜롯데엔터테인먼트
205,아수라,2016-09-28,한국,씨제이이앤엠(주)
206,보안관,2017-05-03,한국,롯데쇼핑㈜롯데엔터테인먼트
207,기술자들,2014-12-24,한국,롯데쇼핑㈜롯데엔터테인먼트
208,퍼시픽림,2013-07-11,미국,워너브러더스 코리아(주)
209,엑스맨퍼스트클래스,2011-06-02,미국,이십세기폭스코리아(주)
