MOVIE_NM,OPEN_DT,NATION_NM,COMPANY_NM
증인,2019-02-13,한국,롯데컬처웍스(주)롯데엔터테인먼트
조작된도시,2017-02-09,한국,씨제이이앤엠(주)
반창꼬,2012-12-19,한국,(주)넥스트엔터테인먼트월드(NEW)
보스베이비,2017-05-03,미국,씨제이이앤엠(주)
화차,2012-03-08,한국,필라멘트픽쳐스
이웃사람,2012-08-22,한국,롯데쇼핑㈜롯데엔터테인먼트
조선명탐정흡혈괴마의비밀,2018-02-08,한국,(주)쇼박스
재심,2017-02-15,한국,오퍼스픽쳐스(유)/CGV아트하우스
신비한동물들과그린델왈드의범죄,2018-11-14,미국,워너브러더스 코리아(주)
사바하,2019-02-20,한국,씨제이이앤엠(주)
의뢰인,2011-09-29,한국,(주)쇼박스
화이괴물을삼킨아이,2013-10-09,한국,(주)쇼박스
007스카이폴,2012-10-26,미국/영국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
가문의영광4가문의수난,2011-09-07,한국,(주)넥스트엔터테인먼트월드(NEW)
블라인드,2011-08-10,한국,(주)넥스트엔터테인먼트월드(NEW)
박열,2017-06-28,한국,메가박스중앙(주)플러스엠
라스트갓파더,2010-12-29,한국/미국,씨제이엔터테인먼트
스파이,2015-05-21,미국,이십세기폭스코리아(주)
모아나,2017-01-12,미국,월트디즈니컴퍼니코리아 유한책임회사
테이큰2,2012-09-27,프랑스,이십세기폭스코리아(주)
하녀,2010-05-13,한국,(주)싸이더스
메이즈러너데스큐어,2018-01-17,미국,이십세기폭스코리아(주)
맘마미아2,2018-08-08,미국,유니버설픽쳐스인터내셔널 코리아(유)
호빗스마우그의폐허,2013-12-12,미국/뉴질랜드,워너브러더스 코리아(주)
나잇데이,2010-06-24,미국,이십세기폭스코리아(주)
컨저링,2013-09-17,미국,워너브러더스 코리아(주)
슈렉포에버,2010-07-01,미국,씨제이엔터테인먼트
배트맨대슈퍼맨저스티스의시작,2016-03-24,미국,워너브러더스 코리아(주)
레디플레이어원,2018-03-28,미국,워너브러더스 코리아(주)
배틀쉽,2012-04-11,미국,유니버설픽쳐스인터내셔널 코리아(유)
셜록홈즈그림자게임,2011-12-21,미국,워너브러더스 코리아(주)
